axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index
x,0.10681463778018951,0.1780274361371994,0,1908,1891,0.0059744483,0.016223988,0.00014338676,-165.0,0,0
x,0.10681463778018951,0.1780274361371994,0,918,959,-0.029163372,0.023071885,0.0006999209,-135.0,1,1
x,0.10681463778018951,0.1780274361371994,0,1548,1556,-0.0034410139,0.017948847,8.258433e-05,-105.0,2,2
x,0.10681463778018951,0.1780274361371994,0,883,904,-0.015689638,0.023652893,0.0003765513,-75.0,3,3
x,0.10681463778018951,0.1780274361371994,0,820,887,-0.052403398,0.024170527,0.0012576815,-45.0,4,4
x,0.10681463778018951,0.1780274361371994,0,422,337,0.14951864,0.035889674,0.0035884473,-15.0,5,5
x,0.10681463778018951,0.1780274361371994,0,301,318,-0.03666709,0.040166363,0.0008800102,15.0,6,6
x,0.10681463778018951,0.1780274361371994,0,777,739,0.033465903,0.02566889,0.00080318167,45.0,7,7
x,0.10681463778018951,0.1780274361371994,0,792,743,0.042619254,0.025500637,0.0010228622,75.0,8,8
x,0.10681463778018951,0.1780274361371994,0,1430,1297,0.06511555,0.01910886,0.0015627731,105.0,9,9
x,0.10681463778018951,0.1780274361371994,0,872,937,-0.047972567,0.02348445,0.0011513416,135.0,10,10
x,0.10681463778018951,0.1780274361371994,0,1848,1762,0.03180603,0.016635146,0.0007633447,165.0,11,11
x,0.1780274361371994,0.2277451455593109,1,1706,1774,-0.026088424,0.016945818,0.0006261222,-165.0,0,12
x,0.1780274361371994,0.2277451455593109,1,1000,920,0.05562973,0.022786433,0.0013351135,-135.0,1,13
x,0.1780274361371994,0.2277451455593109,1,1266,1456,-0.09319308,0.019083666,0.0022366338,-105.0,2,14
x,0.1780274361371994,0.2277451455593109,1,1108,1123,-0.008976559,0.021170579,0.00021543742,-75.0,3,15
x,0.1780274361371994,0.2277451455593109,1,776,805,-0.024489747,0.02514223,0.00058775395,-45.0,4,16
x,0.1780274361371994,0.2277451455593109,1,287,298,-0.025104698,0.04133188,0.00060251274,-15.0,5,17
x,0.1780274361371994,0.2277451455593109,1,331,267,0.1428884,0.04047343,0.0034293216,15.0,6,18
