axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index
x,0.10681463778018951,0.1780274361371994,0,2406,2306,0.028334327,0.014562065,0.00068002386,-165.0,0,0
x,0.10681463778018951,0.1780274361371994,0,875,929,-0.039964594,0.023525272,0.00095915026,-135.0,1,1
x,0.10681463778018951,0.1780274361371994,0,1546,1530,0.0069446736,0.018030027,0.00016667217,-105.0,2,2
x,0.10681463778018951,0.1780274361371994,0,922,1000,-0.054182544,0.02277639,0.001300381,-75.0,3,3
x,0.10681463778018951,0.1780274361371994,0,799,836,-0.030213576,0.024719678,0.00072512584,-45.0,4,4
x,0.10681463778018951,0.1780274361371994,0,384,446,-0.09973137,0.034537453,0.002393553,-15.0,5,5
x,0.10681463778018951,0.1780274361371994,0,461,457,0.005817488,0.03300436,0.0001396197,15.0,6,6
x,0.10681463778018951,0.1780274361371994,0,1063,1083,-0.01244281,0.021584973,0.00029862745,45.0,7,7
x,0.10681463778018951,0.1780274361371994,0,1304,1137,0.091341235,0.02015565,0.0021921897,75.0,8,8
x,0.10681463778018951,0.1780274361371994,0,1969,1724,0.08857373,0.016390795,0.0021257696,105.0,9,9
x,0.10681463778018951,0.1780274361371994,0,1013,977,0.024152808,0.022410253,0.0005796674,135.0,10,10
x,0.10681463778018951,0.1780274361371994,0,2651,2618,0.00836188,0.013775923,0.00020068511,165.0,11,11
x,0.1780274361371994,0.2277451455593109,1,2384,2448,-0.017683621,0.014383635,0.00042440693,-165.0,0,12
x,0.1780274361371994,0.2277451455593109,1,1110,1100,0.0060412376,0.021271395,0.00014498971,-135.0,1,13
x,0.1780274361371994,0.2277451455593109,1,1280,1379,-0.049709,0.01936884,0.001193016,-105.0,2,14
x,0.1780274361371994,0.2277451455593109,1,1080,1197,-0.068602666,0.020907115,0.001646464,-75.0,3,15
x,0.1780274361371994,0.2277451455593109,1,680,854,-0.1514405,0.025237668,0.003634572,-45.0,4,16
x,0.1780274361371994,0.2277451455593109,1,360,376,-0.029024206,0.03684496,0.000696581,-15.0,5,17
x,0.1780274361371994,0.2277451455593109,1,364,386,-0.03916333,0.036486823,0.0009399199,15.0,6,18
x,0.1780274361371994,0.2277451455593109,1,923,957,-0.02414567,0.023056557,0.0005794961,45.0,7,19
x,0.1780274361371994,0.2277451455593109,1,1320,1324,-0.0020198387,0.019447707,4.847613e-05,75.0,8,20
x,0.1780274361371994,0.2277451455593109,1,1586,1559,0.011462023,0.017830404,0.00027508853,105.0,9,21
x,0.1780274361371994,0.2277451455593109,1,1227,1186,0.02268531,0.020352116,0.00054444745,135.0,10,22
x,0.1780274361371994,0.2277451455593109,1,2526,2514,0.0031788417,0.014085833,7.62922e-05,165.0,11,23
x,0.2277451455593109,0.27837511897087097,2,2253,2445,-0.05456402,0.014567869,0.0013095365,-165.0,0,24
x,0.2277451455593109,0.27837511897087097,2,1301,1215,0.045635834,0.019915534,0.00109526,-135.0,1,25
x,0.2277451455593109,0.27837511897087097,2,1156,1255,-0.05482216,0.02033517,0.0013157319,-105.0,2,26
x,0.2277451455593109,0.27837511897087097,2,1086,1262,-0.100076646,0.020533605,0.0024018395,-75.0,3,27
x,0.2277451455593109,0.27837511897087097,2,732,758,-0.023297282,0.025899356,0.00055913476,-45.0,4,28
x,0.2277451455593109,0.27837511897087097,2,364,376,-0.02165049,0.036752116,0.00051961176,-15.0,5,29
x,0.2277451455593109,0.27837511897087097,2,399,381,0.030810311,0.035788745,0.0007394475,15.0,6,30
x,0.2277451455593109,0.27837511897087097,2,993,884,0.0775319,0.023012225,0.0018607655,45.0,7,31
x,0.2277451455593109,0.27837511897087097,2,1421,1343,0.037676863,0.01900739,0.0009042447,75.0,8,32
x,0.2277451455593109,0.27837511897087097,2,1454,1378,0.035829317,0.018779084,0.00085990364,105.0,9,33
x,0.2277451455593109,0.27837511897087097,2,1455,1329,0.06042539,0.01891782,0.0014502094,135.0,10,34
x,0.2277451455593109,0.27837511897087097,2,2639,2526,0.029209645,0.013908474,0.0007010315,165.0,11,35
x,0.27837511897087097,0.34051498770713806,3,2090,2342,-0.07591349,0.014977699,0.0018219238,-165.0,0,36
x,0.27837511897087097,0.34051498770713806,3,1223,1255,-0.017241174,0.0200856,0.0004137882,-135.0,1,37
x,0.27837511897087097,0.34051498770713806,3,1106,1119,-0.0078006624,0.021199312,0.0001872159,-105.0,2,38
x,0.27837511897087097,0.34051498770713806,3,1094,1228,-0.07704789,0.020690737,0.0018491495,-75.0,3,39
x,0.27837511897087097,0.34051498770713806,3,824,749,0.063657664,0.025162507,0.0015277839,-45.0,4,40
x,0.27837511897087097,0.34051498770713806,3,373,408,-0.05983223,0.035718706,0.0014359736,-15.0,5,41
x,0.27837511897087097,0.34051498770713806,3,382,367,0.026737921,0.036526144,0.0006417101,15.0,6,42
x,0.27837511897087097,0.34051498770713806,3,917,902,0.011009732,0.023445383,0.0002642336,45.0,7,43
x,0.27837511897087097,0.34051498770713806,3,1352,1209,0.07454948,0.019705389,0.0017891875,75.0,8,44
x,0.27837511897087097,0.34051498770713806,3,1269,1256,0.006873851,0.019900274,0.00016497243,105.0,9,45
x,0.27837511897087097,0.34051498770713806,3,1460,1329,0.0627106,0.018898185,0.0015050544,135.0,10,46
x,0.27837511897087097,0.34051498770713806,3,2403,2400,0.00083392474,0.014429243,2.0014195e-05,165.0,11,47
x,0.34051498770713806,0.6005192399024963,4,2133,2179,-0.014242861,0.0152270775,0.00034182868,-165.0,0,48
x,0.34051498770713806,0.6005192399024963,4,1214,1319,-0.05534422,0.01983884,0.0013282613,-135.0,1,49
x,0.34051498770713806,0.6005192399024963,4,979,1038,-0.039053887,0.02224926,0.0009372933,-105.0,2,50
x,0.34051498770713806,0.6005192399024963,4,1044,1114,-0.04330767,0.021506345,0.001039384,-75.0,3,51
x,0.34051498770713806,0.6005192399024963,4,734,813,-0.06817968,0.02536548,0.0016363123,-45.0,4,52
x,0.34051498770713806,0.6005192399024963,4,373,405,-0.05491469,0.035797637,0.0013179525,-15.0,5,53
x,0.34051498770713806,0.6005192399024963,4,370,428,-0.09703832,0.03523255,0.0023289197,15.0,6,54
x,0.34051498770713806,0.6005192399024963,4,995,816,0.13196318,0.023293031,0.0031671163,45.0,7,55
x,0.34051498770713806,0.6005192399024963,4,1262,1176,0.04709588,0.020230237,0.0011303012,75.0,8,56
x,0.34051498770713806,0.6005192399024963,4,1297,1210,0.04633222,0.019950612,0.0011119733,105.0,9,57
x,0.34051498770713806,0.6005192399024963,4,1366,1417,-0.024466686,0.018950181,0.00058720045,135.0,10,58
x,0.34051498770713806,0.6005192399024963,4,2271,2346,-0.021688003,0.014713565,0.00052051205,165.0,11,59
z,0.1212601587176323,0.256461101770401,0,2309,2302,0.0020268476,0.014726568,4.8644342e-05,-165.0,0,0
z,0.1212601587176323,0.256461101770401,0,1438,1398,0.018830936,0.018774565,0.00045194247,-135.0,1,1
z,0.1212601587176323,0.256461101770401,0,1830,1803,0.009922395,0.016589982,0.0002381375,-105.0,2,2
z,0.1212601587176323,0.256461101770401,0,1221,1276,-0.029407784,0.020003356,0.0007057868,-75.0,3,3
z,0.1212601587176323,0.256461101770401,0,1272,1290,-0.009380188,0.01975565,0.00022512452,-45.0,4,4
z,0.1212601587176323,0.256461101770401,0,746,702,0.040569745,0.02625778,0.0009736739,-15.0,5,5
z,0.1212601587176323,0.256461101770401,0,760,815,-0.04662301,0.025170231,0.0011189523,15.0,6,6
z,0.1212601587176323,0.256461101770401,0,1061,1041,0.012703268,0.021809645,0.00030487843,45.0,7,7
z,0.1212601587176323,0.256461101770401,0,1228,1220,0.004363116,0.02021111,0.00010471478,75.0,8,8
z,0.1212601587176323,0.256461101770401,0,1644,1754,-0.04322027,0.017138874,0.0010372865,105.0,9,9
z,0.1212601587176323,0.256461101770401,0,1357,1365,-0.003923919,0.019166932,9.417406e-05,135.0,10,10
z,0.1212601587176323,0.256461101770401,0,2542,2459,0.022158451,0.014137249,0.0005318028,165.0,11,11
z,0.256461101770401,0.33235433101654055,1,2275,2436,-0.045627948,0.014554285,0.0010950707,-165.0,0,12
z,0.256461101770401,0.33235433101654055,1,1310,1296,0.0071725203,0.01958852,0.00017214048,-135.0,1,13
z,0.256461101770401,0.33235433101654055,1,1734,1808,-0.027893392,0.016796032,0.0006694414,-105.0,2,14
z,0.256461101770401,0.33235433101654055,1,1256,1515,-0.12479047,0.01884836,0.0029949713,-75.0,3,15
z,0.256461101770401,0.33235433101654055,1,1125,1137,-0.0070828297,0.021025328,0.00016998792,-45.0,4,16
z,0.256461101770401,0.33235433101654055,1,545,598,-0.06190815,0.029521814,0.0014857956,-15.0,5,17
z,0.256461101770401,0.33235433101654055,1,561,518,0.05320656,0.030400006,0.0012769575,15.0,6,18
z,0.256461101770401,0.33235433101654055,1,1182,1243,-0.033584297,0.020295467,0.00080602313,45.0,7,19
z,0.256461101770401,0.33235433101654055,1,1482,1341,0.06668473,0.018779187,0.0016004335,75.0,8,20
z,0.256461101770401,0.33235433101654055,1,1855,1771,0.03092927,0.016598862,0.00074230245,105.0,9,21
z,0.256461101770401,0.33235433101654055,1,1417,1273,0.07147076,0.01923144,0.0017152983,135.0,10,22
