axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index
x,0.10681463778018951,0.1780274361371994,0,1935,1988,-0.018037476,0.015963208,0.00043289943,-165.0,0,0
x,0.10681463778018951,0.1780274361371994,0,1217,1008,0.12541066,0.021032583,0.003009856,-135.0,1,1
x,0.10681463778018951,0.1780274361371994,0,1721,1726,-0.001936631,0.017032506,4.6479145e-05,-105.0,2,2
x,0.10681463778018951,0.1780274361371994,0,909,847,0.04713954,0.02383717,0.001131349,-75.0,3,3
x,0.10681463778018951,0.1780274361371994,0,745,869,-0.102573775,0.024760047,0.0024617705,-45.0,4,4
x,0.10681463778018951,0.1780274361371994,0,428,347,0.13954088,0.03556962,0.0033489813,-15.0,5,5
x,0.10681463778018951,0.1780274361371994,0,380,398,-0.030889515,0.03583463,0.00074134837,15.0,6,6
x,0.10681463778018951,0.1780274361371994,0,845,814,0.02494787,0.02454379,0.0005987489,45.0,7,7
x,0.10681463778018951,0.1780274361371994,0,935,966,-0.021771971,0.022930102,0.0005225273,75.0,8,8
x,0.10681463778018951,0.1780274361371994,0,1690,1585,0.042805165,0.017458064,0.001027324,105.0,9,9
x,0.10681463778018951,0.1780274361371994,0,1060,1010,0.032249115,0.021967918,0.00077397877,135.0,10,10
x,0.10681463778018951,0.1780274361371994,0,2122,2149,-0.008440193,0.0153009975,0.00020256462,165.0,11,11
x,0.1780274361371994,0.2277451455593109,1,2013,2044,-0.010201755,0.015699105,0.00024484211,-165.0,0,12
x,0.1780274361371994,0.2277451455593109,1,1208,1245,-0.020138279,0.0201866,0.0004833187,-135.0,1,13
x,0.1780274361371994,0.2277451455593109,1,1492,1718,-0.09399864,0.017571963,0.0022559674,-105.0,2,14
x,0.1780274361371994,0.2277451455593109,1,1108,1215,-0.06149683,0.02070869,0.0014759239,-75.0,3,15
x,0.1780274361371994,0.2277451455593109,1,751,788,-0.032098245,0.0254775,0.0007703579,-45.0,4,16
x,0.1780274361371994,0.2277451455593109,1,315,366,-0.09998647,0.038128052,0.0023996753,-15.0,5,17
x,0.1780274361371994,0.2277451455593109,1,350,309,0.08306472,0.03881985,0.0019935532,15.0,6,18
x,0.1780274361371994,0.2277451455593109,1,813,715,0.085629,0.025488265,0.002055096,45.0,7,19
x,0.1780274361371994,0.2277451455593109,1,1178,1120,0.03369738,0.020848665,0.0008087372,75.0,8,20
x,0.1780274361371994,0.2277451455593109,1,1494,1401,0.042889655,0.01856846,0.0010293517,105.0,9,21
x,0.1780274361371994,0.2277451455593109,1,1197,1154,0.024419345,0.020617887,0.0005860643,135.0,10,22
x,0.1780274361371994,0.2277451455593109,1,2134,2156,-0.0068467357,0.015267263,0.00016432165,165.0,11,23
x,0.2277451455593109,0.27837511897087097,2,2086,2136,-0.015811386,0.015388156,0.00037947326,-165.0,0,24
x,0.2277451455593109,0.27837511897087097,2,1147,1255,-0.060030084,0.020367118,0.001440722,-135.0,1,25
x,0.2277451455593109,0.27837511897087097,2,1476,1629,-0.065788195,0.017907185,0.0015789167,-105.0,2,26
x,0.2277451455593109,0.27837511897087097,2,1200,1215,-0.00829263,0.020348223,0.00019902312,-75.0,3,27
x,0.2277451455593109,0.27837511897087097,2,693,793,-0.089846134,0.025836317,0.0021563072,-45.0,4,28
x,0.2277451455593109,0.27837511897087097,2,357,383,-0.046909392,0.03672026,0.0011258255,-15.0,5,29
x,0.2277451455593109,0.27837511897087097,2,319,382,-0.11998881,0.037496604,0.0028797314,15.0,6,30
x,0.2277451455593109,0.27837511897087097,2,714,763,-0.044292863,0.02599461,0.0010630287,45.0,7,31
x,0.2277451455593109,0.27837511897087097,2,1154,1110,0.025947435,0.021009492,0.00062273844,75.0,8,32
x,0.2277451455593109,0.27837511897087097,2,1367,1346,0.010334457,0.01919782,0.00024802698,105.0,9,33
x,0.2277451455593109,0.27837511897087097,2,1232,1112,0.068350516,0.020606505,0.0016404124,135.0,10,34
x,0.2277451455593109,0.27837511897087097,2,2120,2236,-0.035553984,0.015141936,0.0008532956,165.0,11,35
x,0.27837511897087097,0.34051498770713806,3,1945,2076,-0.04349661,0.01575512,0.0010439187,-165.0,0,36
x,0.27837511897087097,0.34051498770713806,3,1277,1284,-0.0036492753,0.019760245,8.758261e-05,-135.0,1,37
x,0.27837511897087097,0.34051498770713806,3,1341,1338,0.0014950879,0.019320268,3.588211e-05,-105.0,2,38
x,0.27837511897087097,0.34051498770713806,3,1246,1338,-0.047535002,0.01965,0.0011408401,-75.0,3,39
x,0.27837511897087097,0.34051498770713806,3,744,772,-0.024659088,0.025675464,0.0005918181,-45.0,4,40
x,0.27837511897087097,0.34051498770713806,3,374,385,-0.01934947,0.036290906,0.0004643873,-15.0,5,41
x,0.27837511897087097,0.34051498770713806,3,400,352,0.08522001,0.03633359,0.0020452803,15.0,6,42
x,0.27837511897087097,0.34051498770713806,3,821,782,0.032482486,0.024963414,0.0007795797,45.0,7,43
x,0.27837511897087097,0.34051498770713806,3,1207,1212,-0.0027596394,0.020332014,6.623135e-05,75.0,8,44
x,0.27837511897087097,0.34051498770713806,3,1294,1232,0.032770004,0.019886117,0.0007864801,105.0,9,45
x,0.27837511897087097,0.34051498770713806,3,1386,1290,0.04789645,0.01930893,0.0011495148,135.0,10,46
x,0.27837511897087097,0.34051498770713806,3,2062,2005,0.018711941,0.015677864,0.0004490866,165.0,11,47
x,0.34051498770713806,0.6005192399024963,4,2029,1923,0.03581023,0.015896916,0.0008594455,-165.0,0,48
x,0.34051498770713806,0.6005192399024963,4,1366,1360,0.002938621,0.019152928,7.0526905e-05,-135.0,1,49
x,0.34051498770713806,0.6005192399024963,4,1320,1426,-0.05153752,0.019057775,0.0012369006,-105.0,2,50
x,0.34051498770713806,0.6005192399024963,4,1238,1342,-0.053818528,0.019658947,0.0012916446,-75.0,3,51
x,0.34051498770713806,0.6005192399024963,4,789,812,-0.019180268,0.024987593,0.00046032644,-45.0,4,52
x,0.34051498770713806,0.6005192399024963,4,364,408,-0.076094545,0.035886437,0.0018262691,-15.0,5,53
x,0.34051498770713806,0.6005192399024963,4,381,335,0.08577545,0.037234023,0.0020586108,15.0,6,54
x,0.34051498770713806,0.6005192399024963,4,884,835,0.038057335,0.024101682,0.00091337605,45.0,7,55
x,0.34051498770713806,0.6005192399024963,4,1290,1197,0.049925838,0.020027198,0.0011982201,75.0,8,56
x,0.34051498770713806,0.6005192399024963,4,1290,1145,0.07950368,0.020201035,0.0019080883,105.0,9,57
x,0.34051498770713806,0.6005192399024963,4,1378,1372,0.002912975,0.01906917,6.9911395e-05,135.0,10,58
x,0.34051498770713806,0.6005192399024963,4,1985,2077,-0.030238908,0.015683081,0.0007257338,165.0,11,59
z,0.1212601587176323,0.256461101770401,0,2161,2071,0.028393244,0.015365689,0.00068143784,-165.0,0,0
z,0.1212601587176323,0.256461101770401,0,1470,1451,0.008684408,0.018501965,0.00020842579,-135.0,1,1
z,0.1212601587176323,0.256461101770401,0,1449,1616,-0.07274517,0.01801493,0.0017458841,-105.0,2,2
z,0.1212601587176323,0.256461101770401,0,1145,1214,-0.039051645,0.020573331,0.0009372395,-75.0,3,3
z,0.1212601587176323,0.256461101770401,0,1152,1216,-0.03608415,0.02053649,0.0008660196,-45.0,4,4
z,0.1212601587176323,0.256461101770401,0,910,847,0.047872595,0.023829553,0.0011489423,-15.0,5,5
z,0.1212601587176323,0.256461101770401,0,888,837,0.03947292,0.024058405,0.00094735005,15.0,6,6
z,0.1212601587176323,0.256461101770401,0,930,908,0.015980683,0.023322321,0.0003835364,45.0,7,7
z,0.1212601587176323,0.256461101770401,0,977,916,0.043022677,0.02296267,0.0010325443,75.0,8,8
z,0.1212601587176323,0.256461101770401,0,1385,1352,0.01609746,0.01911201,0.00038633903,105.0,9,9
z,0.1212601587176323,0.256461101770401,0,1266,1227,0.020886252,0.02002369,0.00050127006,135.0,10,10
z,0.1212601587176323,0.256461101770401,0,2286,2264,0.0064554936,0.014824677,0.00015493185,165.0,11,11
z,0.256461101770401,0.33235433101654055,1,2068,2279,-0.064805366,0.01513531,0.0015553288,-165.0,0,12
z,0.256461101770401,0.33235433101654055,1,1414,1380,0.016246907,0.018916007,0.0003899258,-135.0,1,13
z,0.256461101770401,0.33235433101654055,1,1598,1723,-0.050252687,0.017330715,0.0012060645,-105.0,2,14
z,0.256461101770401,0.33235433101654055,1,1206,1223,-0.009344145,0.02028931,0.00022425948,-75.0,3,15
z,0.256461101770401,0.33235433101654055,1,1082,1213,-0.07620909,0.020813437,0.0018290182,-45.0,4,16
z,0.256461101770401,0.33235433101654055,1,590,612,-0.024436353,0.028834874,0.00058647245,-15.0,5,17
z,0.256461101770401,0.33235433101654055,1,516,536,-0.025382385,0.030821387,0.0006091772,15.0,6,18
z,0.256461101770401,0.33235433101654055,1,976,933,0.030073274,0.022877079,0.0007217586,45.0,7,19
z,0.256461101770401,0.33235433101654055,1,1186,1128,0.033464383,0.020776626,0.00080314523,75.0,8,20
z,0.256461101770401,0.33235433101654055,1,1694,1691,0.0011832615,0.017187802,2.8398277e-05,105.0,9,21
z,0.256461101770401,0.33235433101654055,1,1409,1334,0.036505107,0.019080842,0.00087612256,135.0,10,22
z,0.256461101770401,0.33235433101654055,1,2340,2292,0.013835372,0.014691772,0.00033204895,165.0,11,23
z,0.33235433101654055,0.3989480912685395,2,2460,2366,0.026005112,0.014389955,0.0006241227,-165.0,0,24
z,0.33235433101654055,0.3989480912685395,2,1531,1486,0.019913858,0.018202297,0.0004779326,-135.0,1,25
z,0.33235433101654055,0.3989480912685395,2,1838,1862,-0.008660195,0.016439281,0.00020784469,-105.0,2,26
z,0.33235433101654055,0.3989480912685395,2,1222,1285,-0.033550918,0.019960815,0.000805222,-75.0,3,27
z,0.33235433101654055,0.3989480912685395,2,857,1005,-0.10612073,0.023043629,0.0025468974,-45.0,4,28
z,0.33235433101654055,0.3989480912685395,2,455,418,0.05658557,0.033790644,0.0013580536,-15.0,5,29
z,0.33235433101654055,0.3989480912685395,2,444,423,0.03233839,0.03394402,0.00077612133,15.0,6,30
z,0.33235433101654055,0.3989480912685395,2,1042,882,0.11102814,0.022657083,0.0026646755,45.0,7,31
z,0.33235433101654055,0.3989480912685395,2,1445,1343,0.04884561,0.018916244,0.0011722947,75.0,8,32
z,0.33235433101654055,0.3989480912685395,2,1997,1767,0.08158238,0.016245201,0.0019579772,105.0,9,33
z,0.33235433101654055,0.3989480912685395,2,1502,1415,0.039819974,0.01850066,0.0009556794,135.0,10,34
z,0.33235433101654055,0.3989480912685395,2,2491,2517,-0.006931499,0.014130496,0.00016635598,165.0,11,35
z,0.3989480912685395,0.47198367714881895,3,2617,2664,-0.011882282,0.013759772,0.00028517476,-165.0,0,36
z,0.3989480912685395,0.47198367714881895,3,1591,1517,0.031788416,0.017928336,0.000762922,-135.0,1,37
z,0.3989480912685395,0.47198367714881895,3,1974,2128,-0.050123714,0.015593942,0.0012029691,-105.0,2,38
z,0.3989480912685395,0.47198367714881895,3,1499,1492,0.0031246387,0.018284777,7.499133e-05,-75.0,3,39
z,0.3989480912685395,0.47198367714881895,3,830,834,-0.0032094074,0.02451439,7.7025776e-05,-45.0,4,40
z,0.3989480912685395,0.47198367714881895,3,285,356,-0.14788309,0.039063342,0.0035491942,-15.0,5,41
z,0.3989480912685395,0.47198367714881895,3,391,324,0.12510854,0.037104048,0.003002605,15.0,6,42
z,0.3989480912685395,0.47198367714881895,3,957,988,-0.021279443,0.022669496,0.0005107066,45.0,7,43
z,0.3989480912685395,0.47198367714881895,3,1499,1557,-0.025339196,0.018083557,0.0006081407,75.0,8,44
