axis,axis_bin,gen,volume
x,0,0.0025051768321317958,0.03491577903441844
x,1,0.004053556486158899,0.028200085419035344
x,2,0.00547385247733057,0.035217608149794265
x,3,0.00689595735776137,0.06998464074804042
x,4,0.009441067034973275,1.286078281593331
z,0,0.0012499292601466378,0.014578628765925132
z,1,0.0021872283744997466,0.02933084295691758
z,2,0.0033134442792973557,0.03594077570986021
z,3,0.00445281303925691,0.05218341719718632
z,4,0.017135964506317877,2.3637802208310417
pt,0,0.002631824945819985,0.388357774248343
pt,1,0.007192549647519204,0.2019156611276783
pt,2,0.019479273661778984,0.20238513640338876
pt,3,0.028563107554784486,0.2459623529247365
pt,4,0.043476636339537494,1.377441962122451
q2,0,0.004074927324253487,0.03016553266974917
q2,1,0.0046434644401678535,0.028768190626143705
q2,2,0.005463350291575656,0.043288132877064976
q2,3,0.006701012009445802,0.09544170141388945
q2,4,0.009040048274864546,1.318893093814942
