axis,axis_bin,axis_max,axis_min,err_0,err_1,err_2,par_0,par_1,par_2,sys_total_0,sys_total_1,sys_total_2,sys_1_par0,sys_1_par1,sys_1_par2,sys_2_par0,sys_2_par1,sys_2_par2,sys_9_par0,sys_9_par1,sys_9_par2,sys_5_par0,sys_5_par1,sys_5_par2,sys_6_par0,sys_6_par1,sys_6_par2,sys_8_par0,sys_8_par1,sys_8_par2,sys_7_par0,sys_7_par1,sys_7_par2,sys_4_par0,sys_4_par1,sys_4_par2,sys_3_par0,sys_3_par1,sys_3_par2,sys_10_par0,sys_10_par1,sys_10_par2,sys_11_par0,sys_11_par1,sys_11_par2
pt,0,0.202108156681,0.000284209789243,0.00559326726943,0.399494290352,0.481435269117,0.0235484410077,0.035529948771,-0.284410983324,0.00306521373593,0.25336966011,0.243006587521,0.0002891849726,0.10012396425,0.112204864621,0.0011353809386,0.143245501444,0.115988671779,0.00131389684975,0.00180967897177,0.0715687423944,0.00045607984066,0.061791241169,0.034218788147,0.0010243318975,0.0248736459762,0.000629901885986,0.000279659405351,0.0270362151787,0.00269675254822,0.000119661912322,0.00199564546347,0.0396605283022,0.00182188488543,0.0582007057965,0.0637357831001,0.000100756064057,0.133262205869,0.118209391832,0.000829288735986,0.0813972260803,0.0840523391962,0.000964138656855,0.0265591125935,0.0058953166008
pt,1,0.274544388056,0.202108156681,0.00605163909495,0.395408093929,0.481255292892,0.0253243763,-0.422031641006,0.0951746404171,0.00445477037365,0.13138136881,0.246964797147,0.0002556312829,0.055633693934,0.0054008513689,0.0012426320464,0.01177534461,0.0302713438869,0.00246035307646,0.00871726870537,0.118740737438,0.00137108564377,0.0621277391911,0.0160320587456,0.000486573204398,0.0343555808067,0.0517546385527,0.00137376226485,0.0642172396183,0.0176824387163,0.000942369922996,0.0276457071304,0.0408753696829,5.38676977157e-06,0.028662353754,0.0518447328359,0.00193660706282,0.0073764026165,0.167376466095,0.00148952566087,0.037991642952,0.100628653541,0.00114938430488,0.0412758886814,0.0140999007854
pt,2,0.328453010321,0.274544388056,0.00653849588707,0.372410237789,0.388941138983,0.0302749257535,0.14832597971,-0.380049437284,0.00561414516519,0.218808040793,0.145794703096,0.0003303196281,0.01217494905,0.006898730993,0.0001152567566,0.025074020028,0.003977119922,0.00321314670146,0.0437495037913,0.0185703635216,0.00148165971041,0.0478433817625,0.0159697532654,0.00198506936431,0.0352157503366,0.0706942379475,0.00333152152598,0.120795741677,0.0573533475399,0.000449767336249,0.0273848921061,0.0948676764965,3.08491289616e-05,0.0750836133957,0.0134894251823,0.00154833495617,0.0918778851628,0.010677665472,0.00105261616409,0.109994251281,0.00571617484093,0.000358445569873,0.0117256939411,0.0545635819435
pt,3,0.376168769598,0.328453010321,0.00489598838612,0.414820075035,0.458936572075,0.0334486216307,-0.0438248924911,-0.25222235918,0.00391173473148,0.145095638891,0.160978468449,0.0004554130137,0.0453714877372,0.06159594655,0.0011905990541,0.046679094434,0.116785898804,0.000329431146383,0.0395957306027,0.0215764939785,0.00121565908194,0.036311686039,0.0680567026138,0.00044134631753,0.0342634543777,0.0211529433727,0.00158650800586,0.0114324390888,0.0237917602062,0.00186447054148,0.0453598275781,0.0116579532623,0.00111700966954,0.0235898345709,0.0139196813107,0.000244736671448,0.0254033058882,0.00401526689529,0.00122615695,0.0816527679563,0.0171683877707,0.00175820291042,0.0519393160939,0.0415904372931
pt,4,0.422122508287,0.376168769598,0.00773474015296,0.363314300776,0.472039580345,0.0347511768341,0.0587815158069,-0.293545305729,0.00509545198696,0.149120260226,0.190510789623,0.0010825619101,0.0260149687529,0.112306267024,0.0013105981052,0.0316304564476,0.029334932566,0.00155864655972,0.0666261315346,0.00525397062302,0.000312726944685,0.00251137465239,0.00193944573402,0.000762693583965,0.0230434164405,0.0918788313866,0.00047105923295,0.029673397541,0.083464205265,0.00225453823805,0.0246125683188,0.00969848036766,0.00170477107167,0.0332066267729,0.0598680078983,0.00277598947287,0.102866325062,0.00647369027138,0.000702571123838,0.0408741123974,0.0133943557739,0.00188529491425,0.0272414608626,0.0590102523565
pt,5,0.469540512562,0.422122508287,0.00540761416778,0.42451697588,0.470168739557,0.0324129462242,-0.278343707323,-0.226338088512,0.00339920504452,0.219394123986,0.129487234617,0.0018627438694,0.024627268314,0.01552836597,0.0015221759677,0.063202500343,0.000941857696,7.78064131737e-05,0.117148280144,0.0619343072176,0.000905949622393,0.0549901127815,0.00488169491291,0.000220779329538,0.0109053552151,0.0646992176771,0.000118423253298,0.0291895270348,0.0284628868103,0.00129124894738,0.0419870018959,0.000937566161156,0.00151661410928,0.0786993801594,0.0198490321636,0.000396311283112,0.104658514261,0.0583196282387,7.36899673939e-05,0.0245557278395,0.0522161722183,0.000865019857883,0.0793803930283,0.0338606238365
pt,6,0.521940326691,0.469540512562,0.00731414277107,0.458594858646,0.466100484133,0.0345905646682,0.158424764872,-0.339538753033,0.00680849898074,0.326007697308,0.221921956272,0.0017391815782,0.106645196676,0.027861177922,0.0002128221095,0.108616217971,0.049782752991,0.00312237069011,0.130000367761,0.124652564526,0.00081530585885,0.07730217278,0.0120088756084,0.00160554796457,0.0360418856144,0.0164341628551,0.00234483554959,0.139998733997,0.117996454239,0.00135296955705,0.0440459549427,0.0094738304615,0.00159889832139,0.0199068486691,0.0185617804527,0.00415332615376,0.15150514245,0.120061486959,0.00031990557909,0.0295620411634,0.0338451266289,0.00174819678068,0.114768907428,0.0111588835716
pt,7,0.585257208347,0.521940326691,0.00702766794711,0.374757528305,0.432855367661,0.0347297526896,-0.197556704283,-0.339422315359,0.00705502804711,0.226985639659,0.206983481731,9.96291638e-05,0.036404445767,0.03632748127,0.0019746273756,0.044619143009,0.051405042409,0.000970546156168,0.0421461910009,0.021286457777,0.000641830265522,0.0442152619362,0.0128732025623,2.21841037273e-05,0.0752593129873,0.0547432899475,0.000537421554327,0.0722545534372,0.0762670040131,0.00589103996754,0.083791539073,0.105496793985,0.00193234160542,0.0667713358998,0.0798203349113,0.00201963633299,0.125625967979,0.0274224877357,0.000362243503332,0.00502255558968,0.097826808691,0.00125406309962,0.0793965384364,0.0403081178665
pt,8,0.674586963654,0.585257208347,0.00637527788058,0.367622941732,0.515403568745,0.0310477335006,-0.278699636459,-0.19807434082,0.00618878254227,0.190671622749,0.292037914981,0.0011698175222,0.034661084413,0.163805693388,0.0020473413169,0.040033936501,0.026296645403,0.000176252797246,0.0414518564939,0.0107201933861,0.000420499593019,0.000558644533157,0.111236423254,0.00159727036953,0.0641964226961,0.0439560264349,0.000581864267588,0.119290590286,0.0589278936386,0.000414066016674,0.0956267416477,0.0514634922147,0.000396944582462,0.0257707387209,0.0179468989372,0.00439447164536,0.0455124080181,0.118432223797,0.00285972096026,0.00652627646923,0.144983351231,0.00135086104274,0.0394840538502,0.0430381894112
pt,9,1.19308447838,0.674586963654,0.0043354537338,0.46184322238,0.526168167591,0.019339138642,-0.375558704138,-0.0260298103094,0.00358765838912,0.200468183735,0.231013800244,0.0009204633534,0.011366158724,0.0261962786316,0.0008766222745,0.079557716846,0.031554237008,0.00198845006526,0.0947433710098,0.122666884214,0.000348128378391,0.0659358203411,0.05703080073,0.000202119350433,0.0407228171825,0.10709823668,0.000887706875801,0.0365290641785,0.0559834130108,0.00166813097894,0.00513979792595,0.0792889092118,0.00156600214541,0.0431850552559,0.0154474377632,0.000680107623339,0.0462819635868,0.0680828336626,0.000207521021366,0.107907384634,0.00482476502657,0.000781623646617,0.0416524112225,0.08716481179
q2,0,1.17318458557,1.00000059605,0.00535408360884,0.425770908594,0.420640468597,0.0273231118917,-0.0868919938803,-0.345126569271,0.00686950877686,0.290664869509,0.248540923677,0.0006019156426,0.0932661646511,0.051752775907,2.51401216e-05,0.0543740019206,0.020755261183,0.00138338282704,0.0970387980342,0.0756378769875,0.000978410243988,0.0290673412383,0.0329363644123,0.00175256840885,0.174923416227,0.00488770008087,0.00086379610002,0.0523506253958,0.00055655837059,0.000986598432064,0.110249467194,0.0273841619492,0.000470977276564,0.054337112233,0.0317990779877,0.00484141334891,0.0660091787577,0.202886983752,0.00290671736002,0.019926674664,0.0720643252134,0.00265613570809,0.0967934802175,0.0609581768513
q2,1,1.2992051363,1.17318458557,0.00728965224698,0.438963264227,0.333233475685,0.0311719551682,-0.0290114935488,-0.564507424831,0.0074771463271,0.248419829661,0.308029156205,0.000121396035,0.089553227648,0.064691483974,0.0008433740586,0.001089967787,0.009050846099,0.00119549036026,0.0156931206584,0.0216820836067,0.000853983685374,0.0110011808574,0.0594164729118,0.00205774977803,0.062267549336,0.0372700691223,0.00158393010497,0.132479716092,0.00192004442215,0.00144591368735,0.0697936266661,0.0456799268723,0.0030321162194,0.0128857679665,0.105180621147,0.00341627188027,0.0706721842289,0.0364210903645,0.00183181837201,0.146175175905,0.120829552412,0.00446868874133,0.0222954535857,0.236951440573
