,axis,axis_bin,err_0,err_1,err_2,par_0,par_1,par_2
0,pt,0,0.100368925836,1.57012941466,3.29976571745,0.0243681622074,0.0176339906882,0.0706408408278
1,pt,1,0.0692417633838,5.02460486128,1.0,0.0134212884976,0.685465483187,-1.0
2,pt,2,0.00328928001859,0.158077582309,0.150416361326,0.0316199568895,0.138863463264,-0.179561056325
3,pt,3,0.00905092118898,2.81543254809,1.68505461076,0.0339413182694,-0.237259885757,0.120879514201
4,pt,4,0.166948522205,3.9599770656,0.777125232595,0.0341596351244,0.0707948532875,0.007783795945
5,pt,5,0.854093176999,19.3704553864,28.4403205829,0.0327010068565,-0.231832852836,0.0708774874875
6,pt,6,0.0188441815289,0.508528389079,1.0,0.0248813786833,0.831523816584,-1.0
7,pt,7,0.0377166698381,0.666991020696,1.03785111309,0.0382538252073,-0.567972666724,-1.0
8,pt,8,0.0678868561511,5.91948090695,0.196981905677,0.0310090749211,-0.639594238626,-0.990352140937
9,pt,9,0.0708846790106,2.56284654693,2.19482977047,0.0149994440581,0.668974597478,-1.0
10,q2,0,0.0132501106418,0.452396326494,1.0,0.0192690773852,0.778707692381,-1.0
11,q2,1,0.0785535851571,7.73241751925,16.2392782682,0.033707248247,-0.61225127941,-1.0
12,q2,2,0.149802488577,4.70098872579,9.60118852855,0.023179625147,-0.612253310107,0.32368466241
13,q2,3,0.0858019822614,4.87844698679,8.67532299454,0.0290886614125,-0.0986498381982,0.00755386776304
14,q2,4,0.0312012707196,5.54645969126,4.78861463364,0.0329011420994,-0.396456267385,0.0614553608787
15,q2,5,0.0228994076216,0.912536978098,2.07654957664,0.0300655024056,-0.367001057562,0.20172648663
16,q2,6,0.0387341456524,0.847524177234,0.889269600573,0.0190666108387,0.796998313582,-1.0
17,q2,7,0.256359406726,1.98466631511,7.81181272616,0.0332669565326,-0.214407606876,-0.081983172356
18,q2,8,0.0290358959762,0.578814107385,1.0,0.0243269056669,0.753003612577,-1.0
19,q2,9,0.0350309971666,0.5836966734,0.958227481485,0.0333640368128,-0.60096560754,-0.891632561898
20,x,0,0.00360598808942,0.425618291194,7.3064054111,0.0248709640602,-0.694754786803,-0.862711617662
21,x,1,0.0357801485667,2.5591547319,0.293370205324,0.0232042873511,-0.353095975659,-0.105543275529
22,x,2,0.015297764178,0.233117981472,0.266210418926,0.0365547837634,-0.241545572782,-0.0176036156189
23,x,3,0.156485279667,0.200567623226,1.90994781682,0.0348407348854,-0.198612634354,-0.467015787118
24,x,4,0.0747367940646,1.36211178874,1.85650876821,0.0365814187456,-0.547843795251,-0.989052113312
25,x,5,0.089935023461,1.3490846258,5.03174728786,0.0300844453214,-0.423088798923,0.261505439474
26,x,6,0.0390550225335,0.486946434968,2.02885582843,0.0268550196071,0.264907210469,0.271253294565
27,x,7,0.034098165444,0.677154347632,1.0,0.0200968447247,0.708279231559,-1.0
28,x,8,0.00409786346654,0.109480456887,0.0677856939237,0.0251370885126,0.583981781057,0.177938560259
29,x,9,0.00628802524083,0.526403553602,1.09364298192,0.0216041233776,0.261303669994,0.550306556866
30,z,0,0.00968787827948,0.439880399535,0.579738918675,0.0220459312091,-0.323384860819,0.0262650695754
31,z,1,0.419213199348,6.90220799884,24.6555672014,0.0269429765589,-0.273972410224,0.285901310512
32,z,2,0.0348217317879,0.612514681746,0.136662176343,0.0346399924972,-0.00715897128351,-0.411606714494
33,z,3,0.00558306051709,12.5682606405,0.351126138807,0.0286193125657,-0.0563493049128,0.218510429027
34,z,4,0.0534913473309,0.191181735395,0.127030620376,0.0351674828722,-0.146320447527,-0.546856359034
35,z,5,0.00297651000688,5.3565450287,8.0518261567,0.026959848546,-0.415276924568,0.139050740581
36,z,6,0.190228846843,2.45083691216,4.59975838024,0.0203684352256,-0.0477159490593,0.455732140186
37,z,7,0.0371373391464,0.208442981522,0.503435064245,0.0311975287278,-0.684195756693,-0.868163888126
38,z,8,0.01352230864,2.25306687607,0.393892524124,0.0420022091754,-0.676057209343,-0.849509934083
39,z,9,0.169849861825,9.64090829152,9.50211486443,0.041870932968,-0.0503085085154,-0.266454325196
