axis,axis_bin,axis_max,axis_min,err_0,err_1,err_2,par_0,par_1,par_2
pt,3,0.3761687695980072,0.32845301032066343,0.004998504184186459,0.40365540981292725,0.4721413552761078,0.03262782096862793,-0.0978713110089302,-0.19905757904052734
pt,4,0.4221225082874298,0.3761687695980072,0.008090520277619362,0.40050357580184937,0.44273489713668823,0.03490520641207695,0.0239979550242424,-0.43548402190208435
pt,5,0.4695405125617982,0.4221225082874298,0.005851889494806528,0.4446435868740082,0.44054466485977173,0.03220345079898834,-0.23615503311157227,-0.28523123264312744
pt,6,0.5219403266906737,0.4695405125617982,0.006330297794193029,0.431284636259079,0.45319634675979614,0.03357506915926933,0.19118310511112213,-0.3114539384841919
pt,7,0.5852572083473206,0.5219403266906737,0.007768645416945219,0.4085114598274231,0.41428229212760925,0.0362405963242054,-0.11145040392875671,-0.41198310256004333
pt,8,0.6745869636535644,0.5852572083473206,0.006796870846301317,0.3842153251171112,0.42898011207580566,0.032334309071302414,-0.16280952095985413,-0.3348720967769623
pt,9,1.193084478378296,0.6745869636535644,0.0041640037670731544,0.420346736907959,0.5704695582389832,0.018789293244481087,-0.4589514434337616,-0.09428921341896057
q2,0,1.173184585571289,1.0000005960464478,0.0057315584272146225,0.4549843966960907,0.41962817311286926,0.024125680327415466,-0.004843351896852255,-0.3987591564655304
q2,1,1.2992051362991337,1.173184585571289,0.008099034428596497,0.4947810471057892,0.4127928614616394,0.028135206550359726,0.00019922255887649953,-0.5051661133766174
q2,2,1.4161123991012574,1.2992051362991337,0.005776343401521444,0.3954401910305023,0.532614529132843,0.027537548914551735,-0.2931203544139862,-0.17434626817703247
q2,3,1.5398921489715576,1.4161123991012574,0.006895255297422409,0.49463140964508057,0.5491969585418701,0.026265354827046394,-0.21863536536693573,-0.2083415985107422
q2,4,1.6799867153167725,1.5398921489715576,0.007234692573547363,0.4075893461704254,0.5134749412536621,0.030273333191871643,-0.32957199215888977,-0.23890656232833862
