,axis,axis_bin,err_0,err_1,err_2,par_0,par_1,par_2
0,pt,0,0.0791816892449,4.97521144466,1.0,0.0152018723842,0.744159374899,-1.0
1,pt,1,0.0103535572607,1.14134211419,0.7233880655,0.0258002763906,-0.463549753519,0.253905622958
2,pt,2,0.20399705349,15.6598073343,2.1623164699,0.0316199371188,0.138864096191,-0.179559589455
3,pt,3,0.0276771349447,0.126272226212,1.82683668743,0.0364397039025,-0.667761939733,-0.757198468163
4,pt,4,0.0771636517567,1.78961443283,0.976126513549,0.0341596380102,0.0707947412927,0.00778371340127
5,pt,5,0.0181057867594,1.21496474021,1.0,0.0221592483226,0.736852029579,-1.0
6,pt,6,0.0216450958137,0.451687180797,1.0,0.024881379026,0.831523813742,-1.0
7,pt,7,0.230440641988,7.45424869894,9.76711786817,0.0359894891291,-0.21565609133,-0.0723901628343
8,pt,8,0.0417863624579,4.2659993851,4.60720114896,0.0309951790527,-0.386537804985,0.138924901197
9,pt,9,0.00920830168138,7.81925744893,4.85394862476,0.0210626551558,-0.543312678035,0.180610058626
10,q2,0,0.558169446143,6.85254856126,6.83028905324,0.0263358064739,-0.128309329452,-0.0765605614272
11,q2,1,0.0311915887868,1.01494142224,1.25325152934,0.00146853597159,-1.0,1.0
12,q2,2,0.00534416318756,0.526450605191,0.304366930148,0.0231796164602,-0.612253589656,0.323684965797
13,q2,3,0.0118248820548,0.21338253346,2.66941275136,0.0290886612769,-0.0986502109411,0.00755416494777
14,q2,4,0.0335913697407,1.75248161287,2.45025520373,0.0329011427959,-0.396456249593,0.0614553314226
15,q2,5,0.0821663047502,23.567532968,3.18154611648,0.0300654777221,-0.367000575591,0.20172605181
16,q2,6,0.0621353719775,10.2344320158,1.73264540535,0.0320503082539,0.0563864506737,0.156098433223
17,q2,7,0.00372669434521,2.18501665647,3.48092118331,0.0311777576252,-0.615473455255,-0.991443872542
18,q2,8,0.10003260271,3.86669655689,0.440540378175,0.0364968691605,-0.0175076664971,-0.0408886471601
19,q2,9,0.630226768457,20.2202427334,38.3070334453,0.0207657027878,0.701766108695,-1.0
20,x,0,0.234349402926,16.8729861513,18.688309725,0.0244310611493,-0.239474941404,-0.116284176405
21,x,1,0.12222423634,2.19943399914,10.1099452431,0.0232042878501,-0.353096088418,-0.105543263262
22,x,2,0.0384837146408,1.30368131481,2.73327492911,0.0365548678057,-0.241541416865,-0.0176003419891
23,x,3,0.00344822022923,0.236439737301,0.364914831946,0.0348407355278,-0.198612924865,-0.467015704999
24,x,4,0.0164779181539,0.967357777145,0.12576217279,0.0316982094884,-0.0752266365275,0.200385030764
25,x,5,0.0040935735396,0.324586283783,0.279576423089,0.0300844099955,-0.423089290193,0.261506745635
26,x,6,0.0266543308779,0.534503365457,0.246051527667,0.0268550066766,0.264907782057,0.271253756148
27,x,7,0.248083757673,0.908047843588,1.0,0.0200968349525,0.708279421208,-1.0
28,x,8,0.0672646836301,3.4144176248,0.862348475297,0.0251371086661,0.583980869763,0.177937815793
29,x,9,0.247064901426,3.46579355778,6.04295578305,0.0216041188925,0.261303788407,0.550306723358
30,z,0,0.380746538995,20.2446477965,21.6597104689,0.0220460271894,-0.32337409099,0.0262634047661
31,z,1,0.0189179529833,2.2303399271,4.82084630164,0.0297084198919,-0.610223045328,-0.985775528222
32,z,2,0.0420932252422,1.5669166814,1.97333265088,0.034639993551,-0.00715985469031,-0.411607002913
33,z,3,0.00443512647506,0.761869099507,0.112673594097,0.0286193190954,-0.0563494849728,0.218510205936
34,z,4,0.0741665355815,1.48683633646,1.0,0.0144478854415,0.812954597253,-1.0
35,z,5,0.0735519736297,2.14311955805,3.35673436811,0.0186571882605,0.695357557281,-1.0
36,z,6,0.12794154433,7.11737773693,13.3608733118,0.0290566671867,-0.695970189874,-0.711397055885
37,z,7,0.0624102600764,2.66664399822,4.57880583102,0.0317992056887,-0.223191637276,-0.0693947605407
38,z,8,0.0482150766111,1.97917848496,3.42494928026,0.0407456859937,-0.297281795094,-0.0927443300999
39,z,9,0.00359534249705,0.241802640992,0.337505775819,0.0418710013288,-0.0503090038061,-0.266456171431
