,axis,axis_bin,err_0,err_1,err_2,par_0,par_1,par_2
0,pt,0,0.00799134663071,0.695187589819,0.496874208595,0.0243682387926,0.0176343213101,0.0706370928921
1,pt,1,0.18725168574,9.54585294125,7.27502234762,0.0258002685246,-0.463549910574,0.253906010311
2,pt,2,0.27402624394,12.6295458598,11.4136804033,0.0316199142922,0.138865865802,-0.179559128819
3,pt,3,0.137857343825,1.32434981491,4.64431645033,0.0339412890441,-0.237262470766,0.120880648015
4,pt,4,0.0134750051695,0.967512380335,0.156979983577,0.0341596360069,0.070794799211,0.00778377229295
5,pt,5,0.00492235255562,0.375410170627,0.115194787254,0.0327010731937,-0.231826316415,0.0708749436875
6,pt,6,0.13163478096,1.56250546645,1.33948116526,0.0248813531498,0.831524254682,-1.0
7,pt,7,0.00681749560646,0.16799439025,0.462255147997,0.0382538252055,-0.567972663505,-1.0
8,pt,8,0.213063945109,6.57532874659,30.0631731296,0.0309951305522,-0.386538273421,0.138926059716
9,pt,9,0.0367363231661,6.69254144549,6.72976566997,0.0216520770125,-0.705222518062,-0.935916677394
10,q2,0,0.00478151349104,0.697777862195,0.122112017905,0.0263358167012,-0.128314164584,-0.076557153061
11,q2,1,0.00950419610269,0.741904260271,0.52918764194,0.0350771363131,-0.0898938173114,-0.401006485977
12,q2,2,0.00329555236223,0.113116506029,0.112668875629,0.0231796042548,-0.612253917379,0.323685266051
13,q2,3,0.0161916145159,0.186076591073,0.686874174645,0.0310253302511,-0.588815387925,-0.883239357499
14,q2,4,0.0978964007623,5.68692877883,4.37244261235,0.035363264452,-0.626315742986,-1.0
15,q2,5,0.702769924475,21.4369836446,18.6989920061,0.030065470006,-0.367000770238,0.201726433373
16,q2,6,0.0552121886262,0.914925527889,3.12592869173,0.0320503048147,0.0563863785138,0.156098530379
17,q2,7,0.00280980341509,0.154859126993,0.143879690941,0.0332669465041,-0.214407407694,-0.0819825131549
18,q2,8,0.13864978525,1.35936823733,4.2289987195,0.0364968357944,-0.0175073678615,-0.0408875574529
19,q2,9,0.0215538699404,0.401922416878,1.67010597355,0.0333642246747,-0.600963145044,-0.891624058311
20,x,0,0.0381668082795,2.14912297095,1.44401188801,0.0244309070631,-0.239457150211,-0.116286861031
21,x,1,0.0527273048473,2.97060562795,1.0,0.0234204305196,-0.625412026819,-1.0
22,x,2,0.121708207108,5.84616275181,1.16054700567,0.0365547536985,-0.241528901626,-0.0176072592202
23,x,3,0.002300700319,0.0945498151835,0.107355332861,0.034840735766,-0.198612941044,-0.467015708315
24,x,4,0.00585524693917,0.161313224746,1.34740611444,0.036581375289,-0.547843897546,-0.98905271639
25,x,5,0.0821776036454,5.01708091623,0.811008561956,0.0300844223729,-0.423088817931,0.261506892429
26,x,6,0.0144192920897,4.81775838079,5.02678352434,0.0268550194375,0.264907198153,0.271253310421
27,x,7,0.101561397181,1.83114847653,1.81947381712,0.0292320141976,-0.569618879847,0.260925828008
28,x,8,0.0711914071783,3.24845135391,1.33106783296,0.0251370717951,0.583982300257,0.177939001487
29,x,9,0.8703602104,2.53084195336,24.9284390575,0.0216040874422,0.261303590989,0.550307551726
30,z,0,0.0347511451405,1.93419123688,1.28398922301,0.022045982809,-0.323375657589,0.026265818988
31,z,1,0.49243996205,6.41826172643,22.2623946576,0.0269429657349,-0.273972326885,0.285901864091
32,z,2,0.338055854014,7.28113361719,14.2628400848,0.028930891764,-0.564215625232,-1.0
33,z,3,0.115315198353,2.50832840326,1.15433492248,0.028619493362,-0.0563266465949,0.218494895205
34,z,4,0.0936026380395,5.56563465598,11.2996963046,0.0286750318345,-0.563642867002,-1.0
35,z,5,0.250871546726,1.90039644194,8.9939669052,0.0269598374254,-0.4152774707,0.13905128878
36,z,6,0.163232339801,11.4732163066,13.7744015667,0.0203684683925,-0.0477181178854,0.45573081974
37,z,7,0.313979506016,21.2509312692,12.4291583342,0.0317992142239,-0.223190325635,-0.0693952675761
38,z,8,0.0867252789567,0.393851288969,7.12479435253,0.0420022087006,-0.676057834516,-0.84951539797
39,z,9,0.0670225362838,0.582165315725,3.88200697339,0.0406658082428,-0.574881741103,-1.0
