axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index
x,0,0.1780274361371994,0.10681463778018951,1681,1626,-165.0,0,0.017385045,0.00053291494,-0.022204788,0
x,0,0.1780274361371994,0.10681463778018951,908,857,-135.0,1,0.023785058,0.0009258804,-0.03857835,1
x,0,0.1780274361371994,0.10681463778018951,1537,1531,-105.0,2,0.018053893,6.266504e-05,-0.0026110434,2
x,0,0.1780274361371994,0.10681463778018951,879,910,-75.0,3,0.02363625,0.0005552401,0.023135003,3
x,0,0.1780274361371994,0.10681463778018951,868,771,-45.0,4,0.024623541,0.0018963661,-0.079015255,4
x,0,0.1780274361371994,0.10681463778018951,373,369,-15.0,5,0.036710206,0.00017273704,-0.007197377,5
x,0,0.1780274361371994,0.10681463778018951,359,343,15.0,6,0.03772509,0.0007303185,-0.030429937,6
x,0,0.1780274361371994,0.10681463778018951,783,891,45.0,7,0.024350347,0.0020672723,0.08613635,7
x,0,0.1780274361371994,0.10681463778018951,852,820,75.0,8,0.024447815,0.0006132579,-0.02555241,8
x,0,0.1780274361371994,0.10681463778018951,1316,1296,105.0,9,0.01956549,0.00024535012,-0.010222921,9
x,0,0.1780274361371994,0.10681463778018951,843,828,135.0,10,0.024461359,0.00028763665,-0.0119848605,10
x,0,0.1780274361371994,0.10681463778018951,1649,1663,165.0,11,0.017375926,0.00013544629,0.005643595,11
x,1,0.2277451455593109,0.1780274361371994,1768,1738,-165.0,0,0.016887512,0.0002741819,-0.011424245,12
x,1,0.2277451455593109,0.1780274361371994,987,910,-135.0,1,0.022925967,0.0013006271,-0.054192796,13
x,1,0.2277451455593109,0.1780274361371994,1401,1390,-105.0,2,0.018928407,0.00012628805,-0.0052620023,14
x,1,0.2277451455593109,0.1780274361371994,1150,1044,-75.0,3,0.021304743,0.0015480989,-0.06450412,15
x,1,0.2277451455593109,0.1780274361371994,812,793,-45.0,4,0.02495791,0.00037932192,-0.01580508,16
x,1,0.2277451455593109,0.1780274361371994,335,320,-15.0,5,0.039054964,0.00073380285,-0.030575119,17
x,1,0.2277451455593109,0.1780274361371994,328,354,15.0,6,0.038242348,0.0012215701,0.050898753,18
x,1,0.2277451455593109,0.1780274361371994,751,746,45.0,7,0.02584549,0.00010702312,-0.004459297,19
x,1,0.2277451455593109,0.1780274361371994,963,1037,75.0,8,0.02233338,0.0011855807,0.049399197,20
x,1,0.2277451455593109,0.1780274361371994,1228,1297,105.0,9,0.019887494,0.00087562297,0.03648429,21
x,1,0.2277451455593109,0.1780274361371994,957,971,135.0,10,0.022773305,0.00023267537,0.009694807,22
x,1,0.2277451455593109,0.1780274361371994,1723,1731,165.0,11,0.017015189,7.421592e-05,0.00309233,23
x,2,0.27837511897087097,0.2277451455593109,1766,1807,-165.0,0,0.016727557,0.00036768868,0.015320362,24
x,2,0.27837511897087097,0.2277451455593109,1033,1064,-135.0,1,0.021833139,0.0004736883,0.019737013,25
x,2,0.27837511897087097,0.2277451455593109,1256,1211,-105.0,2,0.02012735,0.0005844842,-0.024353508,26
