axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index
x,0,0.1780274361371994,0.10681463778018951,1637,1630,-165.0,0,0.017495392,6.8655965e-05,-0.0028606653,0
x,0,0.1780274361371994,0.10681463778018951,887,794,-135.0,1,0.024323618,0.0017727385,-0.0738641,1
x,0,0.1780274361371994,0.10681463778018951,1197,1270,-105.0,2,0.020117603,0.00094816333,0.039506804,2
x,0,0.1780274361371994,0.10681463778018951,848,793,-75.0,3,0.024660988,0.0010739487,-0.044747863,3
x,0,0.1780274361371994,0.10681463778018951,824,807,-45.0,4,0.02475888,0.00033398301,-0.013915959,4
x,0,0.1780274361371994,0.10681463778018951,422,408,-15.0,5,0.034701705,0.00054047967,-0.022519987,5
x,0,0.1780274361371994,0.10681463778018951,394,429,15.0,6,0.034801576,0.0013626919,0.056778826,6
x,0,0.1780274361371994,0.10681463778018951,705,775,45.0,7,0.025941884,0.0015155342,0.06314726,7
x,0,0.1780274361371994,0.10681463778018951,692,705,75.0,8,0.02675274,0.00029817852,0.012424105,8
x,0,0.1780274361371994,0.10681463778018951,1228,1248,105.0,9,0.020095529,0.0002588265,0.010784438,9
x,0,0.1780274361371994,0.10681463778018951,842,795,135.0,10,0.024697691,0.00091998046,-0.03833252,10
x,0,0.1780274361371994,0.10681463778018951,1508,1568,165.0,11,0.018024346,0.0006250206,0.026042525,11
x,1,0.2277451455593109,0.1780274361371994,1671,1700,-165.0,0,0.017222334,0.00027565676,0.011485699,12
x,1,0.2277451455593109,0.1780274361371994,994,965,-135.0,1,0.022589048,0.00047434354,-0.019764313,13
x,1,0.2277451455593109,0.1780274361371994,1194,1150,-105.0,2,0.020648321,0.00060148456,-0.025061857,14
x,1,0.2277451455593109,0.1780274361371994,1039,953,-75.0,3,0.022368284,0.0013833706,-0.05764044,15
x,1,0.2277451455593109,0.1780274361371994,733,689,-45.0,4,0.026495937,0.0009914766,-0.041311525,16
x,1,0.2277451455593109,0.1780274361371994,375,333,-15.0,5,0.037464242,0.0019008395,-0.079201646,17
x,1,0.2277451455593109,0.1780274361371994,359,310,15.0,6,0.038476933,0.002346926,-0.09778858,18
x,1,0.2277451455593109,0.1780274361371994,673,717,45.0,7,0.026798123,0.001014302,0.042262584,19
x,1,0.2277451455593109,0.1780274361371994,881,841,75.0,8,0.024086542,0.0007443141,-0.031013088,20
x,1,0.2277451455593109,0.1780274361371994,1178,1174,105.0,9,0.0206196,5.4494423e-05,-0.002270601,21
x,1,0.2277451455593109,0.1780274361371994,811,858,135.0,10,0.024460463,0.0009023415,0.037597563,22
x,1,0.2277451455593109,0.1780274361371994,1564,1646,165.0,11,0.017639846,0.0008185368,0.0341057,23
x,2,0.27837511897087097,0.2277451455593109,1744,1684,-165.0,0,0.01707501,0.0005608412,-0.023368381,24
x,2,0.27837511897087097,0.2277451455593109,1061,1006,-135.0,1,0.021981409,0.0008526124,-0.035525516,25
x,2,0.27837511897087097,0.2277451455593109,1186,1129,-105.0,2,0.020772547,0.00078895694,-0.032873206,26
x,2,0.27837511897087097,0.2277451455593109,1090,1021,-75.0,3,0.021744126,0.0010473463,-0.04363943,27
x,2,0.27837511897087097,0.2277451455593109,760,696,-45.0,4,0.026161952,0.0014084714,-0.05868631,28
x,2,0.27837511897087097,0.2277451455593109,351,320,-15.0,5,0.038531065,0.0014803642,-0.061681844,29
x,2,0.27837511897087097,0.2277451455593109,305,327,15.0,6,0.03973488,0.0011154112,0.046475466,30
x,2,0.27837511897087097,0.2277451455593109,644,684,45.0,7,0.027418867,0.00096514233,0.040214263,31
x,2,0.27837511897087097,0.2277451455593109,942,1044,75.0,8,0.02238654,0.0016456987,0.06857078,32
x,2,0.27837511897087097,0.2277451455593109,1083,1122,105.0,9,0.021289947,0.00056674203,0.023614252,33
x,2,0.27837511897087097,0.2277451455593109,880,975,135.0,10,0.023163836,0.0016410019,0.06837508,34
x,2,0.27837511897087097,0.2277451455593109,1657,1690,165.0,11,0.017283613,0.00031592767,0.013163652,35
