axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,mc_mean,mc_std
x,0.10681463778018953,0.1780274361371994,0,2030,1994,0.011944354499999999,0.015763041999999998,0.00028666452,-165.0,0,0,0.0028744646132812498,0.006305100349114093
x,0.10681463778018953,0.1780274361371994,0,1038,1043,-0.003207865,0.021921068,7.6988756e-05,-135.0,1,1,-0.01833058076328125,0.009847300354516093
x,0.10681463778018953,0.1780274361371994,0,1662,1746,-0.032907728,0.01712044,0.0007897854700000001,-105.0,2,2,-0.022212446026796874,0.010558589393189337
x,0.10681463778018953,0.1780274361371994,0,1036,1019,0.011044733999999999,0.022058072999999997,0.0002650736,-75.0,3,3,-0.00762544838828125,0.009983582258897613
x,0.10681463778018953,0.1780274361371994,0,911,1013,-0.07078044,0.022740858,0.0016987306,-45.0,4,4,-0.067944667765625,0.009185515401453381
x,0.10681463778018953,0.1780274361371994,0,443,446,-0.004505445,0.033538583999999996,0.00010813068000000002,-15.0,5,5,0.010536539562499999,0.018579141790325635
x,0.10681463778018953,0.1780274361371994,0,413,446,-0.051290735999999996,0.03407465,0.0012309777,15.0,6,6,-0.03600157587031251,0.021418783678564007
x,0.10681463778018953,0.1780274361371994,0,983,983,0.0,0.022553204,0.0,45.0,7,7,0.013980237782890625,0.011071586619911424
x,0.10681463778018953,0.1780274361371994,0,977,1012,-0.023493702,0.022416237999999998,0.0005638488,75.0,8,8,-0.020598756943750005,0.01211285786580025
x,0.10681463778018953,0.1780274361371994,0,1644,1662,-0.00726922,0.017391503,0.00017446128000000002,105.0,9,9,0.0014405056769531245,0.010755373958890948
x,0.10681463778018953,0.1780274361371994,0,1034,1008,0.016999485,0.02212633,0.00040798765,135.0,10,10,0.0176123374203125,0.01187987887643024
x,0.10681463778018953,0.1780274361371994,0,2050,1986,0.021171274,0.015737185,0.0005081105599999999,165.0,11,11,0.023645422453906252,0.007864506438829324
x,0.1780274361371994,0.2277451455593109,1,2076,2097,-0.0067187594,0.015479824,0.00016125021999999998,-165.0,0,12,-0.007309345819921875,0.007606142212889759
x,0.1780274361371994,0.2277451455593109,1,1094,1162,-0.04024278,0.021036744,0.00096582674,-135.0,1,13,-0.057990224234375,0.00939810570624932
x,0.1780274361371994,0.2277451455593109,1,1456,1570,-0.050298393,0.018155803999999998,0.0012071615,-105.0,2,14,-0.054787546265625,0.00856823497555809
x,0.1780274361371994,0.2277451455593109,1,1187,1201,-0.007827299,0.02046301,0.00018785517,-75.0,3,15,-0.00644843429875,0.008332550743801318
x,0.1780274361371994,0.2277451455593109,1,816,817,-0.00081758323,0.0247461,1.9621996999999998e-05,-45.0,4,16,-0.013559065366796874,0.009636995660202489
x,0.1780274361371994,0.2277451455593109,1,387,393,-0.010270104,0.035803853999999996,0.0002464825,-15.0,5,17,-0.028020592653125002,0.01707371612612628
x,0.1780274361371994,0.2277451455593109,1,380,371,0.016000029,0.036485847,0.00038400068,15.0,6,18,-0.0035044914960937505,0.02255765632835102
x,0.1780274361371994,0.2277451455593109,1,819,840,-0.01690017,0.024547923,0.00040560410000000004,45.0,7,19,-0.00128246143296875,0.010412299345092786
x,0.1780274361371994,0.2277451455593109,1,1176,1158,0.010296505,0.020697912,0.0002471161,75.0,8,20,0.0085250860203125,0.009012338947625565
x,0.1780274361371994,0.2277451455593109,1,1554,1540,0.0060412376,0.017977608,0.00014498971000000003,105.0,9,21,0.00633947200984375,0.00910429557159044
x,0.1780274361371994,0.2277451455593109,1,1168,1084,0.049799968,0.02104634,0.0011951992,135.0,10,22,0.0368950840859375,0.009684490681631326
x,0.1780274361371994,0.2277451455593109,1,2116,2090,0.008253198,0.015418799999999998,0.00019807676,165.0,11,23,0.00850021774203125,0.006648048399179479
x,0.2277451455593109,0.27837511897087097,2,2079,2143,-0.020238575,0.015386928000000001,0.0004857258,-165.0,0,24,-0.01207834161875,0.00683424056459246
x,0.2277451455593109,0.27837511897087097,2,1260,1306,-0.023934225,0.01973546,0.00057442137,-135.0,1,25,-0.037506117382812496,0.009376808372485647
x,0.2277451455593109,0.27837511897087097,2,1384,1379,0.0024160575,0.019024283,5.798538000000001e-05,-105.0,2,26,-0.008626601540859376,0.008453852212495928
x,0.2277451455593109,0.27837511897087097,2,1179,1255,-0.041688014,0.020251725,0.0010005124,-75.0,3,27,-0.0347779919375,0.007904127048259744
x,0.2277451455593109,0.27837511897087097,2,797,879,-0.06532178,0.02437443,0.0015677228,-45.0,4,28,-0.048106508476562504,0.01036646337452541
x,0.2277451455593109,0.27837511897087097,2,376,401,-0.042957317,0.035841685,0.0010309756,-15.0,5,29,-0.040425476526562504,0.016387771890603878
x,0.2277451455593109,0.27837511897087097,2,419,350,0.11979561,0.03580123,0.0028750947999999998,15.0,6,30,0.1043511205,0.023032669680364118
x,0.2277451455593109,0.27837511897087097,2,852,847,0.0039291154,0.024260512,9.429877000000001e-05,45.0,7,31,0.006333565070390625,0.008256823801316556
x,0.2277451455593109,0.27837511897087097,2,1255,1225,0.016150566,0.020077863999999997,0.00038761357000000003,75.0,8,32,0.0450296962421875,0.009703335966523488
x,0.2277451455593109,0.27837511897087097,2,1387,1320,0.03304492,0.019209614,0.0007930780999999999,105.0,9,33,0.026273183640625,0.008412300438385383
x,0.2277451455593109,0.27837511897087097,2,1255,1183,0.03942911,0.020236962,0.00094629865,135.0,10,34,0.03669036659375,0.008745995596280264
x,0.2277451455593109,0.27837511897087097,2,2177,2168,0.0027654825,0.0151706245,6.6371584e-05,165.0,11,35,0.0056173932184375,0.006934990713458521
x,0.27837511897087097,0.3405149877071381,3,2086,2134,-0.0151861245,0.015391951000000001,0.00036446697999999996,-165.0,0,36,-0.021570509759375002,0.007827286021998293
x,0.27837511897087097,0.3405149877071381,3,1344,1385,-0.020058502,0.01913863,0.00048140404,-135.0,1,37,-0.016397343119531248,0.00907087086480251
x,0.27837511897087097,0.3405149877071381,3,1322,1408,-0.04205852,0.01912204,0.0010094045,-105.0,2,38,-0.03847345015625,0.00961745081280376
x,0.27837511897087097,0.3405149877071381,3,1317,1406,-0.043637565999999996,0.019145304,0.0010473016,-75.0,3,39,-0.038914097445312504,0.007115575376113911
x,0.27837511897087097,0.3405149877071381,3,784,859,-0.060945532999999996,0.024624825,0.0014626929000000001,-45.0,4,40,-0.052406314359375,0.013643798509406472
x,0.27837511897087097,0.3405149877071381,3,428,430,-0.0031121527,0.03413927,7.469166e-05,-15.0,5,41,0.0050722605078125,0.011688867668915677
x,0.27837511897087097,0.3405149877071381,3,430,422,0.012536277,0.03425674,0.00030087066000000003,15.0,6,42,0.0189795546859375,0.00942520269909225
x,0.27837511897087097,0.3405149877071381,3,899,851,0.036620256000000004,0.023888537999999997,0.0008788861500000001,45.0,7,43,0.0449820709453125,0.009916321499155363
x,0.27837511897087097,0.3405149877071381,3,1340,1246,0.04853081,0.019641457,0.0011647394999999999,75.0,8,44,0.051179996468749996,0.006587935764802467
x,0.27837511897087097,0.3405149877071381,3,1405,1294,0.054908335,0.019219534,0.0013177999999999998,105.0,9,45,0.053295121445312496,0.009117817107588572
x,0.27837511897087097,0.3405149877071381,3,1357,1339,0.008913962,0.019258513999999997,0.00021393509999999998,135.0,10,46,0.011682604078671874,0.00837404194658464
x,0.27837511897087097,0.3405149877071381,3,2166,2072,0.029613182000000002,0.0153542645,0.0007107163499999999,165.0,11,47,0.0170709169140625,0.007592502388665127
x,0.3405149877071381,0.6005192399024963,4,2159,2128,0.009654424,0.0152722495,0.00023170618999999998,-165.0,0,48,0.003334220999765625,0.006934951515288109
x,0.3405149877071381,0.6005192399024963,4,1445,1385,0.028306292,0.018790256,0.0006793510400000001,-135.0,1,49,0.024932655499999998,0.005151003673859855
