axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index
x,0,0.1780274361371994,0.10681463778018951,2231,2245,-165.0,0,0.014946901,0.000100223,0.004175958,0
x,0,0.1780274361371994,0.10681463778018951,1158,1094,-135.0,1,0.021057313,0.000910628,-0.037942834,1
x,0,0.1780274361371994,0.10681463778018951,1629,1660,-105.0,2,0.01743547,0.0003020141,0.012583921,2
x,0,0.1780274361371994,0.10681463778018951,1147,1086,-75.0,3,0.021147868,0.0008753275,-0.036471978,3
x,0,0.1780274361371994,0.10681463778018951,1101,1049,-45.0,4,0.021555308,0.00077498687,-0.032291118,4
x,0,0.1780274361371994,0.10681463778018951,557,543,-15.0,5,0.030146781,0.00040781646,-0.016992353,5
x,0,0.1780274361371994,0.10681463778018951,514,562,15.0,6,0.03043142,0.0014294152,0.059558965,6
x,0,0.1780274361371994,0.10681463778018951,955,1027,45.0,7,0.022435553,0.0011640141,0.048500586,7
x,0,0.1780274361371994,0.10681463778018951,985,965,75.0,8,0.022643417,0.0003286433,-0.013693471,8
x,0,0.1780274361371994,0.10681463778018951,1669,1676,105.0,9,0.017290208,6.705502e-05,0.0027939593,9
x,0,0.1780274361371994,0.10681463778018951,1087,1058,135.0,10,0.021588158,0.00043321162,-0.018050484,10
x,0,0.1780274361371994,0.10681463778018951,2042,2122,165.0,11,0.015491794,0.0006156143,0.025650596,11
x,1,0.2277451455593109,0.1780274361371994,2203,2221,-165.0,0,0.015034397,0.00013037273,0.0054321974,12
x,1,0.2277451455593109,0.1780274361371994,1286,1248,-135.0,1,0.019861389,0.0004805144,-0.020021433,13
x,1,0.2277451455593109,0.1780274361371994,1597,1490,-105.0,2,0.017979026,0.0011106483,-0.046277013,14
x,1,0.2277451455593109,0.1780274361371994,1358,1253,-75.0,3,0.019542031,0.0012885814,-0.05369089,15
x,1,0.2277451455593109,0.1780274361371994,930,881,-45.0,4,0.023483196,0.000866976,-0.036124,16
x,1,0.2277451455593109,0.1780274361371994,484,438,-15.0,5,0.032860104,0.0015986608,-0.066610865,17
x,1,0.2277451455593109,0.1780274361371994,442,405,15.0,6,0.034301918,0.0013997412,-0.05832255,18
x,1,0.2277451455593109,0.1780274361371994,852,940,45.0,7,0.023571953,0.0015735265,0.065563604,19
x,1,0.2277451455593109,0.1780274361371994,1156,1145,75.0,8,0.020846486,0.0001531812,-0.00638255,20
x,1,0.2277451455593109,0.1780274361371994,1499,1523,105.0,9,0.018189818,0.00025447563,0.010603151,21
x,1,0.2277451455593109,0.1780274361371994,1121,1109,135.0,10,0.02117563,0.00017242722,-0.0071844673,22
x,1,0.2277451455593109,0.1780274361371994,2086,2138,165.0,11,0.015384358,0.00039446537,0.016436057,23
x,2,0.27837511897087097,0.2277451455593109,2192,2133,-165.0,0,0.015203197,0.0004371146,-0.018213108,24
x,2,0.27837511897087097,0.2277451455593109,1359,1287,-135.0,1,0.019427562,0.0008719108,-0.036329616,25
x,2,0.27837511897087097,0.2277451455593109,1481,1477,-105.0,2,0.018386548,4.3330256e-05,-0.0018054273,26
x,2,0.27837511897087097,0.2277451455593109,1405,1326,-75.0,3,0.019121194,0.00092690415,-0.038621005,27
x,2,0.27837511897087097,0.2277451455593109,950,863,-45.0,4,0.02343732,0.0015376266,-0.06406777,28
x,2,0.27837511897087097,0.2277451455593109,444,407,-15.0,5,0.034221753,0.001393162,-0.058048412,29
x,2,0.27837511897087097,0.2277451455593109,404,409,15.0,6,0.03507035,0.00019706474,0.008211031,30
x,2,0.27837511897087097,0.2277451455593109,838,870,45.0,7,0.024189126,0.00060033204,0.025013834,31
x,2,0.27837511897087097,0.2277451455593109,1203,1328,75.0,8,0.019833883,0.001582513,0.06593804,32
x,2,0.27837511897087097,0.2277451455593109,1366,1452,105.0,9,0.018822128,0.000977883,0.040745124,33
x,2,0.27837511897087097,0.2277451455593109,1154,1242,135.0,10,0.02040487,0.0011768612,0.049035884,34
x,2,0.27837511897087097,0.2277451455593109,2128,2190,165.0,11,0.015215241,0.0004600854,0.019170225,35
x,3,0.34051498770713806,0.27837511897087097,2231,2164,-165.0,0,0.015081015,0.00048847834,-0.020353265,36
x,3,0.34051498770713806,0.27837511897087097,1389,1378,-135.0,1,0.019010315,0.00012738342,-0.0053076427,37
x,3,0.34051498770713806,0.27837511897087097,1431,1374,-105.0,2,0.018874424,0.0006511355,-0.027130647,38
x,3,0.34051498770713806,0.27837511897087097,1435,1283,-75.0,3,0.019127637,0.0017919404,-0.07466418,39
x,3,0.34051498770713806,0.27837511897087097,921,872,-45.0,4,0.023600467,0.00087567954,-0.036486648,40
x,3,0.34051498770713806,0.27837511897087097,481,439,-15.0,5,0.032907728,0.00146282,-0.06095083,41
x,3,0.34051498770713806,0.27837511897087097,387,437,15.0,6,0.034722142,0.00194434,0.081014164,42
x,3,0.34051498770713806,0.27837511897087097,832,910,45.0,7,0.023916548,0.0014347489,0.0597812,43
x,3,0.34051498770713806,0.27837511897087097,1298,1299,75.0,8,0.019622935,1.2338362e-05,0.0005140984,44
