axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index
x,0,0.1780274361371994,0.10681463778018951,2341,2299,-165.0,0,0.014679434,0.0002900419,-0.012085079,0
x,0,0.1780274361371994,0.10681463778018951,1073,1114,-135.0,1,0.021376643,0.00060070946,0.02502956,1
x,0,0.1780274361371994,0.10681463778018951,1595,1590,-105.0,2,0.01771921,5.030255e-05,-0.0020959396,2
x,0,0.1780274361371994,0.10681463778018951,847,868,-75.0,3,0.024144037,0.00039235989,0.016348328,3
x,0,0.1780274361371994,0.10681463778018951,898,808,-45.0,4,0.024150746,0.0016904132,-0.070433885,4
x,0,0.1780274361371994,0.10681463778018951,437,431,-15.0,5,0.033940766,0.00022149346,-0.0092288945,5
x,0,0.1780274361371994,0.10681463778018951,421,420,15.0,6,0.034482718,3.810074e-05,-0.0015875308,6
x,0,0.1780274361371994,0.10681463778018951,848,871,45.0,7,0.024115304,0.0004287275,0.017863646,7
x,0,0.1780274361371994,0.10681463778018951,868,994,75.0,8,0.023079716,0.0021683048,0.09034603,8
x,0,0.1780274361371994,0.10681463778018951,1598,1707,105.0,9,0.017377721,0.0010567798,0.044032488,9
x,0,0.1780274361371994,0.10681463778018951,1059,1066,135.0,10,0.021692835,0.000105552506,0.004398021,10
x,0,0.1780274361371994,0.10681463778018951,2524,2527,165.0,11,0.014070553,1.9031513e-05,0.00079297967,11
x,1,0.2277451455593109,0.1780274361371994,2373,2375,-165.0,0,0.014512578,1.3497356e-05,0.00056238985,12
x,1,0.2277451455593109,0.1780274361371994,1296,1224,-135.0,1,0.019905977,0.00091550645,-0.0381461,13
x,1,0.2277451455593109,0.1780274361371994,1638,1510,-105.0,2,0.017796792,0.0013028807,-0.054286696,14
x,1,0.2277451455593109,0.1780274361371994,1174,1089,-75.0,3,0.020994762,0.0012035491,-0.050147876,15
x,1,0.2277451455593109,0.1780274361371994,781,687,-45.0,4,0.026004234,0.0020517819,-0.08549091,16
x,1,0.2277451455593109,0.1780274361371994,386,358,-15.0,5,0.03661547,0.0012059091,-0.05024621,17
x,1,0.2277451455593109,0.1780274361371994,391,355,15.0,6,0.03653653,0.0015462976,-0.06442907,18
x,1,0.2277451455593109,0.1780274361371994,750,840,45.0,7,0.025006777,0.0018137391,0.07557246,19
x,1,0.2277451455593109,0.1780274361371994,1072,1128,75.0,8,0.021307757,0.0008156329,0.033984706,20
x,1,0.2277451455593109,0.1780274361371994,1579,1574,105.0,9,0.017808897,5.0813076e-05,-0.0021172115,21
x,1,0.2277451455593109,0.1780274361371994,1344,1324,135.0,10,0.019359108,0.00024020032,-0.010008346,22
x,1,0.2277451455593109,0.1780274361371994,2519,2537,165.0,11,0.01406344,0.00011407615,0.004753173,23
