axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index
x,0,0.1780274361371994,0.10681463778018951,2487,2493,-165.0,0,0.0141704865,3.8605693e-05,0.0016085705,0
x,0,0.1780274361371994,0.10681463778018951,1263,1265,-135.0,1,0.01988892,2.5350257e-05,0.0010562607,1
x,0,0.1780274361371994,0.10681463778018951,1786,1821,-105.0,2,0.016649088,0.00031092193,0.01295508,2
x,0,0.1780274361371994,0.10681463778018951,943,984,-75.0,3,0.022771092,0.00068176,0.028406668,3
x,0,0.1780274361371994,0.10681463778018951,1006,919,-45.0,4,0.022750584,0.0014481646,-0.060340192,4
x,0,0.1780274361371994,0.10681463778018951,525,510,-15.0,5,0.031077674,0.0004643873,-0.01934947,5
x,0,0.1780274361371994,0.10681463778018951,471,476,15.0,6,0.032494828,0.00016918017,0.0070491736,6
x,0,0.1780274361371994,0.10681463778018951,996,986,45.0,7,0.022461478,0.00016166863,-0.0067361933,7
x,0,0.1780274361371994,0.10681463778018951,1020,1125,75.0,8,0.021545514,0.0015685249,0.065355204,8
x,0,0.1780274361371994,0.10681463778018951,1759,1897,105.0,9,0.016517514,0.0012094901,0.05039542,9
x,0,0.1780274361371994,0.10681463778018951,1176,1201,135.0,10,0.02050891,0.00033700804,0.014042001,10
x,0,0.1780274361371994,0.10681463778018951,2738,2758,165.0,11,0.013488744,0.0001166038,0.0048584915,11
x,1,0.2277451455593109,0.1780274361371994,2496,2481,-165.0,0,0.014174661,9.65724e-05,-0.00402385,12
x,1,0.2277451455593109,0.1780274361371994,1443,1357,-135.0,1,0.018882327,0.0009841694,-0.041007057,13
x,1,0.2277451455593109,0.1780274361371994,1787,1669,-105.0,2,0.016992662,0.0010940513,-0.045585472,14
x,1,0.2277451455593109,0.1780274361371994,1281,1188,-75.0,3,0.0200997,0.0012069556,-0.050289817,15
x,1,0.2277451455593109,0.1780274361371994,868,794,-45.0,4,0.024485884,0.0014266917,-0.059445485,16
x,1,0.2277451455593109,0.1780274361371994,434,419,-15.0,5,0.03422991,0.0005634711,-0.023477962,17
x,1,0.2277451455593109,0.1780274361371994,451,411,15.0,6,0.033994704,0.0014869013,-0.061954223,18
x,1,0.2277451455593109,0.1780274361371994,860,949,45.0,7,0.023460744,0.0015764524,0.06568552,19
x,1,0.2277451455593109,0.1780274361371994,1172,1237,75.0,8,0.020361023,0.00086458155,0.03602423,20
x,1,0.2277451455593109,0.1780274361371994,1693,1701,105.0,9,0.017164927,7.5527925e-05,0.003146997,21
x,1,0.2277451455593109,0.1780274361371994,1419,1386,135.0,10,0.018879043,0.0003769732,-0.015707217,22
x,1,0.2277451455593109,0.1780274361371994,2643,2677,165.0,11,0.013709714,0.00020478433,0.008532681,23
x,2,0.27837511897087097,0.2277451455593109,2529,2347,-165.0,0,0.014303035,0.0011960163,-0.049834013,24
x,2,0.27837511897087097,0.2277451455593109,1476,1431,-135.0,1,0.0185432,0.0004960174,-0.02066739,25
x,2,0.27837511897087097,0.2277451455593109,1751,1587,-105.0,2,0.01727112,0.0015742979,-0.065595746,26
x,2,0.27837511897087097,0.2277451455593109,1252,1256,-75.0,3,0.019968031,5.110482e-05,0.0021293676,27
x,2,0.27837511897087097,0.2277451455593109,893,805,-45.0,4,0.024209678,0.0016606357,-0.069193155,28
x,2,0.27837511897087097,0.2277451455593109,414,436,-15.0,5,0.03427923,0.00082934106,0.03455588,29
x,2,0.27837511897087097,0.2277451455593109,431,451,15.0,6,0.033656318,0.00072659244,0.030274684,30
x,2,0.27837511897087097,0.2277451455593109,885,855,45.0,7,0.023966812,0.0005524608,-0.023019198,31
x,2,0.27837511897087097,0.2277451455593109,1234,1297,75.0,8,0.019866161,0.0007975865,0.03323277,32
x,2,0.27837511897087097,0.2277451455593109,1490,1553,105.0,9,0.018121038,0.00066338864,0.027641194,33
x,2,0.27837511897087097,0.2277451455593109,1540,1566,135.0,10,0.017942052,0.00026822626,0.011176094,34
x,2,0.27837511897087097,0.2277451455593109,2645,2717,165.0,11,0.013654217,0.0004302641,0.01792767,35
x,3,0.34051498770713806,0.27837511897087097,2514,2351,-165.0,0,0.014322658,0.0010735794,-0.044732474,36
x,3,0.34051498770713806,0.27837511897087097,1549,1489,-135.0,1,0.018136567,0.0006328385,-0.026368272,37
x,3,0.34051498770713806,0.27837511897087097,1626,1576,-105.0,2,0.017668307,0.00050035486,-0.020848118,38
x,3,0.34051498770713806,0.27837511897087097,1473,1375,-75.0,3,0.018718507,0.0011025937,-0.045941405,39
x,3,0.34051498770713806,0.27837511897087097,912,903,-45.0,4,0.023472112,0.00015888954,-0.0066203973,40
x,3,0.34051498770713806,0.27837511897087097,467,446,-15.0,5,0.03307956,0.0007370177,-0.030709071,41
x,3,0.34051498770713806,0.27837511897087097,473,466,15.0,6,0.03263215,0.00023887014,-0.009952922,42
x,3,0.34051498770713806,0.27837511897087097,875,930,45.0,7,0.02351807,0.00097637106,0.040682126,43
x,3,0.34051498770713806,0.27837511897087097,1441,1458,75.0,8,0.018572167,0.00018790146,0.0078292275,44
x,3,0.34051498770713806,0.27837511897087097,1435,1474,105.0,9,0.018537816,0.0004295862,0.017899424,45
x,3,0.34051498770713806,0.27837511897087097,1595,1630,135.0,10,0.01760717,0.0003477505,0.014489603,46
x,3,0.34051498770713806,0.27837511897087097,2524,2592,165.0,11,0.013978686,0.00042590016,0.01774584,47
x,4,0.6005192399024963,0.34051498770713806,2354,2331,-165.0,0,0.0146095175,0.00015730686,-0.0065544522,48
x,4,0.6005192399024963,0.34051498770713806,1589,1532,-135.0,1,0.017894682,0.00058520836,-0.02438368,49
x,4,0.6005192399024963,0.34051498770713806,1630,1530,-105.0,2,0.017773317,0.0010140102,-0.042250425,50
x,4,0.6005192399024963,0.34051498770713806,1537,1404,-75.0,3,0.018406002,0.001449059,-0.060377456,51
x,4,0.6005192399024963,0.34051498770713806,959,980,-45.0,4,0.02270731,0.0003470331,0.014459712,52
x,4,0.6005192399024963,0.34051498770713806,480,428,-15.0,5,0.033089016,0.0018350459,-0.07646024,53
x,4,0.6005192399024963,0.34051498770713806,476,470,15.0,6,0.03251164,0.0002032308,-0.00846795,54
x,4,0.6005192399024963,0.34051498770713806,926,1000,45.0,7,0.022756197,0.0012311327,0.05129719,55
