axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index
x,0,0.1780274361371994,0.10681463778018951,1804,1767,-165.0,0,0.016732603,0.00033200244,-0.013833435,0
x,0,0.1780274361371994,0.10681463778018951,967,935,-135.0,1,0.022923723,0.00053909945,-0.022462476,1
x,0,0.1780274361371994,0.10681463778018951,1630,1599,-105.0,2,0.017596662,0.00030762603,-0.012817752,2
x,0,0.1780274361371994,0.10681463778018951,981,1001,-75.0,3,0.022459948,0.00032333727,0.013472387,3
x,0,0.1780274361371994,0.10681463778018951,913,842,-45.0,4,0.02383565,0.0012963153,-0.054013137,4
x,0,0.1780274361371994,0.10681463778018951,404,364,-15.0,5,0.035997044,0.0016688918,-0.069537155,5
x,0,0.1780274361371994,0.10681463778018951,359,328,15.0,6,0.03808308,0.001445887,-0.060245294,6
x,0,0.1780274361371994,0.10681463778018951,840,942,45.0,7,0.023619693,0.0018340952,0.076420635,7
x,0,0.1780274361371994,0.10681463778018951,927,870,75.0,8,0.023568729,0.0010163801,-0.042349175,8
x,0,0.1780274361371994,0.10681463778018951,1422,1383,105.0,9,0.018878119,0.0004455138,-0.018563075,9
x,0,0.1780274361371994,0.10681463778018951,909,887,135.0,10,0.023593303,0.0003925055,-0.016354395,10
x,0,0.1780274361371994,0.10681463778018951,1689,1742,165.0,11,0.017068574,0.00049497647,0.02062402,11
x,1,0.2277451455593109,0.1780274361371994,1917,1888,-165.0,0,0.016210642,0.00024421522,-0.010175634,12
x,1,0.2277451455593109,0.1780274361371994,1082,1033,-135.0,1,0.021733865,0.00074236095,-0.030931706,13
x,1,0.2277451455593109,0.1780274361371994,1523,1477,-105.0,2,0.018253593,0.0004913217,-0.020471739,14
x,1,0.2277451455593109,0.1780274361371994,1258,1186,-75.0,3,0.020212183,0.00094397546,-0.03933231,15
x,1,0.2277451455593109,0.1780274361371994,892,879,-45.0,4,0.023761282,0.00023520914,-0.009800381,16
x,1,0.2277451455593109,0.1780274361371994,360,347,-15.0,5,0.037597537,0.00058918726,-0.02454947,17
x,1,0.2277451455593109,0.1780274361371994,332,359,15.0,6,0.037989993,0.0012520312,0.052167963,18
