axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,mc_mean,mc_std
x,0.10681463778018953,0.1780274361371994,0,2049,2017,0.010507533000000001,0.015681671,0.0002521808,-165.0,0,0,0.01612357074453125,0.00716894424250225
x,0.10681463778018953,0.1780274361371994,0,1012,965,0.031740177,0.022479042,0.00076176424,-135.0,1,1,0.030188052166796875,0.015466997446323214
x,0.10681463778018953,0.1780274361371994,0,1660,1677,-0.0068015969999999995,0.01731059,0.00016323832,-105.0,2,2,0.0024745343710937504,0.00821618349662201
x,0.10681463778018953,0.1780274361371994,0,941,990,-0.03387911,0.022743614,0.0008130986,-75.0,3,3,-0.026624392669531254,0.011897300021685877
x,0.10681463778018953,0.1780274361371994,0,971,963,0.005522703,0.022738675,0.00013254487,-45.0,4,4,0.010387541573124999,0.008955205794581183
x,0.10681463778018953,0.1780274361371994,0,474,471,0.0042384556,0.03252971,0.00010172294,-15.0,5,5,0.012252754880468751,0.01934282806584484
x,0.10681463778018953,0.1780274361371994,0,464,456,0.011609682,0.0329668,0.00027863236,15.0,6,6,-0.005521147684375,0.01625204083503712
x,0.10681463778018953,0.1780274361371994,0,992,894,0.069374934,0.022971086,0.0016649985,45.0,7,7,0.068394137125,0.011200351442860981
x,0.10681463778018953,0.1780274361371994,0,1058,1036,0.01402698,0.02185088,0.00033664753,75.0,8,8,0.01915941625546875,0.010320974662432054
x,0.10681463778018953,0.1780274361371994,0,1678,1592,0.035113078,0.017476652,0.0008427138699999999,105.0,9,9,0.046359250835937504,0.007749546732531919
x,0.10681463778018953,0.1780274361371994,0,1017,1035,-0.011711522,0.022074025,0.00028107653,135.0,10,10,-0.010298510716875,0.010626615242219034
x,0.10681463778018953,0.1780274361371994,0,2143,2061,0.026041698,0.015417762,0.00062500074,165.0,11,11,0.025620800914062502,0.00603488568387719
x,0.1780274361371994,0.2277451455593109,1,2003,2140,-0.0441493,0.01552097,0.0010595832,-165.0,0,12,-0.028507781933593747,0.007540355502089112
x,0.1780274361371994,0.2277451455593109,1,1119,1163,-0.025742766,0.020926578,0.00061782636,-135.0,1,13,-0.017651133151562498,0.010190613150441272
x,0.1780274361371994,0.2277451455593109,1,1446,1528,-0.036812138,0.018324623,0.0008834913,-105.0,2,14,-0.0374923687109375,0.007965045148645373
x,0.1780274361371994,0.2277451455593109,1,1133,1214,-0.046077627999999995,0.02061968,0.0011058630000000001,-75.0,3,15,-0.0416820350390625,0.008694194448363578
x,0.1780274361371994,0.2277451455593109,1,839,912,-0.055661496,0.023860697,0.0013358760000000002,-45.0,4,16,-0.0493881366953125,0.010099986356438105
x,0.1780274361371994,0.2277451455593109,1,375,401,-0.04473318,0.035861973,0.0010735964,-15.0,5,17,-0.02774620814609375,0.015731744326311137
x,0.1780274361371994,0.2277451455593109,1,429,411,0.028609576,0.034489155,0.00068662985,15.0,6,18,0.03177440561796875,0.019479761045002555
x,0.1780274361371994,0.2277451455593109,1,947,887,0.04367874,0.023328437999999996,0.0010482897,45.0,7,19,0.0544127536171875,0.007593458446144992
x,0.1780274361371994,0.2277451455593109,1,1138,1125,0.007669675,0.021020592999999997,0.00018407221000000002,75.0,8,20,0.0175929890265625,0.011081750294260596
x,0.1780274361371994,0.2277451455593109,1,1550,1484,0.029043337000000002,0.018147172,0.0006970400999999999,105.0,9,21,0.02398842029140625,0.00861101627408146
x,0.1780274361371994,0.2277451455593109,1,1145,1139,0.0035073033000000003,0.02092422,8.417528e-05,135.0,10,22,0.007183964985624999,0.012086127373316059
x,0.1780274361371994,0.2277451455593109,1,2007,2025,-0.005960328000000001,0.01574824,0.00014304787,165.0,11,23,0.005027928186484376,0.008581498196538676
x,0.2277451455593109,0.27837511897087097,2,2032,2138,-0.033938136,0.01547682,0.0008145153,-165.0,0,24,-0.0322599030625,0.00522883783110049
x,0.2277451455593109,0.27837511897087097,2,1176,1213,-0.020677771,0.02045498,0.0004962665,-135.0,1,25,-0.017415564713281248,0.01019471408327125
x,0.2277451455593109,0.27837511897087097,2,1404,1533,-0.058641344000000005,0.018420441,0.0014073923,-105.0,2,26,-0.04771323649999999,0.00968594824913447
x,0.2277451455593109,0.27837511897087097,2,1273,1200,0.039410952,0.02009326,0.0009458628500000001,-75.0,3,27,0.0340761763421875,0.013793253643948613
x,0.2277451455593109,0.27837511897087097,2,793,855,-0.050228786,0.024602138,0.0012054909,-45.0,4,28,-0.0577692584140625,0.00691856171225206
x,0.2277451455593109,0.27837511897087097,2,405,391,0.023481894,0.035434287,0.00056356547,-15.0,5,29,0.03488523357265625,0.01498476008226207
x,0.2277451455593109,0.27837511897087097,2,391,391,0.0,0.035759926000000004,0.0,15.0,6,30,0.00065545428203125,0.016322916398615123
x,0.2277451455593109,0.27837511897087097,2,858,830,0.022146432,0.02433365,0.00053151435,45.0,7,31,0.0354765821875,0.010598978080190747
x,0.2277451455593109,0.27837511897087097,2,1268,1202,0.035675097,0.020108283,0.0008562022999999999,75.0,8,32,0.043848018828124995,0.012212448473075557
x,0.2277451455593109,0.27837511897087097,2,1467,1346,0.057429336,0.018823387,0.0013783041,105.0,9,33,0.0562770120546875,0.007813972526170226
x,0.2277451455593109,0.27837511897087097,2,1262,1264,-0.001057097,0.019896794,2.5370327e-05,135.0,10,34,-0.00810951129578125,0.01004434470585782
x,0.2277451455593109,0.27837511897087097,2,2075,2152,-0.024320731,0.015376425,0.0005836976,165.0,11,35,-0.014504844953593748,0.007104455696745515
x,0.27837511897087097,0.3405149877071381,3,2010,2071,-0.019956363,0.015650571999999998,0.00047895272000000004,-165.0,0,36,-0.026141951382812497,0.006298616335042894
x,0.27837511897087097,0.3405149877071381,3,1222,1340,-0.061492345999999996,0.019719131,0.0014758164000000002,-135.0,1,37,-0.043923640828125,0.01027692604729445
x,0.27837511897087097,0.3405149877071381,3,1299,1371,-0.03600306,0.019340279,0.0008640734599999999,-105.0,2,38,-0.028797915476562498,0.005127444362535174
x,0.27837511897087097,0.3405149877071381,3,1225,1321,-0.050342064000000006,0.01979337,0.0012082095,-75.0,3,39,-0.051131104390625,0.006647237917138257
x,0.27837511897087097,0.3405149877071381,3,864,884,-0.015275898000000001,0.023915453,0.00036662156,-45.0,4,40,-0.012079495431171875,0.010998603140750202
x,0.27837511897087097,0.3405149877071381,3,374,409,-0.059679404000000005,0.035673387,0.0014323057,-15.0,5,41,-0.054740554914062496,0.012036884695211657
x,0.27837511897087097,0.3405149877071381,3,402,408,-0.009889729,0.0351347,0.00023735351,15.0,6,42,0.0037366699390624994,0.013335172025334286
x,0.27837511897087097,0.3405149877071381,3,861,852,0.007014606600000001,0.024160761,0.00016835055,45.0,7,43,-0.00214499847984375,0.011117574766976291
x,0.27837511897087097,0.3405149877071381,3,1364,1238,0.06465192,0.01956306,0.0015516462,75.0,8,44,0.0619274271796875,0.010262728580481516
x,0.27837511897087097,0.3405149877071381,3,1332,1276,0.02866808,0.019573463,0.00068803394,105.0,9,45,0.02578219159296875,0.006257123893207717
x,0.27837511897087097,0.3405149877071381,3,1312,1245,0.03498342,0.019763721,0.0008396021000000001,135.0,10,46,0.03918534253125,0.00698189756947065
x,0.27837511897087097,0.3405149877071381,3,1967,2020,-0.017747935,0.01583465,0.00042595044999999996,165.0,11,47,-0.0199651494703125,0.008595688506891767
x,0.3405149877071381,0.6005192399024963,4,2025,1965,0.020076895,0.015827999,0.0004818455,-165.0,0,48,0.028586471015624997,0.004836056908110702
x,0.3405149877071381,0.6005192399024963,4,1291,1356,-0.03278518,0.019426273,0.00078684435,-135.0,1,49,-0.036680891031249996,0.0071092499925218535
x,0.3405149877071381,0.6005192399024963,4,1270,1313,-0.022226047000000002,0.019671183000000002,0.0005334251299999999,-105.0,2,50,-0.0202397254,0.006288844600340871
x,0.3405149877071381,0.6005192399024963,4,1217,1333,-0.060734574000000006,0.019766394,0.0014576297,-75.0,3,51,-0.04695985146875,0.009389880207334347
x,0.3405149877071381,0.6005192399024963,4,840,916,-0.05778395,0.023823824,0.0013868149,-45.0,4,52,-0.05220507425,0.004898653173302322
x,0.3405149877071381,0.6005192399024963,4,422,469,-0.07042686,0.033418074,0.0016902447,-15.0,5,53,-0.058662996507812495,0.010781288525191763
x,0.3405149877071381,0.6005192399024963,4,397,450,-0.08354311,0.034240287,0.0020050346,15.0,6,54,-0.049089025210937505,0.017561529727505465
x,0.3405149877071381,0.6005192399024963,4,851,824,0.021521232999999997,0.02442823,0.0005165095999999999,45.0,7,55,0.021346879653125005,0.006158758503886436
x,0.3405149877071381,0.6005192399024963,4,1315,1313,0.001016068,0.019506847,2.4385634e-05,75.0,8,56,0.0011750126659374998,0.00668972729308607
