axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index
x,0,0.1780274361371994,0.10681463778018951,2034,2141,-165.0,0,0.0154674025,0.0008212147,0.03421728,0
x,0,0.1780274361371994,0.10681463778018951,991,983,-135.0,1,0.022507127,0.00012985908,-0.0054107946,1
x,0,0.1780274361371994,0.10681463778018951,1674,1750,-105.0,2,0.017082142,0.0007112287,0.029634528,2
x,0,0.1780274361371994,0.10681463778018951,1082,1014,-75.0,3,0.021822102,0.001039554,-0.04331475,3
x,0,0.1780274361371994,0.10681463778018951,1050,1007,-45.0,4,0.022040104,0.00066982844,-0.02790952,4
x,0,0.1780274361371994,0.10681463778018951,415,478,-15.0,5,0.03331495,0.002260573,0.09419054,5
x,0,0.1780274361371994,0.10681463778018951,462,440,15.0,6,0.0332787,0.0007815298,-0.032563742,6
x,0,0.1780274361371994,0.10681463778018951,908,924,45.0,7,0.023361878,0.0002798491,0.011660379,7
x,0,0.1780274361371994,0.10681463778018951,926,1003,75.0,8,0.022736115,0.0012790512,0.053293798,8
x,0,0.1780274361371994,0.10681463778018951,1642,1701,105.0,9,0.017290646,0.0005655162,0.023563175,9
x,0,0.1780274361371994,0.10681463778018951,979,1032,135.0,10,0.02228563,0.00084448745,0.035186976,10
x,0,0.1780274361371994,0.10681463778018951,2065,2049,165.0,11,0.015590571,0.00012461924,-0.0051924684,11
x,1,0.2277451455593109,0.1780274361371994,2252,2245,-165.0,0,0.0149120595,4.9877486e-05,-0.0020782286,12
x,1,0.2277451455593109,0.1780274361371994,1252,1158,-135.0,1,0.020342384,0.0012497992,-0.052074965,13
x,1,0.2277451455593109,0.1780274361371994,1625,1560,-105.0,2,0.01771267,0.0006539331,-0.027247213,14
x,1,0.2277451455593109,0.1780274361371994,1316,1208,-75.0,3,0.01987218,0.0013710833,-0.05712847,15
x,1,0.2277451455593109,0.1780274361371994,927,840,-45.0,4,0.02373785,0.0015776553,-0.06573564,16
x,1,0.2277451455593109,0.1780274361371994,419,389,-15.0,5,0.03513663,0.0011897051,-0.049571045,17
x,1,0.2277451455593109,0.1780274361371994,368,427,15.0,6,0.03529182,0.0023780137,0.0990839,18
x,1,0.2277451455593109,0.1780274361371994,749,803,45.0,7,0.025356252,0.0011148886,0.04645369,19
x,1,0.2277451455593109,0.1780274361371994,1084,1200,75.0,8,0.02087619,0.0016273886,0.06780786,20
x,1,0.2277451455593109,0.1780274361371994,1472,1622,105.0,9,0.017940236,0.0015534611,0.064727545,21
x,1,0.2277451455593109,0.1780274361371994,1139,1217,135.0,10,0.020582005,0.0010608372,0.04420155,22
x,1,0.2277451455593109,0.1780274361371994,2180,2296,165.0,11,0.014938082,0.0008304192,0.034600798,23
x,2,0.27837511897087097,0.2277451455593109,2241,2198,-165.0,0,0.015007941,0.0003103936,-0.012933066,24
x,2,0.27837511897087097,0.2277451455593109,1399,1281,-135.0,1,0.019283282,0.0014108364,-0.058784846,25
x,2,0.27837511897087097,0.2277451455593109,1574,1491,-105.0,2,0.018050978,0.0008677148,-0.036154784,26
x,2,0.27837511897087097,0.2277451455593109,1368,1276,-75.0,3,0.019426748,0.001114951,-0.046456292,27
x,2,0.27837511897087097,0.2277451455593109,817,820,-45.0,4,0.024715783,5.8722155e-05,0.0024467565,28
x,2,0.27837511897087097,0.2277451455593109,403,378,-15.0,5,0.03575012,0.0010256954,-0.042737305,29
x,2,0.27837511897087097,0.2277451455593109,358,391,15.0,6,0.036475934,0.0014117621,0.05882342,30
x,2,0.27837511897087097,0.2277451455593109,740,797,45.0,7,0.02547593,0.0011883117,0.04951299,31
x,2,0.27837511897087097,0.2277451455593109,1274,1366,75.0,8,0.019441396,0.0011166404,0.04652668,32
x,2,0.27837511897087097,0.2277451455593109,1406,1481,105.0,9,0.018600097,0.0008324227,0.034684278,33
x,2,0.27837511897087097,0.2277451455593109,1270,1313,135.0,10,0.019671183,0.00053342513,0.022226047,34
x,2,0.27837511897087097,0.2277451455593109,2187,2088,165.0,11,0.015287071,0.00074204203,-0.030918417,35
x,3,0.34051498770713806,0.27837511897087097,2111,2109,-165.0,0,0.015393724,1.5186124e-05,-0.00063275517,36
x,3,0.34051498770713806,0.27837511897087097,1384,1286,-135.0,1,0.019329574,0.0011761,-0.049004164,37
x,3,0.34051498770713806,0.27837511897087097,1449,1377,-105.0,2,0.018800203,0.00081637513,-0.03401563,38
x,3,0.34051498770713806,0.27837511897087097,1482,1315,-75.0,3,0.018848183,0.0019131695,-0.07971539,39
x,3,0.34051498770713806,0.27837511897087097,838,832,-45.0,4,0.024470158,0.000115123556,-0.0047968146,40
x,3,0.34051498770713806,0.27837511897087097,399,420,-15.0,5,0.034922346,0.0008216083,0.034233678,41
x,3,0.34051498770713806,0.27837511897087097,357,400,15.0,6,0.036240947,0.0018201283,0.07583868,42
x,3,0.34051498770713806,0.27837511897087097,807,836,45.0,7,0.024663834,0.00056557456,0.023565607,43
