axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index
x,0,0.1780274361371994,0.10681463778018951,2661,2678,-165.0,0,0.013685672,0.00010202778,0.0042511574,0
x,0,0.1780274361371994,0.10681463778018951,1274,1293,-135.0,1,0.019736305,0.00023716858,0.0098820245,1
x,0,0.1780274361371994,0.10681463778018951,1811,1802,-105.0,2,0.016636563,7.981858e-05,-0.003325774,2
x,0,0.1780274361371994,0.10681463778018951,1004,1035,-75.0,3,0.022141237,0.00048716253,0.020298438,3
x,0,0.1780274361371994,0.10681463778018951,1004,899,-45.0,4,0.0228612,0.0017679906,-0.073666275,4
x,0,0.1780274361371994,0.10681463778018951,506,490,-15.0,5,0.031678922,0.0005147425,-0.021447605,5
x,0,0.1780274361371994,0.10681463778018951,480,477,15.0,6,0.032325126,0.00010044741,-0.0041853087,6
x,0,0.1780274361371994,0.10681463778018951,987,978,45.0,7,0.02255852,0.00014676056,-0.0061150235,7
x,0,0.1780274361371994,0.10681463778018951,1011,1140,75.0,8,0.021492312,0.0019216696,0.080069564,8
x,0,0.1780274361371994,0.10681463778018951,1818,1955,105.0,9,0.01626094,0.0011634914,0.04847881,9
x,0,0.1780274361371994,0.10681463778018951,1246,1258,135.0,10,0.01998361,0.00015355938,0.006398307,10
x,0,0.1780274361371994,0.10681463778018951,2853,2854,165.0,11,0.013237197,5.6146355e-06,0.00023394314,11
x,1,0.2277451455593109,0.1780274361371994,2668,2681,-165.0,0,0.013672925,7.787538e-05,0.0032448075,12
x,1,0.2277451455593109,0.1780274361371994,1498,1420,-135.0,1,0.018500378,0.0008565224,-0.035688434,13
x,1,0.2277451455593109,0.1780274361371994,1788,1665,-105.0,2,0.016998477,0.0011414003,-0.047558345,14
x,1,0.2277451455593109,0.1780274361371994,1327,1228,-75.0,3,0.019757073,0.0012415771,-0.05173238,15
x,1,0.2277451455593109,0.1780274361371994,871,799,-45.0,4,0.024429865,0.0013814827,-0.057561778,16
x,1,0.2277451455593109,0.1780274361371994,424,398,-15.0,5,0.03484789,0.0010135168,-0.042229865,17
x,1,0.2277451455593109,0.1780274361371994,440,399,15.0,6,0.034450274,0.0015658542,-0.06524392,18
