axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index,mc_mean,mc_std
x,0,0.1780274361371994,0.10681463778018953,1755,1705,-165.0,0,0.016997347,0.00046304511,-0.019293547,0,-0.019010524944140628,0.006762735640492585
x,0,0.1780274361371994,0.10681463778018953,915,884,-135.0,1,0.023570536,0.0005521537,-0.023006402000000002,1,-0.029123858785292972,0.013994849726418616
x,0,0.1780274361371994,0.10681463778018953,1571,1559,-105.0,2,0.017874015,0.0001228475,-0.0051186457000000005,2,-0.004774280119785156,0.006834385205639599
x,0,0.1780274361371994,0.10681463778018953,935,939,-75.0,3,0.023100078,6.8394285e-05,0.0028497619,3,0.005579534615996094,0.010305489388659488
x,0,0.1780274361371994,0.10681463778018953,886,815,-45.0,4,0.024208752000000004,0.0013374682000000001,-0.05572784,4,-0.0592473749140625,0.011606607954062678
x,0,0.1780274361371994,0.10681463778018953,370,369,-15.0,5,0.036785536,4.3359567e-05,-0.0018066487,5,-0.026235684242578126,0.01712997067077462
x,0,0.1780274361371994,0.10681463778018953,344,340,15.0,6,0.03823479,0.00018738436000000002,-0.0078076813,6,-0.028405017567773437,0.016425459229117992
x,0,0.1780274361371994,0.10681463778018953,812,927,45.0,7,0.023886408999999997,0.002118984,0.088291,7,0.07771993497460938,0.011247364568628612
x,0,0.1780274361371994,0.10681463778018953,903,884,75.0,8,0.02365342,0.00034068925999999997,-0.014195386,8,-0.02123814661029297,0.014128541353736462
x,0,0.1780274361371994,0.10681463778018953,1372,1358,105.0,9,0.019138526,0.00016432165000000002,-0.006846735699999999,9,-0.005202978042539063,0.008471941892515721
x,0,0.1780274361371994,0.10681463778018953,879,865,135.0,10,0.023944281,0.00025722369999999997,-0.010717653999999998,10,-0.01246499135734375,0.012922997495626825
x,0,0.1780274361371994,0.10681463778018953,1665,1712,165.0,11,0.01720519,0.0004459603,0.01858168,11,0.015664652242148438,0.008599332085303522
x,1,0.2277451455593109,0.1780274361371994,1841,1805,-165.0,0,0.016559755,0.00031638453999999997,-0.013182689,12,-0.02118355525058594,0.006410399869964484
x,1,0.2277451455593109,0.1780274361371994,1012,965,-135.0,1,0.022479042,0.00076176424,-0.031740177,13,-0.041488930035156246,0.007790764361428978
x,1,0.2277451455593109,0.1780274361371994,1441,1408,-105.0,2,0.018732764,0.00037115123,-0.015464635,14,-0.016646173468222655,0.007359218179352799
x,1,0.2277451455593109,0.1780274361371994,1196,1107,-75.0,3,0.020810101,0.001238299,-0.05159579,15,-0.04736091511132813,0.010236566289774747
x,1,0.2277451455593109,0.1780274361371994,843,808,-45.0,4,0.024600982999999996,0.0006792825,-0.028303435,16,-0.020853312849511717,0.011792809471763484
x,1,0.2277451455593109,0.1780274361371994,340,324,-15.0,5,0.03878744,0.0007721137400000001,-0.032171406,17,-0.04280596417265625,0.019001745871552764
x,1,0.2277451455593109,0.1780274361371994,324,345,15.0,6,0.038628265,0.0010058254,0.04190939,18,0.04194792592675781,0.018310399449581655
x,1,0.2277451455593109,0.1780274361371994,774,759,45.0,7,0.025538292,0.00031352957,-0.013063733000000001,19,-0.015082907564531251,0.010573053839942243
x,1,0.2277451455593109,0.1780274361371994,1016,1097,75.0,8,0.021726046000000002,0.0012283297,0.051180404000000006,20,0.042243340453125,0.007636878576442564
x,1,0.2277451455593109,0.1780274361371994,1305,1354,105.0,9,0.019386943,0.00059048267,0.024603445,21,0.02446064514453125,0.0074598555024065665
x,1,0.2277451455593109,0.1780274361371994,981,992,135.0,10,0.022512536,0.00017864672,0.007443613000000001,22,0.008566717157539063,0.008241786306822083
x,1,0.2277451455593109,0.1780274361371994,1776,1785,165.0,11,0.016757589,8.098413e-05,0.0033743388,23,0.0034799991875976563,0.007134702509994937
x,2,0.27837511897087097,0.2277451455593109,1815,1870,-165.0,0,0.016470053999999998,0.00047824959999999997,0.019927066,24,0.012138059925253906,0.008540987982845236
x,2,0.27837511897087097,0.2277451455593109,1064,1103,-135.0,1,0.02147559,0.0005766803,0.024028346000000003,25,0.034943098312500004,0.007397604663852735
x,2,0.27837511897087097,0.2277451455593109,1278,1224,-105.0,2,0.019983703000000002,0.0006915696,-0.028815398,26,-0.017250984625,0.00836714682765297
x,2,0.27837511897087097,0.2277451455593109,1228,1128,-75.0,3,0.020569034,0.0013600476999999999,-0.056668654000000006,27,-0.06916195074023437,0.00836643714344027
x,2,0.27837511897087097,0.2277451455593109,820,751,-45.0,4,0.025186273999999998,0.0014073506,-0.05863961,28,-0.04183624386132812,0.011965282367907466
x,2,0.27837511897087097,0.2277451455593109,331,375,-15.0,5,0.037504982,0.0019969968,0.0832082,29,0.09976592277929687,0.014933193692282581
x,2,0.27837511897087097,0.2277451455593109,341,333,15.0,6,0.038513724,0.00038032906000000003,-0.015847043999999998,30,-0.009397940285742187,0.016645421821362114
x,2,0.27837511897087097,0.2277451455593109,774,743,45.0,7,0.025665252000000003,0.00065479527,-0.027283136,31,-0.020470560375703127,0.012393492933670772
x,2,0.27837511897087097,0.2277451455593109,1100,1150,75.0,8,0.02107257,0.00071206054,0.029669188,32,0.020382342037597655,0.012771463964010944
x,2,0.27837511897087097,0.2277451455593109,1176,1281,105.0,9,0.020141385,0.0013693472,0.057056132999999995,33,0.04463251146875,0.010238018368764605
x,2,0.27837511897087097,0.2277451455593109,1040,1078,135.0,10,0.021722627999999997,0.0005748931,0.023953877000000002,34,0.016527500593515626,0.01478720627657087
