axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index
x,0,0.1780274361371994,0.10681463778018951,1894,1989,-165.0,0,0.016039265,0.0007839451,0.032664377,0
x,0,0.1780274361371994,0.10681463778018951,956,976,-135.0,1,0.022748614,0.0003317052,0.0138210505,1
x,0,0.1780274361371994,0.10681463778018951,1561,1666,-105.0,2,0.01758694,0.0010426049,0.04344187,2
x,0,0.1780274361371994,0.10681463778018951,1055,977,-75.0,3,0.022154761,0.0012299864,-0.051249433,3
x,0,0.1780274361371994,0.10681463778018951,1041,960,-45.0,4,0.02232242,0.0012970818,-0.054045074,4
x,0,0.1780274361371994,0.10681463778018951,421,484,-15.0,5,0.03309724,0.0022305986,0.092941605,5
x,0,0.1780274361371994,0.10681463778018951,455,437,15.0,6,0.03347032,0.0006466021,-0.026941752,6
x,0,0.1780274361371994,0.10681463778018951,874,907,45.0,7,0.023688367,0.0005937169,0.024738206,7
x,0,0.1780274361371994,0.10681463778018951,870,900,75.0,8,0.023763048,0.000543097,0.022629041,8
x,0,0.1780274361371994,0.10681463778018951,1571,1651,105.0,9,0.01760753,0.0007955984,0.03314993,9
x,0,0.1780274361371994,0.10681463778018951,934,977,135.0,10,0.022865124,0.00072100316,0.030041799,10
x,0,0.1780274361371994,0.10681463778018951,1829,1807,165.0,11,0.016583411,0.00019387784,-0.008078244,11
x,1,0.2277451455593109,0.1780274361371994,2128,2115,-165.0,0,0.015351819,9.817474e-05,-0.004090614,12
x,1,0.2277451455593109,0.1780274361371994,1239,1116,-135.0,1,0.020556353,0.001673569,-0.06973204,13
x,1,0.2277451455593109,0.1780274361371994,1581,1497,-105.0,2,0.018012634,0.0008744603,-0.036435846,14
x,1,0.2277451455593109,0.1780274361371994,1273,1201,-75.0,3,0.020089636,0.0009325287,-0.038855363,15
x,1,0.2277451455593109,0.1780274361371994,892,841,-45.0,4,0.024002984,0.0009429768,-0.0392907,16
x,1,0.2277451455593109,0.1780274361371994,421,389,-15.0,5,0.035087507,0.0012658854,-0.052745227,17
x,1,0.2277451455593109,0.1780274361371994,374,411,15.0,6,0.03562079,0.0015102939,0.062928915,18
x,1,0.2277451455593109,0.1780274361371994,730,803,45.0,7,0.025488803,0.001525844,0.06357683,19
x,1,0.2277451455593109,0.1780274361371994,1029,1156,75.0,8,0.021328615,0.0018624375,0.07760156,20
x,1,0.2277451455593109,0.1780274361371994,1451,1607,105.0,9,0.018041456,0.001634619,0.068109125,21
x,1,0.2277451455593109,0.1780274361371994,1087,1103,135.0,10,0.021367677,0.00023410209,0.009754254,22
x,1,0.2277451455593109,0.1780274361371994,1959,2033,165.0,11,0.015822375,0.0005939784,0.024749098,23
x,2,0.27837511897087097,0.2277451455593109,2133,2112,-165.0,0,0.015347996,0.00015851523,-0.0066048014,24
x,2,0.27837511897087097,0.2277451455593109,1354,1270,-135.0,1,0.019503882,0.0010257579,-0.042739913,25
x,2,0.27837511897087097,0.2277451455593109,1517,1469,-105.0,2,0.018295953,0.00051508733,-0.021461971,26
x,2,0.27837511897087097,0.2277451455593109,1317,1243,-75.0,3,0.019749511,0.000926235,-0.038593125,27
x,2,0.27837511897087097,0.2277451455593109,809,820,-45.0,4,0.024775464,0.00021637198,0.009015499,28
x,2,0.27837511897087097,0.2277451455593109,393,386,-15.0,5,0.03582614,0.00028793202,-0.011997168,29
x,2,0.27837511897087097,0.2277451455593109,353,347,15.0,6,0.03779397,0.00027465192,-0.011443829,30
x,2,0.27837511897087097,0.2277451455593109,718,789,45.0,7,0.025708841,0.001509644,0.06290183,31
x,2,0.27837511897087097,0.2277451455593109,1248,1323,75.0,8,0.019706946,0.0009347352,0.0389473,32
x,2,0.27837511897087097,0.2277451455593109,1399,1509,105.0,9,0.01852031,0.00121207,0.050502915,33
x,2,0.27837511897087097,0.2277451455593109,1212,1195,135.0,10,0.020381805,0.00022630922,-0.009429551,34
x,2,0.27837511897087097,0.2277451455593109,2090,1994,165.0,11,0.01564023,0.000753208,-0.031383667,35
x,3,0.34051498770713806,0.27837511897087097,2180,2196,-165.0,0,0.015116671,0.000117158044,0.004881585,36
x,3,0.34051498770713806,0.27837511897087097,1436,1358,-135.0,1,0.018905358,0.00089453557,-0.037272315,37
x,3,0.34051498770713806,0.27837511897087097,1521,1399,-105.0,2,0.018477017,0.0013387713,-0.05578214,38
x,3,0.34051498770713806,0.27837511897087097,1477,1295,-75.0,3,0.018920315,0.002103815,-0.087658964,39
x,3,0.34051498770713806,0.27837511897087097,853,862,-45.0,4,0.02414667,0.00016815422,0.007006426,40
x,3,0.34051498770713806,0.27837511897087097,432,428,-15.0,5,0.03409906,0.00014903591,-0.00620983,41
x,3,0.34051498770713806,0.27837511897087097,345,397,15.0,6,0.03655011,0.0022455817,0.0935659,42
x,3,0.34051498770713806,0.27837511897087097,822,843,45.0,7,0.02450368,0.00040414248,0.01683927,43
x,3,0.34051498770713806,0.27837511897087097,1303,1399,75.0,8,0.019216228,0.0011384535,0.047435563,44
x,3,0.34051498770713806,0.27837511897087097,1403,1477,105.0,9,0.018622933,0.00082332,0.034305,45
x,3,0.34051498770713806,0.27837511897087097,1303,1308,135.0,10,0.019570194,6.136102e-05,0.002556709,46
x,3,0.34051498770713806,0.27837511897087097,2099,2073,165.0,11,0.0154814925,0.000199691,-0.008320458,47
x,4,0.6005192399024963,0.34051498770713806,2187,2310,-165.0,0,0.014902145,0.00087641866,0.036517445,48
x,4,0.6005192399024963,0.34051498770713806,1511,1531,-135.0,1,0.018130245,0.00021066879,0.008777866,49
x,4,0.6005192399024963,0.34051498770713806,1516,1349,-105.0,2,0.018625954,0.0018677609,-0.07782337,50
x,4,0.6005192399024963,0.34051498770713806,1485,1283,-75.0,3,0.018916715,0.002338378,-0.09743241,51
x,4,0.6005192399024963,0.34051498770713806,906,850,-45.0,4,0.023842057,0.0010218637,-0.04257765,52
x,4,0.6005192399024963,0.34051498770713806,451,444,-15.0,5,0.033424493,0.00025061346,-0.010442228,53
x,4,0.6005192399024963,0.34051498770713806,387,407,15.0,6,0.035468597,0.0008071215,0.033630062,54
x,4,0.6005192399024963,0.34051498770713806,836,894,45.0,7,0.024018254,0.0010742646,0.04476103,55
x,4,0.6005192399024963,0.34051498770713806,1429,1389,75.0,8,0.018834388,0.0004548293,-0.01895122,56
x,4,0.6005192399024963,0.34051498770713806,1309,1426,105.0,9,0.01909026,0.001370749,0.05711454,57
x,4,0.6005192399024963,0.34051498770713806,1433,1459,135.0,10,0.01859386,0.00028807428,0.012003095,58
x,4,0.6005192399024963,0.34051498770713806,2280,2283,165.0,11,0.014803847,2.106688e-05,0.00087778666,59
z,0,0.256461101770401,0.1212601587176323,2784,2817,-165.0,0,0.013361456,0.00018878948,0.007866228,0
