,axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index
10,x,3,0.2463901862502098,0.21684632450342178,5764,5807,135.0,10,0.00929628,0.00011907676,0.0049615316,46
11,x,3,0.2463901862502098,0.21684632450342178,10684,10741,165.0,11,0.0068318266,8.524785e-05,0.0035519938,47
0,x,4,0.27812251448631287,0.2463901862502098,10754,10742,-165.0,0,0.0068205763,1.7887638e-05,-0.00074531825,48
1,x,4,0.27812251448631287,0.2463901862502098,6112,5884,-135.0,1,0.009127291,0.00060901477,-0.025375616,49
2,x,4,0.27812251448631287,0.2463901862502098,6848,6546,-105.0,2,0.008636703,0.0007224804,-0.03010335,50
3,x,4,0.27812251448631287,0.2463901862502098,5444,5146,-75.0,3,0.009710583,0.0009016744,-0.037569765,51
4,x,4,0.27812251448631287,0.2463901862502098,3312,3180,-45.0,4,0.012406539,0.0006515156,-0.027146483,52
5,x,4,0.27812251448631287,0.2463901862502098,1498,1540,-15.0,5,0.018139785,0.00044298693,0.018457789,53
6,x,4,0.27812251448631287,0.2463901862502098,1391,1444,15.0,6,0.018775355,0.00059903506,0.024959793,54
7,x,4,0.27812251448631287,0.2463901862502098,3350,3388,45.0,7,0.012182101,0.00018070992,0.00752958,55
8,x,4,0.27812251448631287,0.2463901862502098,5345,5586,75.0,8,0.009560526,0.00070645835,0.029435763,56
9,x,4,0.27812251448631287,0.2463901862502098,6513,6757,105.0,9,0.00867828,0.00058918045,0.024549184,57
10,x,4,0.27812251448631287,0.2463901862502098,5897,6141,135.0,10,0.009110952,0.00064947875,0.027061613,58
11,x,4,0.27812251448631287,0.2463901862502098,10820,10740,165.0,11,0.0068103634,0.000118896925,-0.0049540387,59
0,x,5,0.3151669204235077,0.27812251448631287,10774,10581,-165.0,0,0.0068425597,0.0002895924,-0.012066349,60
1,x,5,0.3151669204235077,0.27812251448631287,6424,6341,-135.0,1,0.008850611,0.00020834674,-0.008681114,61
2,x,5,0.3151669204235077,0.27812251448631287,6417,6152,-105.0,2,0.008916153,0.0006755765,-0.028149022,62
3,x,5,0.3151669204235077,0.27812251448631287,5762,5342,-75.0,3,0.0094777625,0.0012119906,-0.050499607,63
4,x,5,0.3151669204235077,0.27812251448631287,3337,3235,-45.0,4,0.012332695,0.00049731554,-0.02072148,64
5,x,5,0.3151669204235077,0.27812251448631287,1527,1565,-15.0,5,0.017981328,0.00039379805,0.016408252,65
6,x,5,0.3151669204235077,0.27812251448631287,1481,1543,15.0,6,0.01817801,0.0006569606,0.027373359,66
7,x,5,0.3151669204235077,0.27812251448631287,3257,3339,45.0,7,0.012311185,0.000398348,0.016597833,67
8,x,5,0.3151669204235077,0.27812251448631287,5391,5661,75.0,8,0.009507108,0.0007828027,0.03261678,68
9,x,5,0.3151669204235077,0.27812251448631287,6168,6352,105.0,9,0.008935405,0.0004709154,0.019621475,69
10,x,5,0.3151669204235077,0.27812251448631287,6232,6330,135.0,10,0.008921688,0.00024997507,0.010415628,70
11,x,5,0.3151669204235077,0.27812251448631287,10499,10638,165.0,11,0.006877991,0.00021071763,0.008779901,71
0,x,6,0.3679593503475189,0.3151669204235077,10715,10532,-165.0,0,0.006859974,0.00027598336,-0.011499307,72
1,x,6,0.3679593503475189,0.3151669204235077,6707,6475,-135.0,1,0.008707418,0.00056394417,-0.023497673,73
2,x,6,0.3679593503475189,0.3151669204235077,6162,6056,-105.0,2,0.009046297,0.00027799382,-0.011583076,74
3,x,6,0.3679593503475189,0.3151669204235077,5694,5301,-75.0,3,0.009525928,0.0011453197,-0.047721654,75
4,x,6,0.3679593503475189,0.3151669204235077,3297,3258,-45.0,4,0.012350938,0.00019064322,-0.007943467,76
5,x,6,0.3679593503475189,0.3151669204235077,1602,1608,-15.0,5,0.017650058,5.989294e-05,0.0024955391,77
6,x,6,0.3679593503475189,0.3151669204235077,1507,1516,15.0,6,0.018187687,9.539679e-05,0.003974866,78
7,x,6,0.3679593503475189,0.3151669204235077,3158,3459,45.0,7,0.012270634,0.001457588,0.060732834,79
8,x,6,0.3679593503475189,0.3151669204235077,5319,5581,75.0,8,0.009573329,0.00077020127,0.03209172,80
