axis,axis_bin,axis_max,axis_min,bootstraps_0,bootstraps_1,bootstraps_2,err_0,err_1,err_2,par_0,par_1,par_2
missing_mass,0,1.7231117486953735,1.6500000953674316,"[0.0330035  0.02157412 0.02314499 0.02477843 0.02333066 0.01957599
 0.02515486 0.02340351]","[-0.5196415   0.26152733  0.32869676 -0.15873697  0.41012964 -0.10241108
  0.09419584  0.5446296 ]","[-0.84555626  0.11639243  0.1511861   0.30148295 -1.7789519   0.3163191
  0.12787375  0.02810759]",0.0036998488940298557,0.3285854756832123,0.6901845335960388,0.02424575574696064,0.10729868710041046,-0.19789329171180725
missing_mass,1,1.7995247840881348,1.7231117486953735,"[0.02707617 0.02653919 0.02478146 0.02937692 0.02195057 0.02677325
 0.03073744 0.02558028]","[ 0.30764008  0.10234445 -0.5523889  -0.08589125  0.10184234 -0.29567832
 -0.33916646  0.03009254]","[-2.5300195  -0.42189598 -1.1075488  -0.17718442 -0.02192158 -0.0846736
 -0.3903939   0.12558854]",0.0025262185372412205,0.26564353704452515,0.8184298276901245,0.02660191059112549,-0.09140069037675858,-0.5760061144828796
missing_mass,2,1.8780452013015747,1.7995247840881348,"[0.03644619 0.01065277 0.03445892 0.01477564 0.0296757  0.02637021
 0.03032271 0.02787886]","[-0.16881195 -0.9738653  -0.22283755 -0.85411763 -0.43429196 -0.591055
 -0.1181742  -0.3221802 ]","[-0.5905613   0.6230058  -0.41680133  0.396422    0.04952361 -0.99007154
 -0.34609425 -0.1973102 ]",0.008494344539940357,0.29876717925071716,0.49223634600639343,0.02632262371480465,-0.4606667160987854,-0.1839859038591385
missing_mass,3,1.969478368759155,1.8780452013015747,"[0.0184691  0.01979938 0.01767969 0.01859679 0.02478226 0.01307913
 0.01812234 0.02005148]","[-0.60178155 -0.611155    0.6056239   0.2459873  -0.05573981  0.588655
  0.08017574  0.16471688]","[-1.04279    -0.93173456 -1.5103719   0.07665781 -0.3333177   0.22798344
 -0.02584367 -0.03840129]",0.0030195561703294516,0.43652617931365967,0.5924274325370789,0.018822520971298218,0.052060313522815704,-0.44722726941108704
missing_mass,4,2.0859315395355225,1.969478368759155,"[0.01166685 0.02172811 0.01014465 0.01937837 0.01042754 0.01889154
 0.01877155 0.01955977]","[-0.49679315 -0.01069598 -0.26655918 -0.10817602 -0.21108752  0.18048859
  0.472335    0.35263494]","[ 0.532467   -3.134995    0.71063304  0.16828336  0.6768982   0.21930805
 -0.026607    0.03641675]",0.004419107921421528,0.30685800313949585,1.1763181686401367,0.01632104441523552,-0.010981664061546326,-0.10219946503639221
missing_mass,5,2.495670318603516,2.0859315395355225,"[0.01513499 0.01612948 0.01305081 0.00820071 0.01208473 0.01375392
 0.01441841 0.01044791]","[-0.55116826 -0.602587   -0.82054627 -0.33780915 -0.5604342  -0.4174543
 -0.02851276 -0.6202457 ]","[-0.23010223 -0.96406513 -0.6043393   0.19388986 -0.09282204 -0.06860763
 -0.7996484  -0.0172634 ]",0.002430094638839364,0.22049789130687714,0.3879895508289337,0.012902621179819107,-0.4923447072505951,-0.32286977767944336
pt,0,0.2473828941583633,0.00020618477719835934,"[0.01468403 0.00952734 0.01075218 0.02565305 0.02726645 0.03397129
 0.01534185 0.01687836]","[-0.7985774   0.62176937  0.5145627  -0.7505427  -0.6676695  -0.21950959
 -0.275055   -0.5834858 ]","[ 0.31858307 -1.2715296  -1.2892424  -0.6298801  -0.77575696 -3.2415278
  0.47058576  0.22969563]",0.008143002167344093,0.522026777267456,1.138673186302185,0.019259318709373474,-0.2698134779930115,-0.7736340761184692
pt,1,0.3310588598251343,0.2473828941583633,"[0.03102661 0.03186026 0.02348392 0.02619324 0.02408707 0.01623334
 0.02858848 0.02769423]","[-0.06009017 -0.03990284 -0.668055   -0.40142468  0.19307812 -0.22555494
 -0.4657112  -0.04280241]","[-0.25713077 -3.4321687  -0.8347328  -0.92726034  0.00809479  0.4185064
 -0.96448356  0.01105405]",0.004669378511607647,0.26310762763023376,1.120313048362732,0.026145892217755318,-0.21380789577960968,-0.7472651600837708
pt,2,0.4019935727119446,0.3310588598251343,"[0.02573349 0.02899201 0.02130141 0.03124138 0.01623036 0.02804037
 0.01960191 0.02345234]","[-0.65507776  0.6084537  -0.1735524  -0.2928162  -0.5640736  -0.19719173
 -0.6111539  -0.20779835]","[-0.85606873 -1.3281589   0.29705542 -0.03842587  0.4423768   0.17342353
  0.4158428   0.23527198]",0.004784603137522936,0.3777013123035431,0.6109824180603027,0.02432415820658207,-0.26165127754211426,-0.08233535289764404
pt,3,0.47525632381439203,0.4019935727119446,"[0.02907676 0.02841254 0.02546534 0.02313456 0.02822497 0.02573757
 0.02732529 0.02451029]","[ 0.04840957 -0.14202791 -0.02743708 -0.09754375 -0.50989276  0.4637895
 -0.2749343   0.10724992]","[-0.59254795 -0.51276964 -0.35882702 -0.3588951  -1.1139708  -2.754333
 -0.4083496  -0.510118  ]",0.001964990748092532,0.2673003673553467,0.7635983228683472,0.02648591436445713,-0.05404835194349289,-0.8262263536453247
pt,4,0.5679446458816527,0.47525632381439203,"[0.02525835 0.01837925 0.01295609 0.02419414 0.02423695 0.01967153
 0.0232325  0.01411916]","[ 3.1635040e-01  2.6627612e-01  7.5012410e-01  3.9769430e-02
 -3.3175487e-02  3.1390610e-01 -1.9880832e-04  4.9977049e-01]","[-3.6497211  -0.1676425   0.13477774 -0.36391768 -0.3292364  -0.25692317
 -0.36674565 -0.22877301]",0.0044728792272508144,0.2513279914855957,1.1425672769546509,0.02025599591434002,0.2691027820110321,-0.6535227298736572
pt,5,0.9866222739219666,0.5679446458816527,"[0.01549807 0.00238016 0.00491802 0.01067127 0.00233042 0.01469978
 0.01045943 0.01101472]","[ 0.03338781  0.21051328  0.8292561  -0.3062269   0.5613759  -0.09604166
 -0.5604252  -0.05590998]","[-0.62063694  0.91979784  0.57577395  0.50453323  0.82560146 -0.17442328
 -0.6881409  -2.9408958 ]",0.0048562148585915565,0.4214586615562439,1.190187931060791,0.00899648480117321,0.07699116319417953,-0.1997987926006317
q2,0,1.1924362182617188,1.0000005960464478,"[0.01213321 0.01842469 0.01143587 0.00573892 0.01255437 0.0150486
 0.01270689 0.01344102]","[ 0.6706932  -0.47489366  0.4694639   1.1300696   0.6831881   0.30885956
 -0.21672441  0.36482555]","[-1.3782978  -1.1355845   0.25902796  0.38560617  0.30971837  0.27816877
  0.00310197  0.08351723]",0.003339771181344986,0.4793071448802948,0.652582049369812,0.012685446068644524,0.36693525314331055,-0.14934271574020386
