axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index,sys_1,sys_10,sys_11,sys_12,sys_13,sys_2,sys_3,sys_4,sys_5,sys_6,sys_7,sys_8,sys_9,sys_total
x,0,0.13496745675802233,0.10672914981842041,19216,19238,-165.0,0,0.0050995178,1.8332032e-05,0.0007638346,0,-0.0007622281555086374,0.0007984582334756851,-0.00031323806615546346,-0.0011510050389915705,-0.0014137891121208668,1.2512900866568089e-06,0.00038506800774484873,0.003327286336570978,0.0007007739041000605,0.003057447960600257,-0.00020103028509765863,-0.0020023754332214594,0.0008108690963126719,0.0055141520011533435
x,0,0.13496745675802233,0.10672914981842041,7296,7201,-135.0,1,0.00830509,0.00020997852,-0.008749105,1,0.0003146836534142494,0.004551633261144161,0.0031414167024195194,-0.002087811939418316,-8.618924766778946e-05,-0.00020244158804416656,0.0030843252316117287,0.002063510473817587,0.005450344644486904,-0.0028975484892725945,0.00012057553976774216,-0.006375377997756004,-0.0022250013425946236,0.011514167602227069
x,0,0.13496745675802233,0.10672914981842041,15117,14876,-105.0,2,0.005773844,0.00025746995,-0.010727914,2,0.00044278427958488464,0.00025844480842351913,-0.0016126977279782295,-0.0011723274365067482,-0.0032551540061831474,0.00033579301089048386,-0.0021420419216156006,-0.0019155796617269516,-0.0018992526456713676,0.0031155399046838284,0.003443283960223198,-0.00774465873837471,0.001331937499344349,0.010494204172709605
x,0,0.13496745675802233,0.10672914981842041,6268,6164,-75.0,3,0.008968141,0.00026805367,-0.011168903,3,0.0011200802400708199,0.0007429812103509903,0.006256260443478823,-0.0035163606517016888,0.004028401803225279,-0.0004499070346355438,-0.004409706220030785,-0.0031942036002874374,-0.0006833234801888466,0.0012994064018130302,0.002076946198940277,-0.0016891099512577057,0.0006457092240452766,0.010446539959532708
x,0,0.13496745675802233,0.10672914981842041,7153,6908,-45.0,4,0.008430908,0.000558315,-0.023263125,4,0.000849161297082901,-0.0019199494272470474,-0.0015612747520208359,-0.0009135287255048752,-0.008855683729052544,-4.355423152446747e-05,-0.0017519313842058182,0.004122722893953323,0.003294827416539192,-0.0026118773967027664,-0.0013863593339920044,0.0017460547387599945,-0.00013315118849277496,0.011350627870013494
x,0,0.13496745675802233,0.10672914981842041,3413,3361,-15.0,5,0.012149394,0.0002459731,-0.010248878,5,0.0009525585919618607,-0.0005113161168992519,-7.200613617897034e-05,-0.005965489894151688,-0.0013507455587387085,-2.4680979549884796e-05,-0.002155640162527561,0.0025348784402012825,0.009316675364971161,-0.009648901410400867,-0.0011611110530793667,0.005650586448609829,-0.0012945597991347313,0.016263871371347164
x,0,0.13496745675802233,0.10672914981842041,3670,3556,15.0,6,0.011761282,0.0005055176,-0.021063233,6,-0.001563945785164833,0.0033241864293813705,-0.00046392157673835754,-0.00029208697378635406,0.006085740402340889,-0.0018993951380252838,-0.001526186242699623,-0.0036472734063863754,-0.0020727217197418213,0.005027354694902897,0.00746309757232666,-0.015050143003463745,0.0008509289473295212,0.019559438800161068
x,0,0.13496745675802233,0.10672914981842041,7231,7354,45.0,7,0.008279788,0.0002702266,0.011259441,7,0.00014690030366182327,-0.00042173825204372406,0.0004581240937113762,-0.0004086587578058243,-0.0048203920014202595,1.6981735825538635e-05,0.0034374576061964035,0.00020705536007881165,-0.0047596897929906845,0.008411509916186333,-0.003700210712850094,0.0018919911235570908,-0.0015641087666153908,0.012198260065344536
x,0,0.13496745675802233,0.10672914981842041,6127,6315,75.0,8,0.008963271,0.00048416908,0.020173712,8,-0.0012992899864912033,-0.0006135497242212296,0.007126970216631889,0.0024428516626358032,0.0034888125956058502,-0.0006025824695825577,-0.001087479293346405,0.0016463138163089752,-0.0012934058904647827,0.004373587667942047,0.004170175641775131,-0.0011393874883651733,0.0018870513886213303,0.010876782859121588
x,0,0.13496745675802233,0.10672914981842041,14929,15512,105.0,9,0.0057296557,0.00061367586,0.025569828,9,0.0005287081003189087,-0.0002512931823730469,2.4260953068733215e-05,0.0009914673864841461,0.0010119639337062836,0.00016761943697929382,-0.0009993761777877808,0.0015208590775728226,0.0019020158797502518,0.00034901872277259827,0.0025306493043899536,0.0035691000521183014,0.001304827630519867,0.005502265329241464
x,0,0.13496745675802233,0.10672914981842041,7305,7281,135.0,10,0.00828001,5.2723528e-05,-0.0021968137,10,-0.0010194098576903343,-0.0023090399336069822,-0.00044267275370657444,-0.0026255317497998476,-0.005755365826189518,8.604349568486214e-05,-0.0012158895842731,-6.219919305294752e-05,0.0014347652904689312,-0.0004560232628136873,0.0004212257917970419,-0.0034719938412308693,0.001023016171529889,0.007976175565369828
x,0,0.13496745675802233,0.10672914981842041,18838,18970,165.0,11,0.0051428447,0.00011187155,0.0046613147,11,-0.0003323676064610481,-0.000723907258361578,0.0005503077991306782,0.0035376250743865967,-0.0030244572553783655,0.0001489538699388504,-0.0030507014598697424,0.0032573179341852665,-0.000765402102842927,0.00010200263932347298,-0.0023806742392480373,0.002121297176927328,0.0010065294336527586,0.007369900014001326
x,1,0.15212603509426117,0.13496745675802233,19947,19820,-165.0,0,0.0050145807,0.00010233173,-0.004263822,12,-0.00016379496082663536,-0.005015496164560318,0.0008636810816824436,0.0003230711445212364,1.875404268503189e-05,-0.00017470354214310646,0.001434336882084608,0.0027950522489845753,0.0011975220404565334,0.00013937638141214848,0.0009011877700686455,0.00014143576845526695,0.001148192211985588,0.006287832423901347
