axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index,sys_1,sys_10,sys_11,sys_2,sys_3,sys_4,sys_5,sys_6,sys_7,sys_8,sys_9,sys_total
x,0,0.1432223439216614,0.10672914981842041,22781,22757,-165.0,0,0.004686115,2.1109441e-05,-0.000703648,0,9.807804599404335e-05,-4.756904672831297e-05,-0.00047387927770614624,-0.00015252141747623682,-0.0029510860331356525,0.00021709233988076448,-0.0011588132474571466,0.0023825073149055243,-0.0022014726419001818,0.0012219506315886974,0.0013723901938647032,0.004925244517817935
x,0,0.1432223439216614,0.10672914981842041,8592,8241,-135.0,1,0.0077046137,0.00083518954,-0.027839651,1,0.002024780958890915,-0.0017597414553165436,0.0031897537410259247,-0.00019613094627857208,0.008039837703108788,-0.0024792011827230453,-0.004419224336743355,-0.0005041677504777908,-0.010864084586501122,-0.001285642385482788,-0.008144043385982513,0.017145997631287657
x,0,0.1432223439216614,0.10672914981842041,18571,18089,-105.0,2,0.0052219997,0.0005266159,-0.017553864,2,-0.0010365340858697891,-0.00014824606478214264,-0.0003546755760908127,0.0005977097898721695,0.0015040021389722824,0.0005466323345899582,-0.00018722377717494965,0.003282841295003891,-0.00258759967982769,-0.001749485731124878,-0.0032997503876686096,0.0059663293292966735
x,0,0.1432223439216614,0.10672914981842041,7744,7674,-75.0,3,0.008053376,0.00018184836,-0.006061612,3,0.0017575370147824287,0.00014542927965521812,0.0036381937097758055,-0.000558163970708847,0.011459849774837494,0.0008547259494662285,-0.0010147062130272388,-0.0010012919083237648,0.0035769962705671787,-0.0003137863241136074,0.00011961767449975014,0.01279283731553054
x,0,0.1432223439216614,0.10672914981842041,8785,8249,-45.0,4,0.007655227,0.0012603396,-0.04201132,4,3.520399332046509e-06,0.0017421692609786987,-0.0002041831612586975,-6.48796558380127e-05,0.0009271800518035889,-0.001264963299036026,-0.000561349093914032,-0.0024049021303653717,-0.0016921758651733398,0.0022947825491428375,-0.01079859584569931,0.011678128559992755
x,0,0.1432223439216614,0.10672914981842041,4040,4023,-15.0,5,0.011136532,8.4448446e-05,-0.0028149483,5,0.00022696040105074644,0.0021183963399380445,-0.0014157355763018131,0.0013051466085016727,0.00018118810839951038,-0.0016690257471054792,-0.001874727662652731,-0.004703470040112734,0.0001541697420179844,0.00873425230383873,0.0018140384927392006,0.010784442801576885
x,0,0.1432223439216614,0.10672914981842041,4263,4177,15.0,6,0.010884001,0.0004081271,-0.013604237,6,0.003954218700528145,-0.0014088843017816544,0.001779959537088871,-0.0007365858182311058,-0.008327148854732513,-0.0033577848225831985,0.001848813146352768,0.0019902698695659637,-0.012658555060625076,-0.004178429022431374,0.0010177306830883026,0.016972362456589566
x,0,0.1432223439216614,0.10672914981842041,8560,8829,45.0,7,0.00758176,0.00061960815,0.020653605,7,-0.004703516140580177,0.0009522959589958191,0.0016473028808832169,-0.0012101922184228897,0.0034132562577724457,0.0006626173853874207,0.0015561394393444061,0.003975020721554756,-0.0012718010693788528,0.00011700950562953949,0.0019642505794763565,0.007937839313105474
x,0,0.1432223439216614,0.10672914981842041,7649,7768,75.0,8,0.008053358,0.0003091623,0.01030541,8,-0.006356685422360897,-0.0019797575660049915,0.0002724388614296913,4.911329597234726e-05,0.0016265474259853363,0.0008197696879506111,0.0011182799935340881,0.0020593637600541115,-0.005419919267296791,0.002125660888850689,-0.003684278577566147,0.010033972316785123
x,0,0.1432223439216614,0.10672914981842041,17697,18550,105.0,9,0.005249881,0.00094257604,0.031419203,9,-4.170462489128113e-05,-0.0006457250565290451,-0.0009158812463283539,4.733353853225708e-05,-0.0034459400922060013,0.0030346307903528214,0.0006789267063140869,-0.00015775486826896667,-0.002999246120452881,-0.00019627250730991364,0.0035484135150909424,0.0066674082619642625
