axis,axis_bin,axis_max,axis_min,err_0,err_1,err_2,par_0,par_1,par_2,sys_total,sys_1,sys_2,sys_9,sys_10,sys_6,sys_8,sys_7,sys_4,sys_3,sys_5,sys_11
pt,0,0.202004873752594,0.00028420978924259543,0.0027714589320778278,0.04747522665520939,0.0491986332836823,0.025172456148036943,0.0007118592631205616,0.003715696645625882,0.0030761115196778367,0.0007982112331129838,0.000554265799900009,0.0021344312845133565,0.00041122024143613184,3.574465920007375e-05,0.0005060106031481437,0.0007058618126818544,0.0016246557150797376,0.00023557175160915378,0.00016056512580118684,0.000562907296567397
pt,1,0.27455522418022155,0.202004873752594,0.0027701353934138405,0.04637400969137839,0.04880004278398117,0.029956627884462458,-0.03585321183652691,0.02607549557690835,0.0019093319996726335,2.5289455700228808e-05,0.000160418524702461,0.0006087984290802304,0.00026738016595957703,0.0004385249870031867,0.0010635077192844913,0.0002448105646559902,0.00027498569819586413,0.0010385402188981749,0.0007648059996954136,0.00023377587881339562
pt,2,0.3285442650318146,0.27455522418022155,0.002729326244569948,0.04753395371359229,0.04776145783588192,0.029921792337881357,0.014683603320876972,-0.018007119212240696,0.0037938137166707003,0.0015885153884156768,0.0006744189520645899,0.0012817974094759335,0.0007614698471408166,0.001980707663240034,0.0003510380971341043,0.0008702039711878315,0.0017493967981558126,0.001124078322366405,2.2708633893680358e-05,0.00025262040500318925
pt,3,0.3763054311275483,0.3285442650318146,0.002730746877818443,0.04690609240169609,0.046539152208335245,0.035975526346146675,-0.02374716410415841,0.017318050179961245,0.003548681934711734,0.0007580253034653109,0.00027348281525359924,0.00034121052769613136,0.0009623538520498048,0.0008152838241626409,0.0007605351498602142,0.0011495420835744563,0.0017653661926181688,0.002193918363921181,0.0002840780071907134,0.0005710992700650799
pt,4,0.4223228693008423,0.3763054311275483,0.002839023741089331,0.04802468785739614,0.047788498353939904,0.03455975114682676,0.0061478683490037685,-0.0017643852477535558,0.002920005506313183,0.00012751348931296091,0.00031286312889607093,0.0004086709451789558,0.0009069180359756249,0.0012950020302645096,0.00032157300306951547,0.0020934921485709426,0.0005834091603703351,0.0007881353974827296,0.0003853046918729716,0.00038683933944134996
pt,5,0.4697849750518799,0.4223228693008423,0.0028790057931759555,0.04913525178639295,0.04808464990011768,0.03363936018812254,-0.018187697019067698,0.006838849026754104,0.0034781963647845813,0.0010402546973965407,0.0008039960336587784,0.0006064534937538155,8.739278808118228e-05,0.0001734377230142234,0.00043971898078775523,0.00027771524523097224,0.002097036752715664,0.002264871376385827,0.00028891993313969605,0.00028748521713408554
pt,6,0.5222729325294494,0.4697849750518799,0.0029373590973432212,0.048509724563885845,0.048067648636792165,0.037146548776738446,0.023928106491389513,-0.027293341428135807,0.002065196140232855,0.0002579858408467625,4.692618855878239e-05,0.001231854493883515,0.0006215673382359635,0.000944598794072854,0.0006068372061297095,4.094115162613793e-05,0.000736477990280468,0.0006159717121971553,0.00023203091180076796,0.00023369019553768494
pt,7,0.585660183429718,0.5222729325294494,0.002852985461689941,0.049638794256331636,0.048760118927984035,0.034250074262236675,-0.017310784374099903,-0.011052949348428449,0.004118157100088971,0.0012455225684547058,9.706483958497186e-05,0.0021786151926035738,0.000123587614688489,0.0008906587102256169,0.00016793206995655702,0.001976932027571897,0.0015402696150845774,0.00156863735477146,0.0004165490328509394,0.0009489629597015936
pt,8,0.6750075340270996,0.585660183429718,0.002775624862861834,0.047401438426107244,0.04743784272806256,0.03330614582317236,-0.030048590212602387,0.006679509361048975,0.004055830751252666,0.0012798730769448263,0.00020688971199883666,0.0008670888784956671,0.0006274252289608095,0.00037561309010544774,9.218101891612235e-05,0.002358681360413957,0.0013311027618765972,0.0022835318246327077,0.0007895163546523878,0.0005483890689277904
pt,9,1.193084478378296,0.6750075340270996,0.0028202016197835505,0.050178819094945065,0.049195787746990065,0.023375642732077352,-0.024415920681982436,0.002787188236076685,0.0029765593172956474,0.0008536604298644834,0.00021157466116228027,0.001986983666378235,0.0003941343879285131,0.000376091858550108,0.0003578537407424483,0.0008956727508084156,0.0012986690297362782,0.0004758125930004395,0.0009387146142801409,0.000342200722568891
q2,0,1.1740291833877563,1.0000005960464478,0.002856666183772932,0.04801427345326741,0.047231929926065744,0.025029741809461194,-0.0056518253517259505,-0.006149264296547472,0.004440178211742341,0.0022961514476389083,6.270863196995713e-06,0.001243533172310761,0.0004970603186504052,2.4645149837822927e-05,0.0004772166299067404,0.0009199026794057194,0.0005535251697427919,0.0029973489349919523,0.0011473361427184747,0.0009838460427961451
q2,1,1.301147198677063,1.1740291833877563,0.002935757814045922,0.048103637263386116,0.04902525966548449,0.02976226568658933,0.00564008359887296,-0.03336920928599115,0.004945619056961398,0.0019508223547035387,0.00020106649070300575,0.0002654927469337362,0.0007142270634527895,0.0008224964759043461,0.0001109417291260198,0.0011106442117541047,0.002370206479437132,0.0033635132506393273,0.0002918376144713311,0.0010458475728280896
q2,2,1.4194494247436524,1.301147198677063,0.0028393820130334316,0.04703588661931576,0.04879626005778626,0.029967580814423626,-0.042294776589596114,0.016198597697533443,0.00367910808226763,0.001288017244512777,0.00016779684901406522,0.0021432098210534822,0.0014482776935150418,0.000938592529406812,0.00016699281442411965,7.223771852894398e-05,0.0012649278393743607,0.0014212982136034454,0.0007848996015214563,8.704138166015438e-05
q2,3,1.5447801589965817,1.4194494247436524,0.0027006890603608453,0.04905717540694174,0.045870323302724204,0.028946506008530916,-0.007120396167774437,-8.960268070126983e-05,0.0029997487701350625,0.0003021258536443222,0.000309290725125512,0.0006397805512139768,0.000726169370749076,0.001605449223945777,0.00017074594886029928,0.0013354056506489492,0.0014351421514241444,0.0010307355053052643,4.901799712920055e-05,0.0006004412618007306
q2,4,1.686559557914734,1.5447801589965817,0.0028553027749486483,0.04819508385260893,0.04905754136402874,0.03375667593312873,-0.032057164782291356,0.00734721621277165,0.0017095300770221444,0.0002283768123611113,0.0003289471678037739,0.0006777298771606377,0.00025143361567249445,0.00035014739143445633,7.433343809649245e-05,0.0008021459629503069,0.001096261067456715,1.541803616035564e-05,0.0004252420665191159,0.00029183996728305434
q2,5,1.8539481163024905,1.686559557914734,0.0028294704029833413,0.047652518376074406,0.047257235838319055,0.03401170767097856,-0.02692081404070365,0.009744268565987842,0.003647911388751355,0.0005403314991285699,0.001884615235623395,0.0009941589792538813,0.00018063375169173612,0.0009331583806788807,0.0005756839197100169,0.0005231938897056337,0.0025593881117319806,1.5689842441032886e-05,0.0006208610224613248,0.0001744525284837345
q2,6,2.0607674598693846,1.8539481163024905,0.0028028077998574247,0.047075481332481184,0.048242428272727164,0.035240985817794265,0.003762876958962385,0.011148779316905279,0.0025318239794319053,0.0006089647728008893,0.0005564874734831776,0.0015561622333913686,0.00019999028917739442,0.0001230704457674467,0.00046196544499560455,0.0005297670785814543,0.001643672608703274,6.53464382413052e-05,0.0002043267651079192,0.00010530173170265195
q2,7,2.331733942031861,2.0607674598693846,0.0028784458357753546,0.04911694983350423,0.0480921678562227,0.03133033335780912,-0.01304690031397745,-0.0018546686638893815,0.001066054619913785,0.0003489326767881634,8.059756220988451e-05,0.00019377180596460639,6.92929184569202e-05,0.0002265715761725351,0.0003480904851638697,0.0005610613368580847,0.0006802257214733945,8.048239622047981e-05,5.331211672358199e-05,8.096500841034415e-05
