axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index,sys_1,sys_10,sys_11,sys_2,sys_3,sys_4,sys_5,sys_6,sys_7,sys_8,sys_9,sys_total
x,0,0.150191903114,0.106729149818,16436,16311,-165.0,0,0.00552597083151,0.000152889580932,-0.00509631959721,0,-0.000169031322002,-0.000183082185686,-0.00251673534513,9.06800851226e-05,-0.00783914886415,0.00120903085917,-0.000823196955025,0.00151511048898,0.000586065463722,0.000966419000179,0.00089964363724,0.00862428495522
x,0,0.150191903114,0.106729149818,5994,5694,-135.0,1,0.00924431532621,0.00102806475479,-0.0342688262463,1,0.000622652471066,-0.0176362916827,0.0123973023146,-0.000438153743744,0.00340373069048,5.56036829948e-05,-0.00615891441703,0.000124748796225,0.000880904495716,0.00172759592533,-0.0111672785133,0.0253636850053
x,0,0.150191903114,0.106729149818,12239,11837,-105.0,2,0.0064431745559,0.000668776687235,-0.0222925562412,2,-0.000605769455433,-0.00888022594154,-0.000698434188962,0.00020457804203,-0.00625308975577,-0.00617454387248,-3.88734042645e-05,0.00476866215467,-0.0012477543205,0.0017544105649,-0.00204667635262,0.013731224879
x,0,0.150191903114,0.106729149818,5800,5776,-75.0,3,0.00929435156286,8.30409189803e-05,-0.00276803062297,3,0.00102416274603,0.0137075474486,0.00694163516164,-0.00024582631886,0.00964005663991,-0.00601390283555,-0.00121866166592,0.000235112383962,-0.000331480521709,-0.000996517250314,0.00322287343442,0.0194761512689
x,0,0.150191903114,0.106729149818,4752,4481,-45.0,4,0.0103990789503,0.00117561698426,-0.0391872338951,4,0.000676315277815,0.00378368422389,0.00364961102605,-0.00111332535744,-0.000197764486074,0.00495345890522,-0.0020697414875,-0.00581813976169,0.00032863765955,-0.000376489013433,-0.00489853695035,0.0107837229019
x,0,0.150191903114,0.106729149818,2482,2428,-15.0,5,0.0142696211115,0.000440505857114,-0.0146835288033,5,-0.00414048321545,-0.00332012213767,-0.00443883892149,0.000973713584244,-0.00156405009329,0.00452826404944,-0.00186069402844,-0.00671234540641,0.00085689779371,0.00124762859195,-0.000570664182305,0.0110862040862
x,0,0.150191903114,0.106729149818,2559,2388,15.0,6,0.0142025407404,0.00138450204395,-0.0461500696838,6,0.00630004703999,0.00205647200346,0.00424781441689,-0.0043929554522,-0.000447314232588,0.0029748827219,-0.00122082233429,0.000866215676069,0.000710271298885,-0.0114822387695,0.0114127211273,0.0188453947887
x,0,0.150191903114,0.106729149818,4781,4819,45.0,7,0.0102060642093,0.000158544717124,0.00528482394293,7,-0.00246682972647,0.00211189966649,0.000353048089892,-0.000109626911581,0.00141676655039,0.0041884938255,-0.000492561608553,0.00339161977172,0.000950493849814,0.00202735327184,0.00587496673688,0.00902813788772
x,0,0.150191903114,0.106729149818,5726,5541,75.0,8,0.00941871106625,0.000657662167214,-0.0219220723957,8,0.00363187491894,-0.00336894765496,0.00844104588032,0.00104927644134,0.000367002561688,-0.00273738615215,-0.000661216676235,0.00176186300814,-9.75299626589e-05,0.00238080136478,-0.00195112451911,0.0108418871527
x,0,0.150191903114,0.106729149818,11715,12258,105.0,9,0.00645565241575,0.000907228910364,0.0302409641445,9,-0.000339832156897,0.00645556114614,0.00607589259744,0.00111380033195,0.00269461981952,0.00115777179599,-0.00145360454917,0.000299885869026,-0.00120325013995,-0.00117249786854,0.00467169284821,0.0107423630121
x,0,0.150191903114,0.106729149818,5654,5584,135.0,10,0.00943279638886,0.000249487318797,-0.00831624399871,10,-0.00571655295789,-0.01635623537,-0.0116309085861,6.05303794146e-05,-0.00466600432992,0.00268799858168,-0.000856265891343,-0.000262873247266,-0.000175308436155,-0.000125982798636,-0.00535015203059,0.0222251449834
x,0,0.150191903114,0.106729149818,16114,16135,165.0,11,0.00556854484603,2.60820925178e-05,0.000869403127581,11,0.000194855267182,0.00814608298242,0.0020004149992,0.000172194093466,0.00310914823785,-0.000563048524782,-0.000776159926318,-0.00132475211285,0.000660589372274,0.00118870113511,0.00172363757156,0.00935892523156
x,1,0.18161906302,0.150191903114,16520,16581,-165.0,0,0.00549639714882,7.38121962058e-05,0.00246040662751,12,-0.00245345337316,0.00257582985796,-0.00615298002958,0.000349811743945,-0.00119547359645,0.00118164601736,0.00032498431392,-0.00119191035628,-0.000741498777643,9.66899096966e-05,0.00229693274014,0.00779888731375
x,1,0.18161906302,0.150191903114,6854,6852,-135.0,1,0.00854170601815,5.84465260545e-06,-0.000194821754121,13,-0.00262878183275,-0.00728730019182,-0.0107995038852,0.000288212904707,0.00135247386061,-0.0050280909054,0.00306087173522,0.00166114419699,9.89756808849e-05,-0.00174552120734,0.00154615240172,0.014879987772
x,1,0.18161906302,0.150191903114,10736,10395,-105.0,2,0.00687763560563,0.000646358937956,-0.0215452983975,14,0.00383023545146,0.00389159098268,-0.000692466273904,0.0016294810921,-0.000132026150823,-0.00649923831224,-0.000731436535716,0.000855749472976,0.00035429559648,0.000647073611617,-0.000160543248057,0.0087775134311
x,1,0.18161906302,0.150191903114,7251,6833,-75.0,3,0.00841968413442,0.00118874770124,-0.0396249257028,15,0.00269260257483,-0.0046145170927,-0.00519040599465,-0.000240493565798,-0.00481202825904,-0.000524293631315,0.000285610556602,-0.00312845781446,-0.000331699848175,0.000802922993898,-0.00272418931127,0.00984973437007
