axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index,sys_1,sys_10,sys_11,sys_2,sys_3,sys_4,sys_5,sys_6,sys_7,sys_8,sys_9,sys_total
x,0,0.143222343922,0.106729149818,22781,22757,-165.0,0,0.00468611484393,2.11094411497e-05,-0.000703648023773,0,9.8078045994e-05,-4.75690467283e-05,-0.000473879277706,-0.000152521417476,-0.00295108603314,0.000217092339881,-0.00115881324746,0.00238250731491,-0.0022014726419,0.00122195063159,0.00137239019386,0.00492524451782
x,0,0.143222343922,0.106729149818,8592,8241,-135.0,1,0.00770461373031,0.000835189537611,-0.0278396513313,1,0.00202478095889,-0.00175974145532,0.00318975374103,-0.000196130946279,0.00803983770311,-0.00247920118272,-0.00441922433674,-0.000504167750478,-0.0108640845865,-0.00128564238548,-0.00814404338598,0.0171459976313
x,0,0.143222343922,0.106729149818,18571,18089,-105.0,2,0.00522199971601,0.000526615884155,-0.0175538640469,2,-0.00103653408587,-0.000148246064782,-0.000354675576091,0.000597709789872,0.00150400213897,0.00054663233459,-0.000187223777175,0.003282841295,-0.00258759967983,-0.00174948573112,-0.00329975038767,0.0059663293293
x,0,0.143222343922,0.106729149818,7744,7674,-75.0,3,0.00805337633938,0.000181848357897,-0.00606161216274,3,0.00175753701478,0.000145429279655,0.00363819370978,-0.000558163970709,0.0114598497748,0.000854725949466,-0.00101470621303,-0.00100129190832,0.00357699627057,-0.000313786324114,0.0001196176745,0.0127928373155
x,0,0.143222343922,0.106729149818,8785,8249,-45.0,4,0.00765522709116,0.0012603396317,-0.042011320591,4,3.52039933205e-06,0.00174216926098,-0.000204183161259,-6.4879655838e-05,0.000927180051804,-0.00126496329904,-0.000561349093914,-0.00240490213037,-0.00169217586517,0.00229478254914,-0.0107985958457,0.01167812856
x,0,0.143222343922,0.106729149818,4040,4023,-15.0,5,0.0111365318298,8.44484457048e-05,-0.00281494832598,5,0.000226960401051,0.00211839633994,-0.0014157355763,0.0013051466085,0.0001811881084,-0.00166902574711,-0.00187472766265,-0.00470347004011,0.000154169742018,0.00873425230384,0.00181403849274,0.0107844428016
x,0,0.143222343922,0.106729149818,4263,4177,15.0,6,0.0108840009198,0.000408127089031,-0.0136042367667,6,0.00395421870053,-0.00140888430178,0.00177995953709,-0.000736585818231,-0.00832714885473,-0.00335778482258,0.00184881314635,0.00199026986957,-0.0126585550606,-0.00417842902243,0.00101773068309,0.0169723624566
x,0,0.143222343922,0.106729149818,8560,8829,45.0,7,0.00758176017553,0.000619608152192,0.0206536054611,7,-0.00470351614058,0.000952295958996,0.00164730288088,-0.00121019221842,0.00341325625777,0.000662617385387,0.00155613943934,0.00397502072155,-0.00127180106938,0.00011700950563,0.00196425057948,0.00793783931311
x,0,0.143222343922,0.106729149818,7649,7768,75.0,8,0.00805335771292,0.000309162307531,0.010305410251,8,-0.00635668542236,-0.001979757566,0.00027243886143,4.91132959723e-05,0.00162654742599,0.000819769687951,0.00111827999353,0.00205936376005,-0.0054199192673,0.00212566088885,-0.00368427857757,0.0100339723168
x,0,0.143222343922,0.106729149818,17697,18550,105.0,9,0.00524988118559,0.000942576036323,0.0314192026854,9,-4.17046248913e-05,-0.000645725056529,-0.000915881246328,4.73335385323e-05,-0.00344594009221,0.00303463079035,0.000678926706314,-0.000157754868269,-0.00299924612045,-0.00019627250731,0.00354841351509,0.00666740826196
x,0,0.143222343922,0.106729149818,8538,8564,135.0,10,0.00764672830701,6.08927912253e-05,0.00202975980937,10,-0.00103580369614,-0.0010511034634,0.000699335476384,-6.6808774136e-05,-0.00063105369918,0.00250380416401,-0.00112688401714,0.00186750944704,-0.000204333337024,0.000236736144871,-0.000990371452644,0.00389545840993
x,0,0.143222343922,0.106729149818,22553,22759,165.0,11,0.00469770096242,0.000182093077456,0.00606976915151,11,0.0019077192992,9.46572981775e-05,-0.00112206116319,-0.00017635570839,0.000547037925571,0.000866096932441,0.00016988068819,-0.0014927634038,-0.00384817179292,0.00124873127788,-0.00348256225698,0.00606143941327
x,1,0.166477635503,0.143222343922,23673,23200,-165.0,0,0.0046184817329,0.000404182763305,-0.0134727591649,12,0.000157425180078,0.000122522003949,-0.000609720125794,-0.000652272254229,0.00371943321079,-0.00205316673964,0.000446852296591,-0.00117631349713,0.00040606316179,0.000113953836262,-0.00044630933553,0.00456586731456
x,1,0.166477635503,0.143222343922,9646,9437,-135.0,1,0.00723819434643,0.000438671122538,-0.0146223707125,13,0.00324619654566,-0.000208145007491,0.00210736691952,0.000972284935415,0.00201021134853,-0.00112995691597,-0.000178591348231,0.00450780149549,-0.000777523964643,-0.00121476128697,-0.00606686063111,0.00897353651543
x,1,0.166477635503,0.143222343922,17145,16817,-105.0,2,0.00542584341019,0.000386829866329,-0.0128943296149,14,-8.67061316967e-05,0.00115319062024,-0.000222696922719,-2.2254884243e-05,0.000382225029171,-0.00210317689925,0.00162863079458,0.00041567068547,0.000518299639225,0.000277247279882,-0.00163045804948,0.00343307722121
x,1,0.166477635503,0.143222343922,9886,9429,-75.0,3,0.00719177117571,0.000947678170633,-0.0315892733634,15,0.00235629081726,0.00116508081555,-0.000758349895477,0.000683173537254,0.00288462638855,0.000446069985628,-0.00219682604074,-0.00554852932692,-0.00235446356237,-2.78912484646e-05,0.0027927570045,0.00808871923244
