axis,axis_bin,axis_max,axis_min,counts_neg,counts_pos,phi,phi_bin,stat,sys_0,value,global_index,sys_1,sys_10,sys_11,sys_2,sys_3,sys_4,sys_5,sys_6,sys_7,sys_8,sys_9,sys_total,err_0,par_0
x,0,0.150191903114,0.106729149818,16436,16311,-165.0,0,0.00552597083151,0.000152889580932,-0.00509631959721,0,0.00490026781335,0.00124016031623,0.0123882610351,0.000382040627301,0.00668656779453,0.00300325406715,0.000823196955025,0.0017686067149,0.0044399574399,0.00173733220436,0.00157924741507,0.00467195982452,0.00447827987514,0.015554327187
x,0,0.150191903114,0.106729149818,5994,5694,-135.0,1,0.00924431532621,0.00102806475479,-0.0342688262463,1,0.0103793032467,0.0217254497111,0.0369346924126,0.000558998435736,0.00746938958764,0.00210789218545,0.00615891441703,0.00426779314876,0.0079555362463,0.00131908804178,0.00823352113366,0.0135197749606,0.00447827987514,0.015554327187
x,0,0.150191903114,0.106729149818,12239,11837,-105.0,2,0.0064431745559,0.000668776687235,-0.0222925562412,2,0.00413549877703,0.0161972027272,0.00916459783912,0.00063905864954,0.00949953310192,0.0101511031389,3.88734042645e-05,0.00859768968076,0.00377507694066,0.00274044834077,0.00225660763681,0.00740445428978,0.00447827987514,0.015554327187
x,0,0.150191903114,0.106729149818,5800,5776,-75.0,3,0.00929435156286,8.30409189803e-05,-0.00276803062297,3,0.00146548089106,0.0147605221719,0.00706542190164,0.000467697391286,0.00897535029799,0.00721465982497,0.00121866166592,0.00644670985639,0.010674957186,0.00431855861098,0.003016886767,0.00699713795824,0.00447827987514,0.015554327187
x,0,0.150191903114,0.106729149818,4752,4481,-45.0,4,0.0103990789503,0.00117561698426,-0.0391872338951,4,0.000980690121651,0.00366553664207,0.0146238766611,0.000749565660954,0.0110152959824,0.00519433245063,0.0020697414875,0.00590744242072,0.0102797355503,0.0013766810298,0.00827061757445,0.00702547981124,0.00447827987514,0.015554327187
x,0,0.150191903114,0.106729149818,2482,2428,-15.0,5,0.0142696211115,0.000440505857114,-0.0146835288033,5,0.00471279304475,0.0245146416128,0.0138466032222,0.00206223409623,0.0014160303399,0.00983738154173,0.00186069402844,0.04094620049,0.0145413065329,0.00553055759519,0.0103043792769,0.0156689952124,0.00447827987514,0.015554327187
x,0,0.150191903114,0.106729149818,2559,2388,15.0,6,0.0142025407404,0.00138450204395,-0.0461500696838,6,0.00733123347163,0.00791885703802,0.0036178342998,0.00408448651433,0.00323666259646,0.0055947303772,0.00122082233429,0.0141259767115,0.0142208747566,0.0130684860051,0.0165926814079,0.00929772972158,0.00447827987514,0.015554327187
x,0,0.150191903114,0.106729149818,4781,4819,45.0,7,0.0102060642093,0.000158544717124,0.00528482394293,7,0.00205494766124,0.0158667583019,0.0116387158632,0.0022978563793,0.00546548934653,0.00306374789216,0.000492561608553,0.00379758002236,0.0048282709904,0.00130867538974,0.00707320263609,0.00661874902113,0.00447827987514,0.015554327187
x,0,0.150191903114,0.106729149818,5726,5541,75.0,8,0.00941871106625,0.000657662167214,-0.0219220723957,8,0.00341453030705,0.00867763347924,0.0108187450096,0.00145551934838,0.0064612198621,0.00260569900274,0.000661216676235,0.00470490008593,0.00928225368261,0.00300976075232,0.00389258004725,0.00568334932444,0.00447827987514,0.015554327187
x,0,0.150191903114,0.106729149818,11715,12258,105.0,9,0.00645565241575,0.000907228910364,0.0302409641445,9,0.00164229236543,0.00578533858061,0.00541040301323,0.000818578526378,0.00352619960904,0.00333757698536,0.00145360454917,0.000691756606102,0.00624362006783,0.00135349109769,0.00423472002149,0.00354756229499,0.00447827987514,0.015554327187
x,0,0.150191903114,0.106729149818,5654,5584,135.0,10,0.00943279638886,0.000249487318797,-0.00831624399871,10,0.00965882185847,0.0156759247184,0.0162324346602,0.00045336317271,0.020823456347,0.00530427414924,0.000856265891343,0.0152792856097,0.00547625031322,0.00233969837427,0.00681606028229,0.0107260917505,0.00447827987514,0.015554327187
x,0,0.150191903114,0.106729149818,16114,16135,165.0,11,0.00556854484603,2.60820925178e-05,0.000869403127581,11,0.000580340041779,0.00928449258208,0.00618462497368,0.000719221308827,0.00396247208118,0.00336503004655,0.000776159926318,0.00598576059565,0.00343537819572,0.0010165279964,0.00223654392175,0.00414928819201,0.00447827987514,0.015554327187
x,1,0.18161906302,0.150191903114,16520,16581,-165.0,0,0.00549639714882,7.38121962058e-05,0.00246040662751,12,0.00739437714219,0.00422325124964,0.0108337029815,0.00168204912916,0.00241528474726,0.00216393498704,0.00032498431392,0.00379982870072,0.00908006727695,0.0011831454467,0.00395098794252,0.00514157371032,0.00415678229105,0.0262239728105
x,1,0.18161906302,0.150191903114,6854,6852,-135.0,1,0.00854170601815,5.84465260545e-06,-0.000194821754121,13,0.00233659893274,0.00786803103983,0.0125086447224,0.000771951221395,0.00276812096126,0.00895168539137,0.00306087173522,0.0116465492174,0.0041484227404,0.00211917096749,0.00373199931346,0.00640873124241,0.00415678229105,0.0262239728105
x,1,0.18161906302,0.150191903114,10736,10395,-105.0,2,0.00687763560563,0.000646358937956,-0.0215452983975,14,0.00682168640196,0.00298008695245,0.00937437452376,0.00145006738603,0.000860441476107,0.0077095348388,0.000731436535716,0.00119073502719,0.00712262745947,0.000715006142855,0.00643701292574,0.00500171840586,0.00415678229105,0.0262239728105
