axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index,sys_1,sys_2,sys_3,sys_4,sys_5,sys_6,sys_7,sys_8,sys_9,sys_10,sys_11,sys_total
x,0.10681463778018951,0.17718307673931125,0,14473,14642,-0.007749757,0.005860417,0.00018599417,-165.0,0,0,-0.0018759932136163116,-0.0004643065622076392,-0.00014600413851439953,0.00013091007713228464,0.0004095855401828885,0.004530047532171011,0.0016309476923197508,0.0017917770892381668,-0.002771698171272874,0.0007810937240719795,0.0005908131133764982,0.006242948865914152
x,0.10681463778018951,0.17718307673931125,0,7433,7580,-0.013072782,0.008160733,0.00031374677,-135.0,1,1,-0.010933523066341877,-5.4139643907547e-05,0.0017628283239901066,4.6465080231428146e-05,-0.0025921708438545465,-0.00023572798818349838,0.004767652601003647,0.007414358668029308,-0.004181630443781614,0.0022556548938155174,0.002952265553176403,0.015440939338713267
x,0.10681463778018951,0.17718307673931125,0,11654,11904,-0.014168366,0.0065145916,0.00034004077,-105.0,2,2,-0.006607426330447197,-0.003910664934664965,-0.00041789922397583723,0.0008254424901679158,-0.002129934262484312,-0.0037371646612882614,0.00555435661226511,-0.0027595716528594494,0.00044028880074620247,0.0016556750051677227,-0.005024178419262171,0.012039684111322176
x,0.10681463778018951,0.17718307673931125,0,7360,7456,-0.008650843,0.008215202,0.00020762024,-75.0,3,3,0.003614598885178566,-0.0030913222581148148,-5.1820650696754456e-05,0.00028153136372566223,-0.0008586663752794266,0.0027495846152305603,-0.0037217745557427406,0.0024460917338728905,0.0030776439234614372,-0.002659611403942108,-0.003477056510746479,0.008914672440758328
x,0.10681463778018951,0.17718307673931125,0,6965,7213,-0.023353655,0.008396031,0.00056048774,-45.0,4,4,0.0053105428814888,0.0015133507549762726,-0.0005992427468299866,0.0004932880401611328,-0.001879371702671051,0.002659618854522705,-0.0059553273022174835,0.007147450000047684,-0.008241374045610428,0.00037880614399909973,-0.004778165370225906,0.014803604322981065
x,0.10681463778018951,0.17718307673931125,0,3319,3451,-0.026031753,0.012149502,0.0006247621,-15.0,5,5,-0.0028331936337053776,-0.0020324301440268755,0.0006596704479306936,-0.0013613663613796234,-0.0026132117491215467,0.000824660062789917,-0.003851792309433222,-0.0017847788985818624,-0.0004990515299141407,0.010563364252448082,0.0031024753116071224,0.012705746389782294
x,0.10681463778018951,0.17718307673931125,0,3451,3395,0.010921173,0.012085251,0.00026210814,15.0,6,6,0.009267359972000122,0.0013786442577838898,-0.001134549267590046,-0.0016115577891469002,0.010936582460999489,-0.0024181604385375977,-0.009821796789765358,0.005669828038662672,-0.0056358324363827705,0.0002031298354268074,-0.002970229834318161,0.019656196316642713
x,0.10681463778018951,0.17718307673931125,0,7289,6915,0.035154354,0.008385446,0.0008437045,45.0,7,7,0.0014882199466228485,-0.0008448921144008636,-0.00046611763536930084,0.00014003179967403412,0.0009167119860649109,0.0004253219813108444,-0.003630582243204117,-0.0062883393839001656,-0.0040866779163479805,9.264610707759857e-05,-0.011888109147548676,0.014661097296298756
x,0.10681463778018951,0.17718307673931125,0,7662,7281,0.03404124,0.008175782,0.0008169898,75.0,8,8,-0.0014828499406576157,0.002248784527182579,-3.273412585258484e-05,-0.0001907702535390854,0.0020219795405864716,0.003493513911962509,0.0008597783744335175,0.0029994528740644455,0.01082860678434372,-0.004707822576165199,-0.0020316317677497864,0.013299329443985262
x,0.10681463778018951,0.17718307673931125,0,12163,11553,0.034340497,0.0064896764,0.00082417193,105.0,9,9,0.0029543042182922363,0.0014526471495628357,2.33575701713562e-05,0.00028160586953163147,-0.0016480721533298492,0.00383111834526062,0.0014533698558807373,0.002552807331085205,0.0021082647144794464,-0.0009002648293972015,0.0036827903240919113,0.007467185871758109
x,0.10681463778018951,0.17718307673931125,0,7554,7548,0.0005304384,0.008137344,1.2730521e-05,135.0,10,10,-0.0016848514787852764,-0.0005653346888720989,-8.34721140563488e-05,-0.0012283981777727604,0.005420372821390629,0.0017615118995308876,-0.0013915423769503832,0.001235390082001686,-0.001164812594652176,-0.00014428934082388878,0.009523117914795876,0.011519009707576662
x,0.10681463778018951,0.17718307673931125,0,14995,14462,0.024157772,0.0058247726,0.00057978655,165.0,11,11,0.0014647012576460838,0.0013863146305084229,0.00017452239990234375,-0.0007727062329649925,-0.0018048007041215897,-9.066052734851837e-05,-0.0022349227219820023,-0.0014851931482553482,0.0023416802287101746,0.0018317289650440216,-0.0027098366990685463,0.005598470007390181
x,0.17718307673931125,0.22535382211208344,1,14688,14979,-0.013095966,0.005805317,0.00031430318,-165.0,0,12,-0.004765817895531654,-0.0013536252081394196,-0.00014106370508670807,-0.00031773000955581665,0.0022855382412672043,-0.0006615351885557175,0.000509113073348999,0.001959407702088356,-0.0008392203599214554,-0.00038285180926322937,-0.005628185346722603,0.008182499488861671
x,0.17718307673931125,0.22535382211208344,1,8251,8463,-0.01693455,0.007733882,0.0004064292,-135.0,1,13,-0.008926551789045334,-0.0014585945755243301,-0.0009637437760829926,-0.00044570863246917725,0.00011485815048217773,0.0013802628964185715,-0.001934882253408432,0.00045546330511569977,-0.005190279334783554,-0.0027863141149282455,-0.00528695248067379,0.012306999223901405
x,0.17718307673931125,0.22535382211208344,1,10491,11117,-0.038679242,0.0067977877,0.00092830183,-105.0,2,14,0.00315302237868309,0.0008660182356834412,-0.0004557706415653229,-0.0005915649235248566,-0.0007440820336341858,0.0011323392391204834,0.0028399936854839325,0.004207298159599304,-0.0017143003642559052,-0.0011073239147663116,-0.0012653321027755737,0.00667967387867639
