,axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index
0,x,0.10681463778018953,0.17718307673931125,0,2493,2482,-0.010752113842070312,0.023419920221300565,7.084823e-05,-165.0,0,0
1,x,0.10681463778018953,0.17718307673931125,0,1264,1335,-0.010041949090234377,0.03116926305619888,0.0008753495599999999,-135.0,1,1
2,x,0.10681463778018953,0.17718307673931125,0,1909,1955,0.03284341906625,0.026056932243037605,0.000381461,-105.0,2,2
3,x,0.10681463778018953,0.17718307673931125,0,1208,1196,-0.01914158176171875,0.03210341096295657,0.00015994703,-75.0,3,3
4,x,0.10681463778018953,0.17718307673931125,0,1118,1244,0.0060135872202734374,0.03342908386373318,0.0017093070000000002,-45.0,4,4
5,x,0.10681463778018953,0.17718307673931125,0,568,552,-0.07285534489570314,0.047575724806231845,0.00045775322,-15.0,5,5
6,x,0.10681463778018953,0.17718307673931125,0,568,578,-0.016029537659765627,0.04287273923804913,0.00027960492000000004,15.0,6,6
7,x,0.10681463778018953,0.17718307673931125,0,1229,1111,0.02994436981445312,0.032552305961747074,0.0016158295999999998,45.0,7,7
8,x,0.10681463778018953,0.17718307673931125,0,1328,1239,0.05720536174140625,0.02809159702333434,0.0011109476,75.0,8,8
9,x,0.10681463778018953,0.17718307673931125,0,2008,1896,0.059071148009375,0.022282572923777395,0.0009192584,105.0,9,9
10,x,0.10681463778018953,0.17718307673931125,0,1279,1172,0.03392530785609375,0.02938550189507849,0.001398846,135.0,10,10
11,x,0.10681463778018953,0.17718307673931125,0,2431,2382,0.008500184702460938,0.025348076124204946,0.00032621928,165.0,11,11
12,x,0.17718307673931125,0.22535382211208346,1,2504,2492,-0.0195248297625,0.023064006612801412,7.6964105e-05,-165.0,0,12
13,x,0.17718307673931125,0.22535382211208346,1,1351,1462,-0.0593329122265625,0.02952944646817354,0.0012643947,-135.0,1,13
14,x,0.17718307673931125,0.22535382211208346,1,1756,1834,-0.022089656808750004,0.026432592605522234,0.0006961929,-105.0,2,14
15,x,0.17718307673931125,0.22535382211208346,1,1445,1502,-0.050496021040625005,0.031068740147805397,0.0006197609,-75.0,3,15
16,x,0.17718307673931125,0.22535382211208346,1,995,1087,-0.04449093299277343,0.03665207541551392,0.0014159129000000002,-45.0,4,16
17,x,0.17718307673931125,0.22535382211208346,1,487,512,-0.03167668510117188,0.0502365416768323,0.00080187,-15.0,5,17
18,x,0.17718307673931125,0.22535382211208346,1,478,477,0.06297736823984375,0.04651091913960354,3.355259e-05,15.0,6,18
19,x,0.17718307673931125,0.22535382211208346,1,1101,1063,0.07427451564960938,0.03382197913319436,0.0005626726,45.0,7,19
20,x,0.17718307673931125,0.22535382211208346,1,1409,1373,0.026329961574609373,0.02925936033325671,0.00041464339999999994,75.0,8,20
21,x,0.17718307673931125,0.22535382211208346,1,1828,1696,0.004229907784257812,0.023913981295979683,0.0012002382,105.0,9,21
22,x,0.17718307673931125,0.22535382211208346,1,1376,1357,0.0214092979875,0.028783067257781614,0.00022276318,135.0,10,22
23,x,0.17718307673931125,0.22535382211208346,1,2510,2443,0.005617377981054688,0.0235639177598358,0.0004334469,165.0,11,23
24,x,0.22535382211208346,0.2737313747406006,2,2480,2526,0.0010686187789453122,0.022327302396091736,0.00029443973,-165.0,0,24
25,x,0.22535382211208346,0.2737313747406006,2,1434,1492,0.005187480621992187,0.02859362852440614,0.00063515996,-135.0,1,25
26,x,0.22535382211208346,0.2737313747406006,2,1668,1720,-0.02937263122171875,0.026718112131261275,0.00049180095,-105.0,2,26
27,x,0.22535382211208346,0.2737313747406006,2,1435,1473,-0.03611736986679688,0.02975102437561221,0.00041871510000000004,-75.0,3,27
28,x,0.22535382211208346,0.2737313747406006,2,994,1048,-0.0502317261640625,0.034532195958863456,0.0008473589999999999,-45.0,4,28
29,x,0.22535382211208346,0.2737313747406006,2,518,496,0.052584295860156255,0.04866677104520311,0.0006952070399999999,-15.0,5,29
30,x,0.22535382211208346,0.2737313747406006,2,486,483,0.09389344180703124,0.04388034170999818,9.920348e-05,15.0,6,30
31,x,0.22535382211208346,0.2737313747406006,2,1028,1036,0.015882154793359374,0.03281746477736398,0.00012419661,45.0,7,31
32,x,0.22535382211208346,0.2737313747406006,2,1520,1403,0.03131669865039063,0.026267730579899302,0.0012825859,75.0,8,32
33,x,0.22535382211208346,0.2737313747406006,2,1724,1692,0.025236607024960937,0.02690185077310852,0.00030016602,105.0,9,33
34,x,0.22535382211208346,0.2737313747406006,2,1577,1417,-0.008089452061093752,0.029187127862852595,0.00171237,135.0,10,34
35,x,0.22535382211208346,0.2737313747406006,2,2418,2538,0.019977949069296876,0.021687331657234698,0.0007758529400000001,165.0,11,35
36,x,0.2737313747406006,0.33397098183631896,3,2371,2345,-0.005256959503125,0.02257600916788694,0.00017665623,-165.0,0,36
37,x,0.2737313747406006,0.33397098183631896,3,1544,1523,-0.018066546354140622,0.027445510244900065,0.00021939915,-135.0,1,37
38,x,0.2737313747406006,0.33397098183631896,3,1559,1641,-0.03340707450136719,0.02536170880191004,0.00082109484,-105.0,2,38
39,x,0.2737313747406006,0.33397098183631896,3,1533,1633,-0.082105601234375,0.02739005282660061,0.0010120885000000001,-75.0,3,39
40,x,0.2737313747406006,0.33397098183631896,3,1014,1033,0.015370496977382813,0.037065451997780184,0.00029741658,-45.0,4,40
41,x,0.2737313747406006,0.33397098183631896,3,529,491,-0.019412642739453125,0.04850681530418342,0.0011937486,-15.0,5,41
42,x,0.2737313747406006,0.33397098183631896,3,536,514,-0.03784653664296875,0.049473557165623294,0.0006713713499999999,15.0,6,42
43,x,0.2737313747406006,0.33397098183631896,3,1034,1007,-0.008655704320664061,0.035553324765995827,0.00042388707999999997,45.0,7,43
44,x,0.2737313747406006,0.33397098183631896,3,1639,1561,0.03561173815859375,0.02604504556878601,0.0007810414,75.0,8,44
45,x,0.2737313747406006,0.33397098183631896,3,1590,1572,0.018048682210429687,0.027060598399961337,0.0001824064,105.0,9,45
46,x,0.2737313747406006,0.33397098183631896,3,1618,1479,0.0030235540275390625,0.026962175007782287,0.0014381460999999998,135.0,10,46
47,x,0.2737313747406006,0.33397098183631896,3,2424,2476,0.023581356470742186,0.02437597603066238,0.00034004523000000003,165.0,11,47
48,x,0.33397098183631896,0.6021702885627747,4,2421,2314,0.03561356587785156,0.0206147340232946,0.0007240911,-165.0,0,48
49,x,0.33397098183631896,0.6021702885627747,4,1585,1671,-0.02046142305796875,0.02938870393209459,0.0008463373,-135.0,1,49
50,x,0.33397098183631896,0.6021702885627747,4,1610,1609,-0.06424987616640625,0.02678812095706068,9.954248e-06,-105.0,2,50
51,x,0.33397098183631896,0.6021702885627747,4,1535,1598,-0.09664194406640625,0.02824772598261412,0.00064433186,-75.0,3,51
52,x,0.33397098183631896,0.6021702885627747,4,1028,1113,-0.04468321461265625,0.03631024251727715,0.0012721305,-45.0,4,52
53,x,0.33397098183631896,0.6021702885627747,4,496,560,0.029922280220703125,0.04892660544185321,0.0019419834,-15.0,5,53
54,x,0.33397098183631896,0.6021702885627747,4,490,516,0.01308794673359375,0.045632549463534545,0.0008281419999999999,15.0,6,54
55,x,0.33397098183631896,0.6021702885627747,4,1088,954,0.007585091450664062,0.031696182344612786,0.0021027059,45.0,7,55
56,x,0.33397098183631896,0.6021702885627747,4,1546,1560,0.022940290070703126,0.025820754390356707,0.00014442953,75.0,8,56
57,x,0.33397098183631896,0.6021702885627747,4,1605,1525,0.05587752320195312,0.024330036795316017,0.0008189833,105.0,9,57
58,x,0.33397098183631896,0.6021702885627747,4,1659,1568,-0.03617127465597657,0.02984416514062634,0.0009035909,135.0,10,58
59,x,0.33397098183631896,0.6021702885627747,4,2303,2388,0.02293333075796875,0.024283357176519263,0.0005806078599999999,165.0,11,59
60,z,0.12744246423244476,0.2507466971874237,0,2782,2800,-0.013155677787304688,0.020682740230240595,0.000103326594,-165.0,0,0
61,z,0.12744246423244476,0.2507466971874237,0,1823,1798,-0.028239011751445314,0.026571566641117154,0.0002212284,-135.0,1,1
62,z,0.12744246423244476,0.2507466971874237,0,2040,2098,-0.044008370807304686,0.022831277190929335,0.0004491247,-105.0,2,2
63,z,0.12744246423244476,0.2507466971874237,0,1468,1550,-0.005705828453085938,0.027765667349480973,0.0008706108,-75.0,3,3
64,z,0.12744246423244476,0.2507466971874237,0,1441,1572,0.039352989714843745,0.03196143123743594,0.001393162,-45.0,4,4
