,axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index
0,x,0.10681463778018953,0.17718307673931125,0,2428,2373,-0.013436236893164064,0.020893556813721192,0.00036707975,-165.0,0,0
1,x,0.10681463778018953,0.17718307673931125,0,1240,1220,0.005418949123398438,0.03077363134760155,0.00026050993,-135.0,1,1
2,x,0.10681463778018953,0.17718307673931125,0,1891,2009,-0.024384004174179685,0.02291619804818591,0.0009694978,-105.0,2,2
3,x,0.10681463778018953,0.17718307673931125,0,1307,1271,0.017043104196992186,0.0331332051814683,0.0004474546,-75.0,3,3
4,x,0.10681463778018953,0.17718307673931125,0,1167,1237,-0.049054490244921874,0.031223512890169846,0.0009330244,-45.0,4,4
5,x,0.10681463778018953,0.17718307673931125,0,547,579,0.011300413258984374,0.051857190281132635,0.000910628,-15.0,5,5
6,x,0.10681463778018953,0.17718307673931125,0,560,579,-0.03889655020273437,0.053292685317367874,0.00053451426,15.0,6,6
7,x,0.10681463778018953,0.17718307673931125,0,1180,1157,0.0255235082275,0.03145104705672521,0.00031535415,45.0,7,7
8,x,0.10681463778018953,0.17718307673931125,0,1178,1180,0.03868847774257812,0.03531166317180753,2.7177883000000003e-05,75.0,8,8
9,x,0.10681463778018953,0.17718307673931125,0,2030,1954,0.003092789495273437,0.024918356980542202,0.0006112567500000001,105.0,9,9
10,x,0.10681463778018953,0.17718307673931125,0,1221,1235,-0.04189791644765625,0.03099923209654496,0.00018265395,135.0,10,10
11,x,0.10681463778018953,0.17718307673931125,0,2511,2401,0.026424680622890623,0.02229276024788379,0.00071756914,165.0,11,11
12,x,0.17718307673931125,0.22535382211208346,1,2433,2465,-0.03215892201121094,0.022834712509543404,0.00020934403999999998,-165.0,0,12
13,x,0.17718307673931125,0.22535382211208346,1,1379,1419,0.024486101659375002,0.029959073205083998,0.0004580804,-135.0,1,13
14,x,0.17718307673931125,0.22535382211208346,1,1771,1842,-0.05961278378359375,0.02532833504205849,0.0006296798999999999,-105.0,2,14
15,x,0.17718307673931125,0.22535382211208346,1,1373,1482,-0.0020527565201171874,0.027153551259307004,0.0012233474,-75.0,3,15
16,x,0.17718307673931125,0.22535382211208346,1,1055,1115,-0.0734999249375,0.0333430086829518,0.00088597386,-45.0,4,16
17,x,0.17718307673931125,0.22535382211208346,1,489,533,-0.09581321109648437,0.0524242446783899,0.0013795301000000002,-15.0,5,17
18,x,0.17718307673931125,0.22535382211208346,1,506,497,0.11206746150078126,0.052502864218379866,0.00028752195,15.0,6,18
19,x,0.17718307673931125,0.22535382211208346,1,1077,1036,0.06173914916875,0.03657451193277855,0.00062174717,45.0,7,19
20,x,0.17718307673931125,0.22535382211208346,1,1425,1432,2.6308094921875108e-05,0.03209590587148181,7.85086e-05,75.0,8,20
21,x,0.17718307673931125,0.22535382211208346,1,1823,1804,0.018337186525117188,0.027195850481356358,0.00016785544999999998,105.0,9,21
22,x,0.17718307673931125,0.22535382211208346,1,1441,1390,0.021838531555546874,0.02860483242140103,0.0005772444,135.0,10,22
23,x,0.17718307673931125,0.22535382211208346,1,2544,2365,-0.012678936981289062,0.02181564896675531,0.0011683942,165.0,11,23
24,x,0.22535382211208346,0.2737313747406006,2,2464,2508,-0.012673315585078124,0.023198455806638024,0.00028356392000000003,-165.0,0,24
25,x,0.22535382211208346,0.2737313747406006,2,1440,1492,-0.04288710358816406,0.026761908511416542,0.0005682883999999999,-135.0,1,25
26,x,0.22535382211208346,0.2737313747406006,2,1631,1739,-0.06550078404335938,0.02672809390676881,0.0010268885,-105.0,2,26
27,x,0.22535382211208346,0.2737313747406006,2,1497,1484,-0.0031354525294921875,0.027611036521201605,0.0001397368,-75.0,3,27
28,x,0.22535382211208346,0.2737313747406006,2,1058,1025,-0.06489992198535156,0.03362376464290186,0.000507638,-45.0,4,28
29,x,0.22535382211208346,0.2737313747406006,2,538,532,0.08312059363789062,0.056309627857911104,0.00017967881,-15.0,5,29
30,x,0.22535382211208346,0.2737313747406006,2,482,496,0.018557240955078123,0.058747092736400525,0.00045868926,15.0,6,30
31,x,0.22535382211208346,0.2737313747406006,2,1050,1024,0.0575908245390625,0.03606094732937657,0.00040169276,45.0,7,31
32,x,0.22535382211208346,0.2737313747406006,2,1557,1462,0.07718224028046874,0.028022944416005773,0.0010083005000000001,75.0,8,32
33,x,0.22535382211208346,0.2737313747406006,2,1689,1591,0.04291951249765625,0.027863332778394576,0.000957374,105.0,9,33
34,x,0.22535382211208346,0.2737313747406006,2,1532,1490,0.029411994254296876,0.03038123708955977,0.00044533235,135.0,10,34
35,x,0.22535382211208346,0.2737313747406006,2,2497,2463,-0.005374425347304688,0.023147917341403864,0.00021964771000000002,165.0,11,35
36,x,0.2737313747406006,0.33397098183631896,3,2461,2476,0.022828832683593748,0.02372752714523059,9.735483000000001e-05,-165.0,0,36
37,x,0.2737313747406006,0.33397098183631896,3,1557,1518,-0.032328342796484374,0.02859077943474091,0.00040639553,-135.0,1,37
38,x,0.2737313747406006,0.33397098183631896,3,1528,1580,-0.03431021792695313,0.027308906553580623,0.00053610734,-105.0,2,38
39,x,0.2737313747406006,0.33397098183631896,3,1513,1576,-0.04559102872363281,0.026525270537615074,0.00065350975,-75.0,3,39
40,x,0.2737313747406006,0.33397098183631896,3,1034,981,-0.014572118147265624,0.03501809038609732,0.0008428111,-45.0,4,40
41,x,0.2737313747406006,0.33397098183631896,3,517,533,0.02607712645859375,0.053881329571751665,0.00048827005,-15.0,5,41
