,axis,axis_min,axis_max,axis_bin,counts_pos,counts_neg,value,stat,sys_0,phi,phi_bin,global_index
0,x,0.10681463778018953,0.17718307673931125,0,2371,2461,0.03999152688539062,0.024014409116102725,0.00059682224,-165.0,0,0
1,x,0.10681463778018953,0.17718307673931125,0,1253,1331,0.004643123219960937,0.034418948176863404,0.0009672338999999999,-135.0,1,1
2,x,0.10681463778018953,0.17718307673931125,0,1975,1985,-0.0030771452685937504,0.025543383025307453,8.091597e-05,-105.0,2,2
3,x,0.10681463778018953,0.17718307673931125,0,1206,1244,-0.032030584146875,0.0341301008141032,0.0004969891999999999,-75.0,3,3
4,x,0.10681463778018953,0.17718307673931125,0,1181,1217,-0.07391018309375,0.028714185632259148,0.00048104172999999993,-45.0,4,4
5,x,0.10681463778018953,0.17718307673931125,0,553,580,0.01531265135703125,0.045041336065813245,0.00076359534,-15.0,5,5
6,x,0.10681463778018953,0.17718307673931125,0,581,556,-0.0153156135890625,0.04963648660252436,0.0007045453999999999,15.0,6,6
7,x,0.10681463778018953,0.17718307673931125,0,1225,1156,0.0022959519485546876,0.03028243913030606,0.00092857954,45.0,7,7
8,x,0.10681463778018953,0.17718307673931125,0,1273,1234,0.01215903414921875,0.032310083269574255,0.00049847073,75.0,8,8
9,x,0.10681463778018953,0.17718307673931125,0,2092,1920,-0.0010288584105468748,0.028152677802681048,0.0013737159,105.0,9,9
10,x,0.10681463778018953,0.17718307673931125,0,1262,1334,0.002689281561914062,0.03350465728060285,0.0008887042,135.0,10,10
11,x,0.10681463778018953,0.17718307673931125,0,2442,2414,0.008398047805585937,0.02311406241053214,0.00018476034,165.0,11,11
12,x,0.17718307673931125,0.22535382211208346,1,2480,2526,-0.00950620243515625,0.021861549435224052,0.00029443973,-165.0,0,12
13,x,0.17718307673931125,0.22535382211208346,1,1370,1413,-0.022337697460507813,0.029766046928343507,0.0004950906,-135.0,1,13
14,x,0.17718307673931125,0.22535382211208346,1,1694,1870,-0.031112438082734374,0.025202787427454902,0.0015823567999999999,-105.0,2,14
15,x,0.17718307673931125,0.22535382211208346,1,1404,1443,-0.04297452228691406,0.028530355760245145,0.0004389414,-75.0,3,15
16,x,0.17718307673931125,0.22535382211208346,1,991,1080,-0.0367465438634375,0.03789142975384142,0.0013770171,-45.0,4,16
17,x,0.17718307673931125,0.22535382211208346,1,499,520,-0.07094176021445313,0.048532906079915505,0.00066035055,-15.0,5,17
18,x,0.17718307673931125,0.22535382211208346,1,526,520,-0.026185383231249998,0.05163912651957437,0.00018380147,15.0,6,18
19,x,0.17718307673931125,0.22535382211208346,1,1113,1052,0.08079634474414063,0.033174956030526746,0.0009028204,45.0,7,19
20,x,0.17718307673931125,0.22535382211208346,1,1446,1399,0.05251454271226563,0.030225805667012183,0.0005293526000000001,75.0,8,20
21,x,0.17718307673931125,0.22535382211208346,1,1882,1810,0.02728498802265625,0.028202331256172882,0.00062488514,105.0,9,21
22,x,0.17718307673931125,0.22535382211208346,1,1379,1403,0.06346510949570312,0.031035829186563148,0.00027642897000000003,135.0,10,22
23,x,0.17718307673931125,0.22535382211208346,1,2430,2450,0.03386218522402344,0.020442415177649293,0.00013132261999999998,165.0,11,23
24,x,0.22535382211208346,0.2737313747406006,2,2356,2474,-0.022184710887109375,0.0230812077877148,0.00078282435,-165.0,0,24
25,x,0.22535382211208346,0.2737313747406006,2,1428,1526,-0.058509415925,0.02957902301220099,0.0010630287,-135.0,1,25
26,x,0.22535382211208346,0.2737313747406006,2,1660,1762,-0.005575332366953125,0.025944185601366795,0.0009551016000000001,-105.0,2,26
27,x,0.22535382211208346,0.2737313747406006,2,1388,1495,-0.049585731153515625,0.02984423493784567,0.0011892373,-75.0,3,27
28,x,0.22535382211208346,0.2737313747406006,2,974,1029,-0.04345576678332031,0.031570167356975466,0.0008798551,-45.0,4,28
29,x,0.22535382211208346,0.2737313747406006,2,503,504,-0.03182102833984375,0.049621117868669476,3.1819985e-05,-15.0,5,29
30,x,0.22535382211208346,0.2737313747406006,2,511,466,0.09391144029570314,0.04876544874659604,0.0014758676,15.0,6,30
31,x,0.22535382211208346,0.2737313747406006,2,1034,1045,0.02854827924628906,0.03241061266294208,0.00016953821,45.0,7,31
32,x,0.22535382211208346,0.2737313747406006,2,1521,1429,0.039236248870312504,0.030752410365039135,0.0009992984,75.0,8,32
33,x,0.22535382211208346,0.2737313747406006,2,1722,1591,0.03342540157449219,0.02755550285208122,0.0012670077000000001,105.0,9,33
34,x,0.22535382211208346,0.2737313747406006,2,1504,1483,0.02567035884511719,0.02981587606279876,0.00022527525000000002,135.0,10,34
35,x,0.22535382211208346,0.2737313747406006,2,2477,2423,-0.010803362921367188,0.02319521014825734,0.00035312388,165.0,11,35
36,x,0.2737313747406006,0.33397098183631896,3,2379,2527,-0.002507739454375,0.02168815060044084,0.0009666374,-165.0,0,36
37,x,0.2737313747406006,0.33397098183631896,3,1472,1560,-0.041798927169765625,0.028670532562871966,0.0009299998599999999,-135.0,1,37
